method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyMOV,rrg,0.0,0.3,0.3,0,0.664,0.7000034,0.0,-2.5999627,18.483931313837616,20.667734,247.4345238095238,0.0,0.0,0.0
greedyMOV,rrg,0.1,0.3,0.3,0,0.638,0.76821095,-0.07738095238095245,-1.7814713,14.441489960417965,12.868618,207.3095238095238,0.3142857142857143,0.06547619047619048,0.10837438423645321
greedyMOV,rrg,0.2,0.3,0.3,0,0.636,0.8193332,-0.08333333333333341,-1.1680037,13.161444880589446,8.902683,189.08928571428572,0.3793103448275862,0.13095238095238096,0.1946902654867257
greedyMOV,rrg,0.30000000000000004,0.3,0.3,0,0.682,0.85356957,0.053571428571428624,-0.75716686,10.60150165520355,6.5021396,165.48809523809524,0.5494505494505495,0.2976190476190476,0.3861003861003861
greedyMOV,rrg,0.4,0.3,0.3,0,0.748,0.8853931,0.24999999999999992,-0.3752843,9.129286694838132,5.1307445,139.98214285714286,0.6666666666666666,0.5,0.5714285714285715
greedyMOV,rrg,0.5,0.3,0.3,0,0.826,0.915495,0.482142857142857,-0.014061226,8.289783869128854,4.360534,119.45238095238095,0.7454545454545455,0.7321428571428571,0.7387387387387387
greedyMOV,rrg,0.6000000000000001,0.3,0.3,0,0.864,0.9459168,0.5952380952380951,0.35100064,7.175689391985904,3.3483412,107.28571428571429,0.7659574468085106,0.8571428571428571,0.8089887640449439
greedyMOV,rrg,0.7000000000000001,0.3,0.3,0,0.88,0.9710754,0.6428571428571428,0.6529046,5.464974516606797,2.2639663,99.98214285714286,0.7727272727272727,0.9107142857142857,0.8360655737704916
greedyMOV,rrg,0.8,0.3,0.3,0,0.9,0.9879114,0.7023809523809524,0.8549367,3.954055613901484,1.3682431,94.0952380952381,0.7836538461538461,0.9702380952380952,0.8670212765957447
greedyMOV,rrg,0.9,0.3,0.3,0,0.908,0.992345,0.7261904761904763,0.90813965,2.4841705630920883,1.0426635,88.81547619047619,0.7877358490566038,0.9940476190476191,0.8789473684210527
greedyMOV,rrg,1.0,0.3,0.3,0,0.98,0.9780614,0.9404761904761905,0.7367363,1.494029062945565,1.4508033,84.64285714285714,0.9438202247191011,1.0,0.9710982658959537
