method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.722,0.7000017,0.0,-2.5999827,15.928659226809144,20.461527,256.55395683453236,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.714,0.7508991,-0.02877697841726621,-1.989214,11.795656164546232,13.453363,216.24460431654677,0.4375,0.10071942446043165,0.1637426900584795
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.72,0.78586936,-0.007194244604316552,-1.5695702,10.091215362654602,10.960856,198.3453237410072,0.4883720930232558,0.1510791366906475,0.23076923076923078
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.746,0.8205894,0.08633093525179864,-1.152929,8.0532080463505,8.503882,158.6043165467626,0.5967741935483871,0.26618705035971224,0.3681592039800995
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.76,0.8516013,0.1366906474820145,-0.78078604,6.982616292817742,6.8708477,136.28776978417267,0.6338028169014085,0.3237410071942446,0.42857142857142855
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.766,0.8818704,0.15827338129496415,-0.41755667,5.47673537103245,5.1333895,117.41007194244604,0.6375,0.3669064748201439,0.4657534246575343
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.784,0.9164561,0.22302158273381312,-0.002527716,4.969006267709534,3.6282568,100.12230215827338,0.6823529411764706,0.4172661870503597,0.5178571428571429
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.826,0.9460578,0.3741007194244603,0.35269293,4.18293779942137,2.7710147,89.39568345323741,0.7452830188679245,0.5683453237410072,0.6448979591836734
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.906,0.9739008,0.6618705035971224,0.68680924,3.416093391992672,2.159278,80.8273381294964,0.815068493150685,0.8561151079136691,0.8350877192982457
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.934,0.98657936,0.7625899280575542,0.8389521,2.3290657935067776,1.5548643,79.6978417266187,0.8397435897435898,0.9424460431654677,0.888135593220339
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,0.986,0.981637,0.9496402877697842,0.7796438,1.620921282465444,1.6471782,70.75539568345324,0.952054794520548,1.0,0.9754385964912281
