method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.688,0.7,0.0,0.0,17.457769042553295,20.458431,247.53846153846155,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.742,0.70000005,0.0,0.0,15.723068166586437,20.570763,247.74418604651163,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.702,0.70000005,0.0,0.0,16.7419556084508,20.323523,258.1409395973154,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.674,0.7,0.0,0.0,18.7295653548509,20.664051,253.47852760736197,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.668,0.7,0.0,0.0,17.989618607420834,20.689463,259.37951807228916,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.722,0.72831357,0.047945205479452094,0.09437858,13.58087748590903,15.958655,208.68493150684932,0.6060606060606061,0.136986301369863,0.22346368715083798
random,rrg,0.1,0.3,0.3,1,0.74,0.72538465,0.05797101449275367,0.08461554,12.964049547453497,16.396963,207.21014492753622,0.5909090909090909,0.18840579710144928,0.2857142857142857
random,rrg,0.1,0.3,0.3,2,0.752,0.7266749,0.06766917293233088,0.08891642,13.048962096609632,16.881746,203.09022556390977,0.6363636363636364,0.15789473684210525,0.2530120481927711
random,rrg,0.1,0.3,0.3,3,0.71,0.7263297,0.08805031446540855,0.08776565,14.506054940926958,16.639626,222.32704402515722,0.75,0.1320754716981132,0.22459893048128343
random,rrg,0.1,0.3,0.3,4,0.724,0.7227582,0.034965034965034995,0.07586062,13.547177658809584,17.103497,212.4125874125874,0.5862068965517241,0.11888111888111888,0.19767441860465115
random,rrg,0.2,0.3,0.3,0,0.756,0.7518894,0.14084507042253533,0.17296472,10.318047056403044,13.074023,176.51408450704224,0.6388888888888888,0.323943661971831,0.42990654205607476
random,rrg,0.2,0.3,0.3,1,0.73,0.756222,0.18181818181818166,0.18740673,12.596929221179337,13.937354,180.3030303030303,0.7678571428571429,0.2606060606060606,0.3891402714932127
random,rrg,0.2,0.3,0.3,2,0.732,,0.11258278145695373,,,,186.35099337748343,0.639344262295082,0.2582781456953642,0.36792452830188677
random,rrg,0.2,0.3,0.3,3,0.766,0.7600466,0.14598540145985414,0.20015536,10.117032693893625,13.012995,168.5182481751825,0.6666666666666666,0.291970802919708,0.40609137055837563
random,rrg,0.2,0.3,0.3,4,0.758,0.7588609,0.12949640287769795,0.19620298,9.943277902178622,12.565441,185.07194244604315,0.6363636363636364,0.302158273381295,0.4097560975609756
random,rrg,0.30000000000000004,0.3,0.3,0,0.796,0.7866976,0.30612244897959207,0.2889921,10.110916856070018,11.638292,152.79591836734693,0.8260869565217391,0.3877551020408163,0.5277777777777779
random,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.78403085,0.23076923076923095,0.28010288,8.373902258734296,10.689278,153.86713286713288,0.6853932584269663,0.42657342657342656,0.5258620689655172
random,rrg,0.30000000000000004,0.3,0.3,2,0.796,0.7878171,0.26618705035971246,0.29272377,8.521556570998714,10.937947,145.74100719424462,0.7341772151898734,0.4172661870503597,0.5321100917431194
random,rrg,0.30000000000000004,0.3,0.3,3,0.77,,0.2767295597484276,,,,154.06289308176102,0.7391304347826086,0.4276729559748428,0.5418326693227091
random,rrg,0.30000000000000004,0.3,0.3,4,0.772,,0.29192546583850926,,,,154.40372670807454,0.7473684210526316,0.4409937888198758,0.5546875
random,rrg,0.4,0.3,0.3,0,0.806,,0.2362204724409451,,,,132.01574803149606,0.6744186046511628,0.4566929133858268,0.5446009389671362
random,rrg,0.4,0.3,0.3,1,0.812,,0.3333333333333336,,,,126.61702127659575,0.719626168224299,0.5460992907801419,0.6209677419354839
random,rrg,0.4,0.3,0.3,2,0.81,,0.35374149659863974,,,,126.61224489795919,0.76,0.5170068027210885,0.6153846153846154
random,rrg,0.4,0.3,0.3,3,0.812,,0.3605442176870751,,,,132.8095238095238,0.797752808988764,0.48299319727891155,0.6016949152542374
random,rrg,0.4,0.3,0.3,4,0.816,,0.4177215189873415,,,,137.85443037974684,0.8173076923076923,0.5379746835443038,0.648854961832061
random,rrg,0.5,0.3,0.3,0,0.83,,0.3928571428571428,,,,121.95714285714286,0.7570093457943925,0.5785714285714286,0.6558704453441296
random,rrg,0.5,0.3,0.3,1,0.816,,0.45238095238095216,,,,125.3452380952381,0.8454545454545455,0.5535714285714286,0.6690647482014389
random,rrg,0.5,0.3,0.3,2,0.844,,0.47651006711409394,,,,108.08724832214764,0.7751937984496124,0.6711409395973155,0.7194244604316548
random,rrg,0.5,0.3,0.3,3,0.846,,0.45390070921985815,,,,108.07801418439716,0.7666666666666667,0.6524822695035462,0.7049808429118775
random,rrg,0.5,0.3,0.3,4,0.846,,0.47619047619047616,,,,111.99319727891157,0.7916666666666666,0.6462585034013606,0.7116104868913858
random,rrg,0.6000000000000001,0.3,0.3,0,0.868,,0.5629139072847683,,,,103.64238410596026,0.8195488721804511,0.7218543046357616,0.767605633802817
random,rrg,0.6000000000000001,0.3,0.3,1,0.846,,0.4900662251655629,,,,109.66887417218543,0.7846153846153846,0.6754966887417219,0.7259786476868327
random,rrg,0.6000000000000001,0.3,0.3,2,0.88,,0.605263157894737,,,,103.38815789473684,0.8650793650793651,0.7171052631578947,0.7841726618705036
random,rrg,0.6000000000000001,0.3,0.3,3,0.854,,0.540880503144654,,,,108.55974842767296,0.8028169014084507,0.7169811320754716,0.7574750830564784
random,rrg,0.6000000000000001,0.3,0.3,4,0.852,,0.4965986394557823,,,,103.92517006802721,0.7967479674796748,0.6666666666666666,0.725925925925926
random,rrg,0.7000000000000001,0.3,0.3,0,0.894,,0.6214285714285716,,,,88.39285714285714,0.8320610687022901,0.7785714285714286,0.8044280442804428
random,rrg,0.7000000000000001,0.3,0.3,1,0.89,,0.6518987341772152,,,,99.67721518987342,0.8410596026490066,0.8037974683544303,0.8220064724919094
random,rrg,0.7000000000000001,0.3,0.3,2,0.906,,0.6642857142857144,,,,84.13571428571429,0.8604651162790697,0.7928571428571428,0.8252788104089218
random,rrg,0.7000000000000001,0.3,0.3,3,0.896,,0.6923076923076923,,,,98.83431952662721,0.8979591836734694,0.7810650887573964,0.8354430379746836
random,rrg,0.7000000000000001,0.3,0.3,4,0.894,,0.6490066225165564,,,,93.78807947019868,0.8450704225352113,0.7947019867549668,0.8191126279863481
random,rrg,0.8,0.3,0.3,0,0.916,,0.7439024390243903,,,,93.51829268292683,0.8961038961038961,0.8414634146341463,0.8679245283018868
random,rrg,0.8,0.3,0.3,1,0.928,,0.735294117647059,,,,78.2279411764706,0.8731343283582089,0.8602941176470589,0.8666666666666667
random,rrg,0.8,0.3,0.3,2,0.91,,0.6564885496183207,,,,80.17557251908397,0.8412698412698413,0.8091603053435115,0.8249027237354086
random,rrg,0.8,0.3,0.3,3,0.938,,0.8121212121212119,,,,88.76363636363637,0.9135802469135802,0.896969696969697,0.9051987767584097
random,rrg,0.8,0.3,0.3,4,0.928,,0.7692307692307694,,,,86.86538461538461,0.8703703703703703,0.9038461538461539,0.8867924528301887
random,rrg,0.9,0.3,0.3,0,0.962,,0.8920454545454545,,,,92.39772727272727,0.9385474860335196,0.9545454545454546,0.9464788732394367
random,rrg,0.9,0.3,0.3,1,0.956,,0.8345864661654134,,,,72.58646616541354,0.9111111111111111,0.924812030075188,0.917910447761194
random,rrg,0.9,0.3,0.3,2,0.96,,0.8581560283687942,,,,76.46099290780141,0.9290780141843972,0.9290780141843972,0.9290780141843973
random,rrg,0.9,0.3,0.3,3,0.948,,0.8231292517006802,,,,79.8843537414966,0.9006622516556292,0.9251700680272109,0.9127516778523491
random,rrg,0.9,0.3,0.3,4,0.96,,0.8484848484848484,,,,70.95454545454545,0.9117647058823529,0.9393939393939394,0.9253731343283583
random,rrg,1.0,0.3,0.3,0,0.992,,0.9716312056737588,,,,72.60992907801419,0.9724137931034482,1.0,0.9860139860139859
random,rrg,1.0,0.3,0.3,1,0.99,,0.9685534591194969,,,,81.35220125786164,0.9695121951219512,1.0,0.9845201238390092
random,rrg,1.0,0.3,0.3,2,0.992,,0.9741935483870967,,,,78.64516129032258,0.9748427672955975,1.0,0.9872611464968153
random,rrg,1.0,0.3,0.3,3,0.99,,0.9704142011834319,,,,87.59171597633136,0.9712643678160919,1.0,0.9854227405247813
random,rrg,1.0,0.3,0.3,4,0.988,,0.9577464788732394,,,,73.27464788732394,0.9594594594594594,1.0,0.9793103448275862
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.71,0.7000017,0.0,-2.5999827,16.47880142875076,20.582285,229.35172413793103,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.708,0.7472804,-0.006896551724137936,-2.0326378,11.310040391072764,13.128051,206.53103448275863,0.4909090909090909,0.18620689655172415,0.27
