sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyMOV,rrg,500,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyMOV,rrg,500,3,0.3,0.3,0.1,50,50,7.134693877551021,126,0.0032653061224489797,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.2,100,100,7.1012121212121215,212,0.0032323232323232323,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.30000000000000004,150,150,7.064876957494407,246,0.004205816554809843,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.4,200,200,7.046180904522613,252,0.004874371859296483,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.5,250,250,7.065381526104417,229,0.005204819277108434,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.6000000000000001,300,300,7.0558751393534,191,0.00568561872909699,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.7000000000000001,350,350,7.057666803110929,149,0.005697912402783463,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.8,400,400,7.055852130325815,100,0.005789473684210527,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,0.9,450,450,7.053828260331601,50,0.0059688195991091314,3.0,1.0
0,greedyMOV,rrg,500,3,0.3,0.3,1.0,500,500,7.052793587174349,0,0.006012024048096192,3.0,1.0
