sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.1,50,50,7.1657142857142855,127,0.004897959183673469,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.2,100,100,7.153535353535354,211,0.0048484848484848485,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.30000000000000004,150,150,7.116778523489933,233,0.006174496644295302,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.4,200,200,7.132462311557789,240,0.006030150753768844,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.5,250,250,7.114698795180723,215,0.006297188755020081,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.6000000000000001,300,300,7.121716833890747,186,0.006309921962095875,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.7000000000000001,350,350,7.117822349570201,145,0.006205485059353254,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.8,400,400,7.12344611528822,100,0.006040100250626566,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.9,450,450,7.121078940856224,50,0.006018312298935907,3.0,1.0
0,greedyWarmStartOV,rrg,500,3,0.3,0.3,1.0,500,500,7.125651302605211,0,0.006012024048096192,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.1,50,50,7.016326530612245,125,0.0032653061224489797,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.2,100,100,7.06929292929293,197,0.006262626262626263,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.30000000000000004,150,150,7.066308724832215,243,0.005995525727069352,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.4,200,200,7.054371859296483,243,0.006231155778894473,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.5,250,250,7.05429718875502,217,0.006393574297188755,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.6000000000000001,300,300,7.057458193979933,185,0.0061984392419175026,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.7000000000000001,350,350,7.04676217765043,146,0.006107245190339746,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.8,400,400,7.039010025062657,98,0.006102756892230577,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.9,450,450,7.0440386043058645,50,0.0060579064587973274,3.0,1.0
1,greedyWarmStartOV,rrg,500,3,0.3,0.3,1.0,500,500,7.043190380761523,0,0.006012024048096192,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.0,0,0,,0,0.0,,
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.1,50,50,7.059591836734694,121,0.004897959183673469,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.2,100,100,7.048080808080808,197,0.0048484848484848485,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.30000000000000004,150,150,7.028993288590604,231,0.005011185682326622,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.4,200,200,7.0451256281407035,238,0.005728643216080402,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.5,250,250,7.046200803212852,219,0.005943775100401606,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.6000000000000001,300,300,7.0663099219620955,189,0.005953177257525083,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.7000000000000001,350,350,7.069439214081048,149,0.005894392140810479,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.8,400,400,7.065839598997494,100,0.005927318295739348,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,0.9,450,450,7.066547884187083,50,0.005988616679039841,3.0,1.0
2,greedyWarmStartOV,rrg,500,3,0.3,0.3,1.0,500,500,7.062765531062125,0,0.006012024048096192,3.0,1.0
0,greedyOV,rrg,500,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyOV,rrg,500,3,0.3,0.3,0.1,50,50,7.071020408163266,123,0.005714285714285714,3.0,1.0
0,greedyOV,rrg,500,3,0.3,0.3,0.2,100,100,7.145050505050505,196,0.006060606060606061,3.0,1.0
