sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,4.3,13,0.1,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,3.888888888888889,19,0.08888888888888889,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.742857142857143,22,0.0761904761904762,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.836842105263158,24,0.05789473684210526,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.77,20,0.06666666666666667,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.7471264367816093,17,0.06206896551724138,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.8016806722689074,13,0.06218487394957983,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.8025641025641024,10,0.06153846153846154,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.7737373737373736,5,0.06060606060606061,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.7722448979591836,0,0.061224489795918366,3.0,1.0
