method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
max_entropy,N/A,rrg,0.0,0.3,0.3,0,0.71,0.7000066,0.0,0.0,6.538219382850816,4.6622105,,,,
max_entropy,N/A,rrg,0.1,0.3,0.3,0,0.74,0.7465229,0.10344827586206905,0.11678583,5.098824454903891,4.19903,,,,
max_entropy,N/A,rrg,0.2,0.3,0.3,0,0.7966666666666666,0.7935869,0.29885057471264365,0.2956998,3.9398952787274597,3.6694825,,,,
max_entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.8333333333333334,0.8352766,0.4252873563218393,0.4281506,3.362764237418825,3.114358,,,,
max_entropy,N/A,rrg,0.4,0.3,0.3,0,0.8733333333333333,0.87188864,0.5632183908045976,0.5604205,2.7732495000850035,2.5697951,,,,
max_entropy,N/A,rrg,0.5,0.3,0.3,0,0.9133333333333333,0.906402,0.7011494252873564,0.6847772,2.3553546215479497,2.1506038,,,,
max_entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.9466666666666667,0.93737465,0.8160919540229885,0.79075086,1.7570056430212033,1.7094948,,,,
max_entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.98,0.9626931,0.9310344827586207,0.87859523,1.5522489866356681,1.32839,,,,
max_entropy,N/A,rrg,0.8,0.3,0.3,0,0.9933333333333333,0.98458254,0.9770114942528734,0.9483886,0.6936477383339419,0.83963907,,,,
max_entropy,N/A,rrg,0.9,0.3,0.3,0,1.0,0.9972744,1.0,0.99068785,0.21749468238656064,0.33667785,,,,
max_entropy,N/A,rrg,1.0,0.3,0.3,0,1.0,0.9999223,1.0,0.99973196,2.204694358162095e-06,0.006475321,,,,
max_entropy,N/A,rrg,0.0,0.4,0.3,0,0.5833333333333334,0.6000194,0.0,0.0,3.7712933261360075,3.3618698,,,,
max_entropy,N/A,rrg,0.1,0.4,0.3,0,0.64,0.6461959,0.13599999999999995,0.13545027,3.53297918521252,2.7777514,,,,
max_entropy,N/A,rrg,0.2,0.4,0.3,0,0.69,0.69659597,0.2559999999999998,0.25828135,3.15562359402191,2.373973,,,,
max_entropy,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.73,0.7478419,0.3519999999999999,0.38002846,2.752075436477564,1.9873384,,,,
max_entropy,N/A,rrg,0.4,0.4,0.3,0,0.8,0.79771525,0.52,0.5117203,2.1985401057299496,1.6355904,,,,
max_entropy,N/A,rrg,0.5,0.4,0.3,0,0.8566666666666667,0.83978534,0.656,0.6252353,1.9557727437776455,1.3416282,,,,
max_entropy,N/A,rrg,0.6000000000000001,0.4,0.3,0,0.8933333333333333,0.8826042,0.7439999999999999,0.71881133,1.8509231170786002,1.0915406,,,,
max_entropy,N/A,rrg,0.7000000000000001,0.4,0.3,0,0.9266666666666666,0.92108834,0.824,0.8118073,1.461670124447307,0.86592185,,,,
max_entropy,N/A,rrg,0.8,0.4,0.3,0,0.96,0.9560791,0.9039999999999999,0.89513946,1.1560729728568007,0.66155416,,,,
max_entropy,N/A,rrg,0.9,0.4,0.3,0,0.9866666666666667,0.98423827,0.9680000000000001,0.9622443,0.683406096335824,0.36273947,,,,
max_entropy,N/A,rrg,1.0,0.4,0.3,0,1.0,0.99989074,1.0,0.99973774,2.368705584387106e-06,0.007831391,,,,
max_entropy,N/A,rrg,0.0,0.5,0.3,0,0.5,0.5000508,0.0,0.0,2.415012194691349,2.4374468,,,,
max_entropy,N/A,rrg,0.1,0.5,0.3,0,0.5766666666666667,0.5621302,0.15333333333333332,0.10484875,2.139868046023467,2.1413195,,,,
max_entropy,N/A,rrg,0.2,0.5,0.3,0,0.6433333333333333,0.6294949,0.2866666666666666,0.25823483,1.809346460678239,1.9352108,,,,
max_entropy,N/A,rrg,0.30000000000000004,0.5,0.3,0,0.7166666666666667,0.6868201,0.43333333333333335,0.37355003,1.6506542218486717,1.7503492,,,,
max_entropy,N/A,rrg,0.4,0.5,0.3,0,0.7533333333333333,0.74626833,0.5066666666666666,0.48919308,1.482254295461921,1.4667056,,,,
max_entropy,N/A,rrg,0.5,0.5,0.3,0,0.8166666666666667,0.7996299,0.6333333333333333,0.5909373,1.1796043292012208,1.1350179,,,,
max_entropy,N/A,rrg,0.6000000000000001,0.5,0.3,0,0.87,0.8495999,0.74,0.6968423,1.0272934735373904,0.8934965,,,,
max_entropy,N/A,rrg,0.7000000000000001,0.5,0.3,0,0.91,0.8968886,0.8200000000000001,0.78886247,0.7603159691220763,0.6423193,,,,
max_entropy,N/A,rrg,0.8,0.5,0.3,0,0.9466666666666667,0.94027895,0.8933333333333333,0.8770941,0.635094497342884,0.4622353,,,,
max_entropy,N/A,rrg,0.9,0.5,0.3,0,0.98,0.97728676,0.96,0.9541537,0.28453698200694544,0.2634732,,,,
max_entropy,N/A,rrg,1.0,0.5,0.3,0,1.0,0.999871,1.0,0.999742,2.021610176116762e-06,0.008301398,,,,
max_entropy,N/A,rrg,0.0,0.3,0.3,1,0.6966666666666667,0.7000066,0.0,0.0,3.784438089617581,4.6622105,,,,
max_entropy,N/A,rrg,0.1,0.3,0.3,1,0.74,0.73378646,0.14285714285714285,0.13777368,3.4535190904240443,3.9111247,,,,
max_entropy,N/A,rrg,0.2,0.3,0.3,1,0.7833333333333333,0.77068543,0.2857142857142857,0.27426934,3.0591369897136613,3.204395,,,,
max_entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.82,0.80979145,0.4065934065934064,0.39192078,2.6726961052638543,2.5952713,,,,
max_entropy,N/A,rrg,0.4,0.3,0.3,1,0.86,0.84999084,0.5384615384615384,0.5212498,2.075712972259321,2.1851494,,,,
max_entropy,N/A,rrg,0.5,0.3,0.3,1,0.8966666666666666,0.8858183,0.6593406593406592,0.63656336,1.6922568569769816,1.6942954,,,,
max_entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.9333333333333333,0.91944987,0.7802197802197802,0.74606377,1.366676491252883,1.3897705,,,,
max_entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.96,0.95016766,0.868131868131868,0.84086347,1.160795323901206,1.1424571,,,,
max_entropy,N/A,rrg,0.8,0.3,0.3,1,0.9766666666666667,0.97543955,0.9230769230769231,0.9193503,0.8107428002539558,0.831377,,,,
max_entropy,N/A,rrg,0.9,0.3,0.3,1,0.9933333333333333,0.99154663,0.9780219780219779,0.9722897,0.3857576039511428,0.4063391,,,,
max_entropy,N/A,rrg,1.0,0.3,0.3,1,1.0,0.9999282,1.0,0.9997632,1.169269977609896e-06,0.0059962766,,,,
max_entropy,N/A,rrg,0.0,0.4,0.3,1,0.5833333333333334,0.6000194,0.0,0.0,2.8729194052184965,3.3618698,,,,
max_entropy,N/A,rrg,0.1,0.4,0.3,1,0.6266666666666667,0.6453729,0.10400000000000001,0.11425309,2.675533845036285,2.9239628,,,,
max_entropy,N/A,rrg,0.2,0.4,0.3,1,0.6866666666666666,0.7044403,0.2479999999999999,0.25991052,2.228365885943807,2.6095288,,,,
max_entropy,N/A,rrg,0.30000000000000004,0.4,0.3,1,0.7333333333333333,0.7525503,0.3599999999999998,0.37127435,1.8622381254307663,2.2312818,,,,
max_entropy,N/A,rrg,0.4,0.4,0.3,1,0.78,0.80331194,0.47200000000000003,0.49780014,1.5769920556275268,1.9233195,,,,
max_entropy,N/A,rrg,0.5,0.4,0.3,1,0.82,0.8498685,0.5679999999999998,0.61360395,1.4462338076504884,1.6617893,,,,
max_entropy,N/A,rrg,0.6000000000000001,0.4,0.3,1,0.8533333333333334,0.8897886,0.6480000000000001,0.7086546,1.1850277734831012,1.4384395,,,,
max_entropy,N/A,rrg,0.7000000000000001,0.4,0.3,1,0.8933333333333333,0.9268271,0.7439999999999999,0.806291,0.9663915155988311,1.192191,,,,
max_entropy,N/A,rrg,0.8,0.4,0.3,1,0.9433333333333334,0.9575197,0.864,0.89443445,0.7026181512694321,0.7710023,,,,
max_entropy,N/A,rrg,0.9,0.4,0.3,1,0.9733333333333334,0.98404884,0.9360000000000002,0.9606988,0.5171258223092595,0.42858827,,,,
max_entropy,N/A,rrg,1.0,0.4,0.3,1,1.0,0.9999,1.0,0.9997599,1.3913302558382836e-06,0.0071699335,,,,
max_entropy,N/A,rrg,0.0,0.5,0.3,1,0.5166666666666667,0.5000508,0.0,0.0,2.678445239144811,2.4374468,,,,
max_entropy,N/A,rrg,0.1,0.5,0.3,1,0.5166666666666667,0.5754756,0.0,0.12394313,2.2313232308599336,2.3146253,,,,
max_entropy,N/A,rrg,0.2,0.5,0.3,1,0.59,0.64115715,0.15172413793103431,0.23575436,1.9751161421984897,2.1230872,,,,
max_entropy,N/A,rrg,0.30000000000000004,0.5,0.3,1,0.6633333333333333,0.6989398,0.3034482758620689,0.36002746,1.8288117044723493,1.8370581,,,,
max_entropy,N/A,rrg,0.4,0.5,0.3,1,0.73,0.7554403,0.44137931034482747,0.48438373,1.6913301572524335,1.6180123,,,,
