method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
deg_centrality,N/A,powerlaw,0.0,0.1,0.3,0,0.88,0.9002084,0.0,0.0,43.76312133789939,42.995358,,,,
deg_centrality,N/A,powerlaw,0.1,0.1,0.3,0,0.9033333333333333,0.9039923,0.1944444444444443,0.19539578,38.01684375500195,35.140778,,,,
deg_centrality,N/A,powerlaw,0.2,0.1,0.3,0,0.9133333333333333,0.9127061,0.27777777777777773,0.2958889,32.70698308217178,28.82929,,,,
deg_centrality,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.93,0.9258463,0.4166666666666671,0.40239036,25.941434101573357,24.14115,,,,
deg_centrality,N/A,powerlaw,0.4,0.1,0.3,0,0.94,0.9394228,0.49999999999999956,0.5110266,20.979744056977633,17.947847,,,,
deg_centrality,N/A,powerlaw,0.5,0.1,0.3,0,0.97,0.9547355,0.7499999999999998,0.6660985,10.98814774972817,12.062412,,,,
deg_centrality,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.9733333333333334,0.9634859,0.7777777777777782,0.7256465,12.783682290341948,8.682315,,,,
deg_centrality,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.98,0.9762966,0.8333333333333331,0.8078534,9.179070729789515,6.05641,,,,
deg_centrality,N/A,powerlaw,0.8,0.1,0.3,0,0.9866666666666667,0.9842739,0.8888888888888891,0.8713342,4.358039585819672,2.9083207,,,,
deg_centrality,N/A,powerlaw,0.9,0.1,0.3,0,0.9933333333333333,0.9917972,0.9444444444444441,0.9324593,3.1995293008359695,1.5586059,,,,
deg_centrality,N/A,powerlaw,1.0,0.1,0.3,0,1.0,0.9992037,1.0,0.9934035,0.0002603282498976544,0.029476607,,,,
deg_centrality,N/A,powerlaw,0.0,0.1,0.3,1,0.88,0.90020835,0.0,0.0,48.77085532571852,43.70683,,,,
deg_centrality,N/A,powerlaw,0.1,0.1,0.3,1,0.9,0.8999382,0.16666666666666682,0.16646864,43.85994838771935,36.19305,,,,
deg_centrality,N/A,powerlaw,0.2,0.1,0.3,1,0.9033333333333333,0.9098322,0.1944444444444443,0.22858848,38.352283697250954,31.523268,,,,
deg_centrality,N/A,powerlaw,0.30000000000000004,0.1,0.3,1,0.9166666666666666,0.9245212,0.30555555555555525,0.3651999,33.72301232044063,25.02135,,,,
deg_centrality,N/A,powerlaw,0.4,0.1,0.3,1,0.9333333333333333,0.9362751,0.44444444444444453,0.48527327,25.36461292190067,19.142979,,,,
deg_centrality,N/A,powerlaw,0.5,0.1,0.3,1,0.9533333333333334,0.94969094,0.6111111111111114,0.6140281,16.088643290811426,12.834709,,,,
deg_centrality,N/A,powerlaw,0.6000000000000001,0.1,0.3,1,0.95,0.9625074,0.5833333333333329,0.67167455,16.03942796890211,11.952415,,,,
deg_centrality,N/A,powerlaw,0.7000000000000001,0.1,0.3,1,0.97,0.9738702,0.7499999999999998,0.78119034,9.64999679594623,7.787474,,,,
deg_centrality,N/A,powerlaw,0.8,0.1,0.3,1,0.99,0.9804844,0.9166666666666666,0.85304976,3.6552604145984104,4.237998,,,,
deg_centrality,N/A,powerlaw,0.9,0.1,0.3,1,0.99,0.9906426,0.9166666666666666,0.9215493,2.391370590632501,1.6239492,,,,
deg_centrality,N/A,powerlaw,1.0,0.1,0.3,1,1.0,0.9985753,1.0,0.98825914,0.0006583128249354958,0.032781173,,,,
deg_centrality,N/A,powerlaw,0.0,0.1,0.3,2,0.9,0.90020835,0.0,0.0,40.39548395108785,43.088097,,,,
deg_centrality,N/A,powerlaw,0.1,0.1,0.3,2,0.91,0.90112704,0.10000000000000012,0.0917954,37.06472852601156,37.389515,,,,
deg_centrality,N/A,powerlaw,0.2,0.1,0.3,2,0.93,0.9139243,0.3000000000000003,0.2674749,32.109492601516756,31.33497,,,,
deg_centrality,N/A,powerlaw,0.30000000000000004,0.1,0.3,2,0.9433333333333334,0.9297359,0.43333333333333346,0.40400127,25.11581127194755,24.29646,,,,
deg_centrality,N/A,powerlaw,0.4,0.1,0.3,2,0.97,0.94064105,0.6999999999999996,0.5555745,17.73584008869684,18.380665,,,,
deg_centrality,N/A,powerlaw,0.5,0.1,0.3,2,0.9533333333333334,0.9530343,0.5333333333333335,0.5651007,18.31672023116331,15.1052065,,,,
deg_centrality,N/A,powerlaw,0.6000000000000001,0.1,0.3,2,0.9666666666666667,0.96719545,0.6666666666666666,0.68936753,12.146853811444915,9.859006,,,,
deg_centrality,N/A,powerlaw,0.7000000000000001,0.1,0.3,2,0.98,0.9734491,0.7999999999999998,0.7642423,8.032478853648232,7.5108213,,,,
deg_centrality,N/A,powerlaw,0.8,0.1,0.3,2,0.9866666666666667,0.9843849,0.8666666666666669,0.85213846,4.265479678576266,3.7339323,,,,
deg_centrality,N/A,powerlaw,0.9,0.1,0.3,2,0.99,0.9910849,0.8999999999999999,0.913843,2.6035791146811857,1.8494806,,,,
