method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.962,0.9499248,0.0,0.0,13.416426632262304,10.398945,,,,
random,N/A,powerlaw,0.1,0.05,0.3,0,0.968,0.95609325,0.15789473684210525,0.11947936,11.786889337215614,8.948263,,,,
random,N/A,powerlaw,0.2,0.05,0.3,0,0.971,0.96171296,0.23684210526315788,0.19026579,10.260116422910993,7.654364,,,,
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.975,0.96656287,0.34210526315789475,0.27968505,8.408660289407395,6.3729057,,,,
random,N/A,powerlaw,0.4,0.05,0.3,0,0.987,0.97178906,0.6578947368421053,0.4632327,6.803911820407828,5.445649,,,,
random,N/A,powerlaw,0.5,0.05,0.3,0,0.986,0.9770992,0.631578947368421,0.5115243,5.8602530881003965,4.3249846,,,,
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.985,0.9819251,0.6052631578947368,0.55987823,5.090052310181309,3.396562,,,,
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.995,0.98732334,0.868421052631579,0.7223149,3.2528170214698875,2.4638038,,,,
random,N/A,powerlaw,0.8,0.05,0.3,0,0.997,0.991152,0.9210526315789473,0.79814494,2.2834949808636327,1.5745099,,,,
random,N/A,powerlaw,0.9,0.05,0.3,0,0.997,0.9945257,0.9210526315789473,0.86466545,1.106233213132059,0.9070425,,,,
random,N/A,powerlaw,1.0,0.05,0.3,0,1.0,0.999715,1.0,0.9925524,0.01091551552983435,0.00822149,,,,
random,N/A,powerlaw,0.0,0.1,0.3,0,0.894,0.9000375,0.0,0.0,14.643988603063695,13.579975,,,,
random,N/A,powerlaw,0.1,0.1,0.3,0,0.908,0.91173244,0.13207547169811334,0.13668698,12.78599764280672,11.407789,,,,
random,N/A,powerlaw,0.2,0.1,0.3,0,0.918,0.92214155,0.22641509433962287,0.23557226,11.186131504650785,9.647177,,,,
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.926,0.9342811,0.3018867924528305,0.32727385,9.24067429383305,7.8883624,,,,
random,N/A,powerlaw,0.4,0.1,0.3,0,0.942,0.94469887,0.4528301886792447,0.46422523,7.865105583619927,6.487313,,,,
random,N/A,powerlaw,0.5,0.1,0.3,0,0.953,0.9527346,0.5566037735849052,0.55293345,6.0733688473702205,5.086215,,,,
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.964,0.96460366,0.6603773584905657,0.6638601,4.226017810161273,3.725577,,,,
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.976,0.9749517,0.7735849056603771,0.7659397,3.1776322799577894,2.4694526,,,,
random,N/A,powerlaw,0.8,0.1,0.3,0,0.979,0.982444,0.80188679245283,0.8271943,2.1686517988119283,1.679701,,,,
random,N/A,powerlaw,0.9,0.1,0.3,0,0.992,0.99177444,0.9245283018867924,0.9221669,1.0060973540959879,0.8274231,,,,
random,N/A,powerlaw,1.0,0.1,0.3,0,1.0,0.9995684,1.0,0.99594384,0.00017009656047252002,0.0027193818,,,,
random,N/A,powerlaw,0.0,0.2,0.3,0,0.799,0.8005978,0.0,0.0,14.881353293706827,16.176695,,,,
random,N/A,powerlaw,0.1,0.2,0.3,0,0.82,0.82368886,0.10447761194029807,0.10644721,12.509984261579712,13.122116,,,,
random,N/A,powerlaw,0.2,0.2,0.3,0,0.842,0.8438549,0.21393034825870616,0.21586728,10.755928901937066,11.307053,,,,
random,N/A,powerlaw,0.30000000000000004,0.2,0.3,0,0.861,0.8632986,0.30845771144278583,0.328677,8.005198702770759,8.944469,,,,
random,N/A,powerlaw,0.4,0.2,0.3,0,0.893,0.89185584,0.46766169154228854,0.4867669,6.2867619950499245,6.839996,,,,
random,N/A,powerlaw,0.5,0.2,0.3,0,0.918,0.90932333,0.592039800995025,0.57527244,5.386812756581374,5.823123,,,,
random,N/A,powerlaw,0.6000000000000001,0.2,0.3,0,0.926,0.9298126,0.6318407960199006,0.65973616,3.872252500203252,4.1849794,,,,
random,N/A,powerlaw,0.7000000000000001,0.2,0.3,0,0.953,0.9484448,0.7661691542288555,0.75850356,2.5446306660212623,2.9639397,,,,
random,N/A,powerlaw,0.8,0.2,0.3,0,0.96,0.9668063,0.8009950248756217,0.8324808,1.666750104232012,1.8565339,,,,
random,N/A,powerlaw,0.9,0.2,0.3,0,0.983,0.9817052,0.9154228855721392,0.9117373,0.6917771957801487,0.81163025,,,,
random,N/A,powerlaw,1.0,0.2,0.3,0,0.999,0.9992411,0.9950248756218906,0.9962184,0.034798375082474714,0.043528214,,,,
random,N/A,powerlaw,0.0,0.05,0.3,1,0.939,0.94982535,0.0,0.0,9.25272222598974,8.80943,,,,
random,N/A,powerlaw,0.1,0.05,0.3,1,0.951,0.9537518,0.19672131147540983,0.20725238,6.754219077989777,7.1173077,,,,
random,N/A,powerlaw,0.2,0.05,0.3,1,0.951,0.96212316,0.19672131147540983,0.24134547,6.086871333860894,5.7815237,,,,
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,1,0.967,0.9668982,0.45901639344262296,0.4703576,5.025697682939089,4.8047333,,,,
random,N/A,powerlaw,0.4,0.05,0.3,1,0.972,0.97235036,0.5409836065573771,0.54401326,3.673375454150124,3.7618108,,,,
random,N/A,powerlaw,0.5,0.05,0.3,1,0.968,0.9757019,0.47540983606557374,0.5593759,3.4581226118643915,3.0963168,,,,
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,1,0.983,0.9833673,0.7213114754098361,0.7216045,2.4741841250340495,2.3261433,,,,
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,1,0.988,0.98700845,0.8032786885245902,0.79040647,1.5904370597025086,1.633495,,,,
random,N/A,powerlaw,0.8,0.05,0.3,1,0.996,0.9933846,0.9344262295081968,0.8959394,0.9401490356512336,0.95539135,,,,
random,N/A,powerlaw,0.9,0.05,0.3,1,0.996,0.99515367,0.9344262295081968,0.92162377,0.5009323628617981,0.52357364,,,,
random,N/A,powerlaw,1.0,0.05,0.3,1,1.0,0.99949366,1.0,0.991766,0.0023215007635899536,0.0047064014,,,,
random,N/A,powerlaw,0.0,0.1,0.3,1,0.895,0.90007085,0.0,0.0,11.897606964512681,11.709208,,,,
random,N/A,powerlaw,0.1,0.1,0.3,1,0.904,0.9113997,0.0857142857142858,0.0863301,10.482009987616236,9.858232,,,,
random,N/A,powerlaw,0.2,0.1,0.3,1,0.919,0.9239634,0.22857142857142881,0.22938932,8.845518683144626,7.8656073,,,,
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,1,0.939,0.93422586,0.41904761904761845,0.3983774,6.518443450772686,6.1285353,,,,
random,N/A,powerlaw,0.4,0.1,0.3,1,0.935,0.9456391,0.3809523809523814,0.4191397,6.406963217085311,5.136707,,,,
