method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
sequential,mov,rrg,0.0,0.2,0.3,0,0.8,0.8000036,0.0,0.0,6.140055301542994,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,0,0.8,0.86318237,0.0,0.0,5.873050190324102,7.035316,,,,
sequential,mov,rrg,0.2,0.2,0.3,0,0.8233333333333334,0.889966,0.11666666666666661,0.19222285,4.876226973257193,5.5694165,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,0,0.85,0.91802645,0.24999999999999972,0.39077836,4.606793265276613,4.449243,,,,
sequential,mov,rrg,0.4,0.2,0.3,0,0.86,0.93557495,0.29999999999999977,0.52391076,3.6216349924659275,3.1426752,,,,
sequential,mov,rrg,0.5,0.2,0.3,0,0.8866666666666667,0.9590657,0.43333333333333346,0.70176315,3.378216014771034,2.37862,,,,
sequential,mov,rrg,0.6000000000000001,0.2,0.3,0,0.9233333333333333,0.96172523,0.6166666666666666,0.75843936,1.965381132791293,1.6487854,,,,
sequential,mov,rrg,0.7000000000000001,0.2,0.3,0,0.9433333333333334,0.9689669,0.7166666666666667,0.8156304,1.0248797980164444,1.0518539,,,,
sequential,mov,rrg,0.8,0.2,0.3,0,0.96,0.9780766,0.7999999999999998,0.8784819,0.5035738521368817,0.52734894,,,,
sequential,mov,rrg,0.9,0.2,0.3,0,0.9833333333333333,0.9902411,0.9166666666666664,0.95032966,0.2548088529933442,0.2656338,,,,
sequential,mov,rrg,1.0,0.2,0.3,0,1.0,0.9999763,1.0,0.9998814,4.790157936896309e-07,0.002732506,,,,
sequential,mov,rrg,0.0,0.2,0.3,1,0.8066666666666666,0.8000036,0.0,0.0,4.913053310271021,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,1,0.8166666666666667,0.8458323,0.051724137931034524,0.034931205,4.429125694901832,6.30305,,,,
sequential,mov,rrg,0.2,0.2,0.3,1,0.83,0.8750122,0.12068965517241369,0.16474864,3.8337892780128002,4.998564,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,1,0.85,0.8965172,0.22413793103448273,0.3196557,3.0718734013140567,3.8458948,,,,
sequential,mov,rrg,0.4,0.2,0.3,1,0.87,0.92270404,0.32758620689655177,0.47394726,2.8879901751019452,2.8699617,,,,
sequential,mov,rrg,0.5,0.2,0.3,1,0.89,0.95099795,0.43103448275862083,0.64685607,2.4106734312900886,1.9898624,,,,
sequential,mov,rrg,0.6000000000000001,0.2,0.3,1,0.9233333333333333,0.95839417,0.6034482758620691,0.7440841,1.3756193700656316,1.280376,,,,
sequential,mov,rrg,0.7000000000000001,0.2,0.3,1,0.9466666666666667,0.96721476,0.7241379310344828,0.81458616,0.9112560811486522,0.81618494,,,,
sequential,mov,rrg,0.8,0.2,0.3,1,0.9733333333333334,0.98284537,0.8620689655172417,0.9061042,0.6099903529495918,0.48355967,,,,
sequential,mov,rrg,0.9,0.2,0.3,1,0.99,0.9907617,0.9482758620689655,0.95179677,0.36365246075087765,0.2642807,,,,
sequential,mov,rrg,1.0,0.2,0.3,1,1.0,0.99997497,1.0,0.9998705,3.603679704562417e-07,0.0024739874,,,,
sequential,mov,rrg,0.0,0.2,0.3,2,0.7666666666666667,0.8000036,0.0,0.0,6.894258905605393,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,2,0.77,0.8629957,0.014285714285714143,0.015917508,6.262779260397114,6.757064,,,,
sequential,mov,rrg,0.2,0.2,0.3,2,0.7833333333333333,0.88296306,0.07142857142857119,0.15288103,5.227053535905191,5.229488,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,2,0.8133333333333334,0.9135449,0.1999999999999999,0.3757968,4.774201360694181,4.163421,,,,
sequential,mov,rrg,0.4,0.2,0.3,2,0.8366666666666667,0.9335137,0.2999999999999999,0.55172276,3.8175790750327967,2.9295812,,,,
sequential,mov,rrg,0.5,0.2,0.3,2,0.86,0.9531773,0.3999999999999998,0.6804736,2.8861471205340634,2.1101928,,,,
sequential,mov,rrg,0.6000000000000001,0.2,0.3,2,0.88,0.95859927,0.4857142857142856,0.7378971,2.1615173485562926,1.5424742,,,,
sequential,mov,rrg,0.7000000000000001,0.2,0.3,2,0.9133333333333333,0.9643162,0.6285714285714284,0.8056228,1.2075337092885838,1.0542741,,,,
sequential,mov,rrg,0.8,0.2,0.3,2,0.9433333333333334,0.9743258,0.7571428571428572,0.874025,0.6299173323292134,0.5763823,,,,
sequential,mov,rrg,0.9,0.2,0.3,2,0.9733333333333334,0.98609525,0.8857142857142859,0.9363855,0.18623437483718977,0.19629893,,,,
sequential,mov,rrg,1.0,0.2,0.3,2,1.0,0.9999411,1.0,0.9997476,1.5149586367870924e-06,0.005418226,,,,
sequential,mov,rrg,0.0,0.2,0.3,3,0.83,0.8000036,0.0,0.0,6.157521682933884,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,3,0.83,0.8474314,0.0,0.0,5.39691103692762,6.5040936,,,,
sequential,mov,rrg,0.2,0.2,0.3,3,0.8366666666666667,0.8724371,0.039215686274510046,0.0865361,4.198875035522543,5.3802996,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,3,0.8566666666666667,0.9039104,0.15686274509803955,0.28505304,3.592422211613354,3.9861279,,,,
sequential,mov,rrg,0.4,0.2,0.3,3,0.8733333333333333,0.93066907,0.25490196078431365,0.45518118,3.1765236336684732,2.9446015,,,,
sequential,mov,rrg,0.5,0.2,0.3,3,0.89,0.9511147,0.3529411764705885,0.61559165,2.4889925670370734,1.8898658,,,,
sequential,mov,rrg,0.6000000000000001,0.2,0.3,3,0.9266666666666666,0.96204364,0.5686274509803921,0.7358535,1.4954807118891755,1.3229456,,,,
sequential,mov,rrg,0.7000000000000001,0.2,0.3,3,0.9466666666666667,0.9722801,0.6862745098039216,0.81004936,0.9582412849225646,0.8546225,,,,
sequential,mov,rrg,0.8,0.2,0.3,3,0.97,0.984747,0.8235294117647057,0.90018123,0.5883953939387735,0.514199,,,,
sequential,mov,rrg,0.9,0.2,0.3,3,0.99,0.9918433,0.9411764705882353,0.95090723,0.10961592769195043,0.24059986,,,,
sequential,mov,rrg,1.0,0.2,0.3,3,1.0,0.99997485,1.0,0.999852,5.112003643088223e-07,0.0026859883,,,,
sequential,mov,rrg,0.0,0.2,0.3,4,0.82,0.8000036,0.0,0.0,6.843898259357528,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,4,0.8266666666666667,0.8635824,0.037037037037037264,0.034145966,5.4727808649926475,6.972699,,,,
sequential,mov,rrg,0.2,0.2,0.3,4,0.84,0.8919227,0.11111111111111117,0.1914574,4.87125110219468,5.6767845,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,4,0.8566666666666667,0.9199397,0.20370370370370403,0.37159133,4.322498962264296,4.3195047,,,,
