method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
path_weight,N/A,rrg,0.0,0.05,0.3,0,0.94,0.94999987,0.0,0.0,12.823801807470772,11.267633,,,,
path_weight,N/A,rrg,0.03,0.05,0.3,0,0.95,0.9512091,0.16666666666666666,0.17009515,11.623110215298876,10.039631,,,,
path_weight,N/A,rrg,0.06,0.05,0.3,0,0.95,0.95380765,0.16666666666666666,0.17796004,11.31214537630538,9.71048,,,,
path_weight,N/A,rrg,0.09,0.05,0.3,0,0.9533333333333334,0.955531,0.22222222222222346,0.23067103,11.214730533071636,9.337596,,,,
path_weight,N/A,rrg,0.12,0.05,0.3,0,0.9566666666666667,0.95497936,0.2777777777777784,0.24238874,10.52050594150163,8.726567,,,,
path_weight,N/A,rrg,0.15,0.05,0.3,0,0.9566666666666667,0.96136045,0.2777777777777784,0.30135232,9.682377658653298,8.361367,,,,
path_weight,N/A,rrg,0.18,0.05,0.3,0,0.96,0.9637051,0.3333333333333333,0.3552719,8.375441073429688,7.7417808,,,,
path_weight,N/A,rrg,0.21,0.05,0.3,0,0.9633333333333334,0.96776366,0.3888888888888901,0.4198931,7.422398148049599,7.1388493,,,,
path_weight,N/A,rrg,0.24,0.05,0.3,0,0.9633333333333334,0.9711194,0.3888888888888901,0.44687986,7.100315818595436,6.838135,,,,
path_weight,N/A,rrg,0.27,0.05,0.3,0,0.9633333333333334,0.9782359,0.3888888888888901,0.51739866,6.868978554275139,5.755267,,,,
path_weight,N/A,rrg,0.3,0.05,0.3,0,0.9633333333333334,0.9817295,0.3888888888888901,0.5608456,6.863477076084626,5.2602506,,,,
path_weight,N/A,rrg,0.32999999999999996,0.05,0.3,0,0.9666666666666667,0.98227733,0.4444444444444451,0.60074526,6.039435507888465,5.0496078,,,,
path_weight,N/A,rrg,0.36,0.05,0.3,0,0.97,0.98136514,0.5,0.6168413,5.033445112585771,4.44361,,,,
path_weight,N/A,rrg,0.39,0.05,0.3,0,0.9733333333333334,0.98093605,0.5555555555555568,0.6212217,3.793652996284092,3.9830737,,,,
path_weight,N/A,rrg,0.42,0.05,0.3,0,0.9766666666666667,0.9845685,0.6111111111111117,0.7055481,3.549838165089791,3.6140552,,,,
path_weight,N/A,rrg,0.44999999999999996,0.05,0.3,0,0.9833333333333333,0.98594564,0.7222222222222217,0.73419523,2.9504499295751105,3.2084434,,,,
path_weight,N/A,rrg,0.48,0.05,0.3,0,0.9833333333333333,0.98870504,0.7222222222222217,0.78181404,2.832486857474419,2.8323922,,,,
path_weight,N/A,rrg,0.0,0.05,0.3,1,0.96,0.94999987,0.0,0.0,10.928793644018624,11.267633,,,,
path_weight,N/A,rrg,0.03,0.05,0.3,1,0.9633333333333334,0.95743865,0.08333333333333519,0.07262999,9.380998459675878,10.222983,,,,
path_weight,N/A,rrg,0.06,0.05,0.3,1,0.9666666666666667,0.96249896,0.1666666666666676,0.15093973,9.01782925969806,9.566024,,,,
path_weight,N/A,rrg,0.09,0.05,0.3,1,0.9666666666666667,0.9676589,0.1666666666666676,0.1709059,8.547726150048348,8.969376,,,,
path_weight,N/A,rrg,0.12,0.05,0.3,1,0.97,0.9681726,0.25,0.23907761,7.454785425742008,8.381201,,,,
path_weight,N/A,rrg,0.15,0.05,0.3,1,0.97,0.97277987,0.25,0.2686728,6.832677850273676,7.227341,,,,
