method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.05,0.3,0,0.96,0.949999,0.0,0.0,17.723817254387296,9.996869,161.75,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.05,0.3,0,0.97,0.9515677,0.25,0.03137405,12.621713883480602,8.727747,99.58333333333333,0.8,0.3333333333333333,0.47058823529411764
entropy,N/A,rrg,0.2,0.05,0.3,0,0.9766666666666667,0.9575637,0.4166666666666676,0.15129137,11.03074898630328,7.554882,98.33333333333333,1.0,0.4166666666666667,0.5882352941176471
entropy,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.98,0.9575533,0.5,0.15108395,8.262131350342667,7.17603,48.416666666666664,0.875,0.5833333333333334,0.7000000000000001
entropy,N/A,rrg,0.4,0.05,0.3,0,0.9833333333333333,0.9646565,0.5833333333333324,0.29314393,6.318638333389034,5.893567,39.333333333333336,0.8888888888888888,0.6666666666666666,0.761904761904762
entropy,N/A,rrg,0.5,0.05,0.3,0,0.9866666666666667,0.97134715,0.6666666666666676,0.4269548,3.976507874815586,4.6065526,22.25,0.8333333333333334,0.8333333333333334,0.8333333333333334
entropy,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.99,0.980238,0.75,0.6047685,3.044479560381656,3.0023084,13.666666666666666,0.8461538461538461,0.9166666666666666,0.8799999999999999
entropy,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.99,0.9863737,0.75,0.72748005,2.2479360085584235,1.8637073,13.916666666666666,0.8461538461538461,0.9166666666666666,0.8799999999999999
entropy,N/A,rrg,0.8,0.05,0.3,0,0.9933333333333333,0.98884565,0.8333333333333324,0.7769175,1.3798892258639153,1.4365718,6.833333333333333,0.8571428571428571,1.0,0.923076923076923
entropy,N/A,rrg,0.9,0.05,0.3,0,0.9933333333333333,0.98828083,0.8333333333333324,0.7656215,1.381733707071911,1.5618408,6.833333333333333,0.8571428571428571,1.0,0.923076923076923
entropy,N/A,rrg,1.0,0.05,0.3,0,0.9933333333333333,0.98813325,0.8333333333333324,0.7626699,1.3543706678059346,1.6520927,6.833333333333333,0.8571428571428571,1.0,0.923076923076923
entropy,N/A,rrg,0.0,0.1,0.3,0,0.8933333333333333,0.900001,0.0,0.0,25.907579854194932,15.682012,141.8125,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.1,0.3,0,0.9033333333333333,0.90915793,0.09375000000000007,0.09157033,23.157055646468446,14.030021,119.71875,1.0,0.09375,0.17142857142857143
entropy,N/A,rrg,0.2,0.1,0.3,0,0.9166666666666666,0.9177934,0.2187499999999998,0.1779258,19.811481153975997,12.311671,97.96875,0.8888888888888888,0.25,0.3902439024390244
entropy,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.9366666666666666,0.9268687,0.40624999999999994,0.26867953,15.35743277637653,10.298648,56.4375,0.8823529411764706,0.46875,0.6122448979591837
entropy,N/A,rrg,0.4,0.1,0.3,0,0.9533333333333334,0.93349165,0.5625000000000004,0.3349099,12.792715882788793,8.978806,46.03125,0.9090909090909091,0.625,0.7407407407407406
entropy,N/A,rrg,0.5,0.1,0.3,0,0.96,0.9466107,0.6249999999999998,0.46610162,11.582163542872847,7.2163568,33.0625,0.9166666666666666,0.6875,0.7857142857142857
