method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.7466666666666667,0.700053,0.0,0.0,16.206544375991463,20.542831,161.71052631578948,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.7533333333333333,0.7214655,0.026315789473683945,0.071387775,12.629250184012218,16.583302,124.27631578947368,0.5454545454545454,0.15789473684210525,0.24489795918367344
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7733333333333333,0.75403106,0.10526315789473666,0.17995873,10.670872346797077,13.9091015,98.26315789473684,0.625,0.2631578947368421,0.37037037037037035
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.8033333333333333,0.7891989,0.22368421052631574,0.29720548,9.43992331110672,11.14814,84.27631578947368,0.7297297297297297,0.35526315789473684,0.4778761061946903
entropy,N/A,rrg,0.4,0.3,0.3,0,0.8166666666666667,0.81763786,0.27631578947368407,0.39201885,7.88471653458285,9.491822,73.34210526315789,0.7333333333333333,0.4342105263157895,0.5454545454545454
entropy,N/A,rrg,0.5,0.3,0.3,0,0.8433333333333334,0.8502674,0.38157894736842113,0.50080323,7.712170573778793,8.044968,61.43421052631579,0.8085106382978723,0.5,0.6178861788617885
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8733333333333333,0.87706524,0.4999999999999998,0.5901451,5.497243756509486,6.0917373,55.78947368421053,0.8653846153846154,0.5921052631578947,0.703125
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.91,0.9016619,0.6447368421052633,0.67214835,3.9399514201239194,4.645928,47.73684210526316,0.9298245614035088,0.6973684210526315,0.7969924812030075
entropy,N/A,rrg,0.8,0.3,0.3,0,0.94,0.9273739,0.7631578947368418,0.7578702,3.430883493306377,3.7638965,43.61842105263158,0.9833333333333333,0.7763157894736842,0.8676470588235294
entropy,N/A,rrg,0.9,0.3,0.3,0,0.9733333333333334,0.9540509,0.8947368421052634,0.84680927,2.34461963773746,2.4796894,39.55263157894737,1.0,0.8947368421052632,0.9444444444444444
entropy,N/A,rrg,1.0,0.3,0.3,0,1.0,0.9773482,1.0,0.9244807,1.2922492682384523,1.4846855,38.5,1.0,1.0,1.0
entropy,N/A,rrg,0.0,0.3,0.3,1,0.6966666666666667,0.7000529,0.0,0.0,16.466821459864637,20.46203,155.9010989010989,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.7533333333333333,0.7300525,0.18681318681318673,0.100016154,13.418038497552546,17.076654,112.20879120879121,0.9473684210526315,0.1978021978021978,0.3272727272727272
entropy,N/A,rrg,0.2,0.3,0.3,1,0.7933333333333333,0.75799114,0.3186813186813187,0.19316147,11.818203864638605,14.715648,95.8021978021978,0.9142857142857143,0.3516483516483517,0.507936507936508
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.8133333333333334,0.7865183,0.3846153846153847,0.28826872,9.796336395395382,12.690471,84.27472527472527,0.8888888888888888,0.43956043956043955,0.588235294117647
entropy,N/A,rrg,0.4,0.3,0.3,1,0.8433333333333334,0.8126762,0.4835164835164837,0.37547714,8.002432914514111,10.194205,73.76923076923077,0.8793103448275862,0.5604395604395604,0.6845637583892618
entropy,N/A,rrg,0.5,0.3,0.3,1,0.8533333333333334,0.84410805,0.5164835164835166,0.48026848,6.004579540473704,7.6662793,66.61538461538461,0.8405797101449275,0.6373626373626373,0.725
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.89,0.8681133,0.6373626373626374,0.56030005,5.133533774063738,6.46703,56.989010989010985,0.8918918918918919,0.7252747252747253,0.8
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.9033333333333333,0.90372956,0.6813186813186813,0.6790419,4.518321310570537,4.409795,54.64835164835165,0.8690476190476191,0.8021978021978022,0.8342857142857143
entropy,N/A,rrg,0.8,0.3,0.3,1,0.92,0.9267863,0.7362637362637364,0.7559113,3.6957044234786425,3.2813842,50.956043956043956,0.8941176470588236,0.8351648351648352,0.8636363636363636
entropy,N/A,rrg,0.9,0.3,0.3,1,0.9533333333333334,0.94969535,0.8461538461538463,0.83228827,2.449373599508598,2.5065308,47.89010989010989,0.9425287356321839,0.9010989010989011,0.9213483146067416
entropy,N/A,rrg,1.0,0.3,0.3,1,0.9833333333333333,0.9746818,0.9450549450549449,0.9155911,1.7069401310394203,1.7440819,46.02197802197802,0.9479166666666666,1.0,0.9732620320855615
entropy,N/A,rrg,0.0,0.3,0.3,2,0.7366666666666667,0.7000529,0.0,0.0,16.1217953581181,20.454584,151.68354430379748,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,2,0.75,0.7263935,0.05063291139240497,0.087817505,13.794247010250896,16.923212,129.9240506329114,0.6666666666666666,0.10126582278481013,0.1758241758241758
entropy,N/A,rrg,0.2,0.3,0.3,2,0.7666666666666667,0.7575541,0.1139240506329115,0.19170447,12.1969176973194,13.642763,108.89873417721519,0.68,0.21518987341772153,0.3269230769230769
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,2,0.79,0.7962961,0.2025316455696203,0.32086727,10.619087195782102,10.718721,95.31645569620254,0.7,0.35443037974683544,0.4705882352941177
entropy,N/A,rrg,0.4,0.3,0.3,2,0.7933333333333333,0.82675713,0.21518987341772144,0.4224219,7.914871474638024,8.171886,79.24050632911393,0.660377358490566,0.4430379746835443,0.5303030303030303
entropy,N/A,rrg,0.5,0.3,0.3,2,0.8366666666666667,0.85725003,0.37974683544303794,0.52408284,6.457794185236067,6.779081,64.30379746835443,0.7678571428571429,0.5443037974683544,0.637037037037037
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,2,0.88,0.88852334,0.5443037974683544,0.62834555,6.257747007185085,5.5076485,56.48101265822785,0.8307692307692308,0.6835443037974683,0.75
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,2,0.92,0.90965027,0.6962025316455698,0.6987811,5.504852595258417,4.810458,48.45569620253165,0.8985507246376812,0.7848101265822784,0.8378378378378378
entropy,N/A,rrg,0.8,0.3,0.3,2,0.9433333333333334,0.9331085,0.7848101265822786,0.77698904,3.824727141230695,3.7807405,44.67088607594937,0.9428571428571428,0.8354430379746836,0.8859060402684563
entropy,N/A,rrg,0.9,0.3,0.3,2,0.9466666666666667,0.9554712,0.7974683544303797,0.85154456,3.0659055223369984,2.667635,42.54430379746835,0.92,0.8734177215189873,0.896103896103896
entropy,N/A,rrg,1.0,0.3,0.3,2,0.9866666666666667,0.979841,0.949367088607595,0.9327915,1.485757608555089,1.6535136,40.050632911392405,0.9518072289156626,1.0,0.9753086419753086
entropy,N/A,rrg,0.0,0.3,0.3,3,0.7,0.7000266,0.0,0.0,17.199716272959282,20.35327,157.53333333333333,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,3,0.7433333333333333,0.72205544,0.14444444444444443,0.07343605,13.080936564870738,16.180553,131.57777777777778,0.782608695652174,0.2,0.3185840707964602
entropy,N/A,rrg,0.2,0.3,0.3,3,0.7466666666666667,0.75974506,0.1555555555555558,0.19907926,11.234285730508773,13.143081,102.02222222222223,0.7333333333333333,0.24444444444444444,0.36666666666666664
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,3,0.7666666666666667,0.7926332,0.22222222222222252,0.30871603,9.055675773856034,10.599867,88.97777777777777,0.7,0.3888888888888889,0.5
entropy,N/A,rrg,0.4,0.3,0.3,3,0.8133333333333334,0.8197399,0.37777777777777793,0.3990797,7.148781744729034,8.520812,75.9888888888889,0.8148148148148148,0.4888888888888889,0.611111111111111
entropy,N/A,rrg,0.5,0.3,0.3,3,0.8366666666666667,0.8447623,0.45555555555555566,0.48249525,6.3681928628184,7.474484,66.61111111111111,0.8360655737704918,0.5666666666666667,0.6754966887417219
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,3,0.8866666666666667,0.8706726,0.6222222222222225,0.5688704,5.442463331783162,6.5212207,58.666666666666664,0.8783783783783784,0.7222222222222222,0.7926829268292683
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,3,0.9233333333333333,0.90090483,0.7444444444444445,0.66965353,4.263333188421269,5.1716194,52.96666666666667,0.935064935064935,0.8,0.8622754491017963
entropy,N/A,rrg,0.8,0.3,0.3,3,0.9333333333333333,0.9277918,0.7777777777777779,0.7592846,3.706919507229746,3.7077727,49.77777777777778,0.9375,0.8333333333333334,0.8823529411764706
entropy,N/A,rrg,0.9,0.3,0.3,3,0.9733333333333334,0.95275056,0.9111111111111113,0.84248793,2.4277046033196257,2.596557,46.4,0.9767441860465116,0.9333333333333333,0.9545454545454545
entropy,N/A,rrg,1.0,0.3,0.3,3,0.9966666666666667,0.97790253,0.988888888888889,0.9263353,1.5331277918864892,1.321296,45.53333333333333,0.989010989010989,1.0,0.994475138121547
entropy,N/A,rrg,0.0,0.3,0.3,4,0.72,0.7000266,0.0,0.0,16.110427023351217,20.464153,145.97619047619048,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,4,0.74,0.7224871,0.07142857142857148,0.074875034,12.768592436175162,17.133034,134.95238095238096,0.6363636363636364,0.16666666666666666,0.2641509433962264
entropy,N/A,rrg,0.2,0.3,0.3,4,0.7733333333333333,0.7508841,0.1904761904761905,0.16954017,11.005791170476884,14.674957,108.4047619047619,0.7105263157894737,0.32142857142857145,0.4426229508196722
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,4,0.82,0.7892334,0.35714285714285704,0.29738238,9.077260349033889,11.412018,84.9047619047619,0.8,0.47619047619047616,0.5970149253731344
entropy,N/A,rrg,0.4,0.3,0.3,4,0.84,0.8256677,0.4285714285714285,0.4188408,8.231679748329912,9.289277,73.46428571428571,0.8103448275862069,0.5595238095238095,0.6619718309859155
entropy,N/A,rrg,0.5,0.3,0.3,4,0.8633333333333333,0.84903044,0.5119047619047618,0.49672353,6.532172784880696,8.035171,65.47619047619048,0.8524590163934426,0.6190476190476191,0.7172413793103448
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,4,0.8733333333333333,0.8741301,0.5476190476190476,0.5803964,5.761070339098108,6.681166,60.36904761904762,0.859375,0.6547619047619048,0.7432432432432432
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,4,0.8966666666666666,0.89906454,0.6309523809523808,0.66351867,4.8951481509199155,5.591568,52.285714285714285,0.9076923076923077,0.7023809523809523,0.7919463087248322
entropy,N/A,rrg,0.8,0.3,0.3,4,0.9233333333333333,0.9284664,0.7261904761904763,0.7615335,3.5001308372520255,4.1363263,46.464285714285715,0.9295774647887324,0.7857142857142857,0.8516129032258065
entropy,N/A,rrg,0.9,0.3,0.3,4,0.97,0.9604416,0.8928571428571428,0.8681269,2.302106365188764,2.6617408,43.523809523809526,0.9629629629629629,0.9285714285714286,0.9454545454545454
entropy,N/A,rrg,1.0,0.3,0.3,4,0.9966666666666667,0.9820817,0.9880952380952382,0.9402671,1.5928251490023255,1.6055943,42.51190476190476,0.9882352941176471,1.0,0.9940828402366864
random,N/A,rrg,0.0,0.3,0.3,0,0.7066666666666667,0.7000529,0.0,0.0,17.07053067925458,20.441282,147.3181818181818,0.0,0.0,0.0
random,N/A,rrg,0.1,0.3,0.3,0,0.7433333333333333,0.7255002,0.12499999999999986,0.08483933,13.227576209769458,15.802788,127.9659090909091,0.72,0.20454545454545456,0.3185840707964602
random,N/A,rrg,0.2,0.3,0.3,0,0.7466666666666667,0.76079035,0.1363636363636365,0.20249382,11.131071439664924,12.9502735,107.01136363636364,0.7,0.23863636363636365,0.35593220338983056
random,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.8166666666666667,0.79809034,0.37499999999999994,0.32684907,9.15091656219998,10.966501,84.29545454545455,0.8367346938775511,0.4659090909090909,0.5985401459854014
random,N/A,rrg,0.4,0.3,0.3,0,0.8333333333333334,0.82604015,0.43181818181818193,0.42003152,7.15860503963162,8.469461,72.1590909090909,0.8064516129032258,0.5681818181818182,0.6666666666666667
random,N/A,rrg,0.5,0.3,0.3,0,0.84,0.851454,0.4545454545454544,0.5047594,5.983049668845572,6.725021,67.67045454545455,0.7857142857142857,0.625,0.6962025316455697
random,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.8666666666666667,0.8761855,0.5454545454545455,0.5872121,5.235032918253352,5.5705833,59.35227272727273,0.8428571428571429,0.6704545454545454,0.7468354430379747
random,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.91,0.90831774,0.6931818181818183,0.69433856,4.081358280150368,4.1507998,53.45454545454545,0.8961038961038961,0.7840909090909091,0.8363636363636362
random,N/A,rrg,0.8,0.3,0.3,0,0.9466666666666667,0.9358823,0.8181818181818181,0.7862365,2.7551657091326462,2.8093247,47.96590909090909,0.9,0.9204545454545454,0.9101123595505618
random,N/A,rrg,0.9,0.3,0.3,0,0.9733333333333334,0.9508783,0.9090909090909093,0.8362322,1.8249773739288537,2.2099683,45.19318181818182,0.9878048780487805,0.9204545454545454,0.9529411764705882
random,N/A,rrg,1.0,0.3,0.3,0,1.0,0.97674274,1.0,0.92246217,1.5402643298030394,1.5321547,44.5,1.0,1.0,1.0
random,N/A,rrg,0.0,0.3,0.3,1,0.6566666666666666,0.7000529,0.0,0.0,18.03736358775768,20.530476,146.2135922330097,0.0,0.0,0.0
