method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.95,0.9496646,0.0,0.0,6.786202555627204,7.3219123,117.8,0.0,0.0,0.0
random,N/A,powerlaw,0.1,0.05,0.3,0,0.9466666666666667,0.9480178,-0.06666666666666593,-0.032716867,2.2087342189303807,3.8293326,112.0,0.3333333333333333,0.06666666666666667,0.1111111111111111
random,N/A,powerlaw,0.2,0.05,0.3,0,0.9633333333333334,0.95424294,0.26666666666666816,0.09095689,1.9452328957266338,3.0021937,85.06666666666666,0.8333333333333334,0.3333333333333333,0.47619047619047616
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.95,0.96473825,0.0,0.2994643,1.5059454285611276,2.1078377,72.13333333333334,0.5,0.26666666666666666,0.3478260869565218
random,N/A,powerlaw,0.4,0.05,0.3,0,0.97,0.96972567,0.4,0.398548,1.299225692590629,1.8500057,52.266666666666666,0.8,0.5333333333333333,0.64
random,N/A,powerlaw,0.5,0.05,0.3,0,0.9733333333333334,0.97438955,0.4666666666666682,0.49120414,1.181842738385561,1.2214015,29.933333333333334,0.7692307692307693,0.6666666666666666,0.7142857142857142
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.96,0.9809828,0.2,0.62219,0.8730604249858133,0.9823309,31.4,0.6363636363636364,0.4666666666666667,0.5384615384615385
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.9733333333333334,0.98868173,0.4666666666666682,0.775143,0.7020485690711568,0.7326891,19.2,0.7692307692307693,0.6666666666666666,0.7142857142857142
random,N/A,powerlaw,0.8,0.05,0.3,0,0.9833333333333333,0.99208474,0.666666666666666,0.8427497,0.42007254011872475,0.4424065,11.333333333333334,0.8125,0.8666666666666667,0.8387096774193549
random,N/A,powerlaw,0.9,0.05,0.3,0,0.9966666666666667,0.99470806,0.9333333333333341,0.89486647,0.21113072966582364,0.41729745,8.0,0.9375,1.0,0.967741935483871
