method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.05,0.3,0,0.956,0.95000243,0.0,0.0,15.685908625448857,14.239045,,,,
random,N/A,rrg,0.1,0.05,0.3,0,0.959,0.9576045,0.06818181818181818,0.049033828,10.259050720424431,9.454533,,,,
random,N/A,rrg,0.2,0.05,0.3,0,0.965,0.96627295,0.20454545454545456,0.19062066,6.585286855972485,5.94892,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.972,0.9669689,0.36363636363636365,0.31314296,4.0985715075748,3.9317837,,,,
random,N/A,rrg,0.4,0.05,0.3,0,0.981,0.9792161,0.5681818181818182,0.52527237,2.703686668172685,2.5474195,,,,
random,N/A,rrg,0.5,0.05,0.3,0,0.991,0.99053615,0.7954545454545454,0.791541,1.6214343028792246,1.8546424,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.985,0.98828775,0.6590909090909091,0.7415395,1.2069702428338651,1.1929485,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.996,0.9945139,0.9090909090909091,0.8794596,0.8164089794801689,0.81354624,,,,
random,N/A,rrg,0.8,0.05,0.3,0,0.995,0.99584275,0.8863636363636364,0.90467477,0.42276096828598714,0.4811855,,,,
random,N/A,rrg,0.9,0.05,0.3,0,1.0,0.9992064,1.0,0.9820604,0.16872976918393168,0.2249923,,,,
random,N/A,rrg,1.0,0.05,0.3,0,1.0,0.9999669,1.0,0.9992478,2.8870115375195552e-05,0.02287412,,,,
random,N/A,rrg,0.0,0.1,0.3,0,0.9,0.9000016,0.0,0.0,10.682161676636609,10.708196,,,,
random,N/A,rrg,0.1,0.1,0.3,0,0.909,0.90993285,0.0900000000000001,0.11811113,7.647402040653558,7.4808416,,,,
random,N/A,rrg,0.2,0.1,0.3,0,0.925,0.9331487,0.2500000000000003,0.28319046,5.558237917317505,5.685776,,,,
random,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.933,0.94030917,0.33000000000000035,0.3538462,3.8348534724869334,3.7903216,,,,
random,N/A,rrg,0.4,0.1,0.3,0,0.945,0.9509153,0.4499999999999994,0.5203231,3.2073999428152127,2.7812366,,,,
random,N/A,rrg,0.5,0.1,0.3,0,0.968,0.9662165,0.6799999999999996,0.64353985,1.899435616436193,1.9738265,,,,
random,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.973,0.9769239,0.7299999999999996,0.7594295,1.2623345527928083,1.260387,,,,
