method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.05,0.3,0,0.965,0.9499989,0.0,0.0,14.968532223760445,10.0312,135.71428571428572,0.0,0.0,0.0
random,N/A,rrg,0.1,0.05,0.3,0,0.945,0.94019043,-0.5714285714285714,-0.19616535,13.326749821480767,9.441082,55.0,0.16666666666666666,0.14285714285714285,0.15384615384615383
random,N/A,rrg,0.2,0.05,0.3,0,0.93,0.93877745,-0.9999999999999968,-0.2244245,10.63782212560434,8.168932,25.0,0.23076923076923078,0.42857142857142855,0.3
random,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.945,0.9544879,-0.5714285714285714,0.08977815,8.607868116080489,6.8525543,15.285714285714286,0.3333333333333333,0.5714285714285714,0.4210526315789474
random,N/A,rrg,0.4,0.05,0.3,0,0.95,0.9705887,-0.42857142857142855,0.41178644,6.132621687904068,4.3017216,11.142857142857142,0.4,0.8571428571428571,0.5454545454545455
random,N/A,rrg,0.5,0.05,0.3,0,0.955,0.97067213,-0.2857142857142857,0.41345534,6.34200732834741,4.068529,7.428571428571429,0.4166666666666667,0.7142857142857143,0.5263157894736842
random,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.95,0.9765187,-0.42857142857142855,0.530384,6.599499282584798,2.6837018,5.428571428571429,0.4,0.8571428571428571,0.5454545454545455
random,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.95,0.9841481,-0.42857142857142855,0.68296856,4.9365922660332044,2.0042572,5.571428571428571,0.4,0.8571428571428571,0.5454545454545455
random,N/A,rrg,0.8,0.05,0.3,0,0.98,0.9832225,0.42857142857142855,0.66445696,2.572343657363119,2.0681038,4.714285714285714,0.6666666666666666,0.8571428571428571,0.75
random,N/A,rrg,0.9,0.05,0.3,0,0.985,0.9871221,0.5714285714285714,0.742448,1.611009597795423,1.7056153,4.857142857142857,0.75,0.8571428571428571,0.7999999999999999
random,N/A,rrg,1.0,0.05,0.3,0,1.0,0.9933545,1.0,0.86709285,0.7638590657447744,1.3852383,4.0,1.0,1.0,1.0
random,N/A,rrg,0.0,0.1,0.3,0,0.94,0.90000105,0.0,0.0,18.258587780464524,15.7181,102.25,0.0,0.0,0.0
random,N/A,rrg,0.1,0.1,0.3,0,0.94,0.91029084,0.0,0.10289896,15.295474063657077,12.348069,68.91666666666667,0.5,0.16666666666666666,0.25
random,N/A,rrg,0.2,0.1,0.3,0,0.895,0.91363037,-0.7499999999999981,0.1362946,12.912192749446204,9.675058,59.75,0.15384615384615385,0.16666666666666666,0.16
random,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.895,0.9312004,-0.7499999999999981,0.31199664,13.965331827644867,6.716653,34.0,0.2631578947368421,0.4166666666666667,0.3225806451612903
random,N/A,rrg,0.4,0.1,0.3,0,0.905,0.9480648,-0.5833333333333315,0.4806426,11.518032610426184,5.655766,31.583333333333332,0.29411764705882354,0.4166666666666667,0.3448275862068966
random,N/A,rrg,0.5,0.1,0.3,0,0.915,0.9456528,-0.4166666666666648,0.45652214,8.260544902567524,4.850024,21.0,0.38095238095238093,0.6666666666666666,0.4848484848484849
random,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.925,0.9602767,-0.24999999999999814,0.60276306,6.656839361541095,3.45927,23.916666666666668,0.4117647058823529,0.5833333333333334,0.4827586206896552
random,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.925,0.9621948,-0.24999999999999814,0.621944,5.586703378850119,2.8392813,13.25,0.43478260869565216,0.8333333333333334,0.5714285714285714
random,N/A,rrg,0.8,0.1,0.3,0,0.94,0.97336763,0.0,0.7336735,4.956808603441153,2.4791346,11.166666666666666,0.5,0.75,0.6
