method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
sequential,ov,rrg,0.0,0.1,0.3,0,0.89,0.900001,0.0,0.0,24.887200729201517,15.732763,161.87878787878788,0.0,0.0,0.0
sequential,ov,rrg,0.1,0.1,0.3,0,0.8966666666666666,0.895288,0.06060606060606,-0.047130454,16.944463905780314,13.183336,120.96969696969697,0.625,0.15151515151515152,0.24390243902439024
sequential,ov,rrg,0.2,0.1,0.3,0,0.9166666666666666,0.8893473,0.242424242424242,-0.1065378,12.508184572733104,11.813201,75.39393939393939,0.8333333333333334,0.30303030303030304,0.4444444444444444
sequential,ov,rrg,0.30000000000000004,0.1,0.3,0,0.9333333333333333,0.91239566,0.393939393939394,0.123947896,11.062279496389344,9.105572,61.93939393939394,0.8421052631578947,0.48484848484848486,0.6153846153846154
sequential,ov,rrg,0.4,0.1,0.3,0,0.94,0.9269163,0.454545454545454,0.26915577,9.338933981199762,7.544987,47.96969696969697,0.8571428571428571,0.5454545454545454,0.6666666666666665
sequential,ov,rrg,0.5,0.1,0.3,0,0.9533333333333334,0.936516,0.575757575757576,0.36515358,7.838310195157001,6.168912,41.54545454545455,1.0,0.5757575757575758,0.7307692307692308
sequential,ov,rrg,0.6000000000000001,0.1,0.3,0,0.9633333333333334,0.9509367,0.666666666666667,0.5093619,6.248198161156643,4.5045466,32.484848484848484,0.9583333333333334,0.696969696969697,0.8070175438596493
sequential,ov,rrg,0.7000000000000001,0.1,0.3,0,0.9633333333333334,0.9604848,0.666666666666667,0.6048441,4.729338626869265,3.518621,29.484848484848484,0.8928571428571429,0.7575757575757576,0.819672131147541
sequential,ov,rrg,0.8,0.1,0.3,0,0.9733333333333334,0.9667517,0.757575757575758,0.66751367,3.012021463724746,2.8741028,21.727272727272727,0.8787878787878788,0.8787878787878788,0.8787878787878788
sequential,ov,rrg,0.9,0.1,0.3,0,0.9833333333333333,0.97666395,0.848484848484848,0.76663715,2.250260618400048,2.3543115,18.78787878787879,0.9117647058823529,0.9393939393939394,0.9253731343283583
sequential,ov,rrg,1.0,0.1,0.3,0,0.99,0.98493385,0.909090909090909,0.84933704,1.6637988979629093,1.6962382,17.242424242424242,0.9166666666666666,1.0,0.9565217391304348
sequential,ov,rrg,0.0,0.1,0.3,1,0.9133333333333333,0.900001,0.0,0.0,24.18085684956642,15.676728,140.15384615384616,0.0,0.0,0.0
sequential,ov,rrg,0.1,0.1,0.3,1,0.9166666666666666,0.887802,0.03846153846153807,-0.12199105,17.584438237967767,14.4439945,116.23076923076923,0.5714285714285714,0.15384615384615385,0.24242424242424246
sequential,ov,rrg,0.2,0.1,0.3,1,0.9333333333333333,0.89667004,0.23076923076923098,-0.033309788,15.472057545135188,11.701461,73.46153846153847,0.75,0.34615384615384615,0.4736842105263157
sequential,ov,rrg,0.30000000000000004,0.1,0.3,1,0.95,0.9074421,0.4230769230769226,0.07441177,13.142373799948045,9.923752,66.34615384615384,0.9230769230769231,0.46153846153846156,0.6153846153846155
