method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.3,0.3,0.3,0,0.76,0.7734701,0.3333333333333333,0.2448999257325713,10.03295934933888,10.286066973772565,14.88888888888889,0.8,0.4444444444444444,0.5714285714285714
random,rrg,0.3,0.3,0.3,1,0.76,0.8039384,0.0769230769230769,0.3464609325112126,5.321201641056529,6.9050931333491015,16.53846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384
random,rrg,0.3,0.3,0.3,2,0.84,0.763407,0.5294117647058822,0.2113562011316146,9.406095187899398,12.722188494550169,15.117647058823527,0.9090909090909092,0.5882352941176471,0.7142857142857143
random,rrg,0.3,0.3,0.3,3,0.68,0.7823555,0.2000000000000001,0.2745178875625302,11.63639071758051,11.83562117520065,17.55,0.7,0.35,0.4666666666666667
random,rrg,0.3,0.3,0.3,4,0.82,0.7761953,0.0,0.2539838773319833,7.158615426024656,10.491728734679311,16.0,0.5,0.3333333333333333,0.4
random,rrg,0.6,0.3,0.3,0,0.86,,0.4615384615384615,,,,10.076923076923077,0.75,0.6923076923076923,0.7199999999999999
random,rrg,0.6,0.3,0.3,1,0.84,0.8790142,0.4999999999999998,0.596713915938364,3.3183395070024657,3.9275763845324985,9.3125,0.9,0.5625,0.6923076923076923
random,rrg,0.6,0.3,0.3,2,0.84,0.89407027,0.4999999999999998,0.6469006958250102,6.245602138028168,4.489916032772967,11.625,0.8333333333333334,0.625,0.7142857142857143
random,rrg,0.6,0.3,0.3,3,0.86,,0.588235294117647,,,,12.0,0.8571428571428571,0.7058823529411765,0.7741935483870968
random,rrg,0.6,0.3,0.3,4,0.94,,0.7499999999999998,,,,8.5,0.9090909090909092,0.8333333333333334,0.8695652173913043
greedySampleReplace,rrg,0.3,0.3,0.3,0,0.98,0.78065443,0.9285714285714284,-1.6321493455403762,5.528285064060543,10.030898610423806,9.214285714285714,1.0,0.9285714285714286,0.962962962962963
greedySampleReplace,rrg,0.3,0.3,0.3,1,1.0,0.79582435,1.0,-1.4501101494885915,5.859248386800732,10.281905867031416,6.5,1.0,1.0,1.0
greedySampleReplace,rrg,0.3,0.3,0.3,2,1.0,0.78081274,1.0,-1.63024962449038,5.7411089782834495,11.505822366440082,6.5,1.0,1.0,1.0
greedySampleReplace,rrg,0.3,0.3,0.3,3,0.84,0.79433054,0.6363636363636362,-1.4680359058722552,7.168257658240285,9.306842873654928,14.954545454545457,1.0,0.6363636363636364,0.7777777777777778
greedySampleReplace,rrg,0.3,0.3,0.3,4,0.9,0.7863876,0.6875,-1.5633509763250124,5.79552454278978,9.45455475971922,12.3125,1.0,0.6875,0.8148148148148148
