method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,er,0.0,0.2,0.3,0,0.7821782178217822,0.8000003,0.0,0.0,21.867030264289415,19.33813955531346,55.81818181818182,0.0,0.0,0.0
random,er,0.0,0.2,0.3,1,0.801980198019802,0.8000003,0.0,0.0,18.204718860533152,18.022824477834554,50.1,0.0,0.0,0.0
random,er,0.1,0.2,0.3,0,0.801980198019802,0.80813617,-0.17647058823529357,0.04067933903114884,13.883352893368528,14.727931136120004,39.88235294117647,0.2857142857142857,0.11764705882352941,0.16666666666666666
random,er,0.1,0.2,0.3,1,0.7920792079207921,0.8104696,0.0,0.052346668303810115,16.3234930242227,15.799216250664145,40.38095238095238,0.5,0.09523809523809523,0.16
random,er,0.2,0.2,0.3,0,0.7920792079207921,0.83459747,0.1250000000000001,0.17298606024012364,14.96776011408153,11.314373594235287,30.625,0.6666666666666666,0.25,0.36363636363636365
random,er,0.2,0.2,0.3,1,0.8613861386138614,0.8491154,0.0,0.24557568937348864,12.109050191298941,9.432063612397902,30.071428571428573,0.5,0.35714285714285715,0.41666666666666663
random,er,0.30000000000000004,0.2,0.3,0,0.8811881188118812,0.8697331,0.20000000000000015,0.3486648546837375,9.871996334206235,8.854429408828123,27.0,0.6363636363636364,0.4666666666666667,0.5384615384615385
random,er,0.30000000000000004,0.2,0.3,1,0.8316831683168316,0.8421752,0.1499999999999996,0.2108747054780926,9.687758667140713,8.919021313401784,31.5,0.6153846153846154,0.4,0.4848484848484849
random,er,0.4,0.2,0.3,0,0.8712871287128713,,0.409090909090909,,,,23.954545454545453,0.9090909090909091,0.45454545454545453,0.6060606060606061
random,er,0.4,0.2,0.3,1,0.8415841584158416,,0.2727272727272725,,,,24.90909090909091,0.6875,0.5,0.5789473684210527
random,er,0.5,0.2,0.3,0,0.8811881188118812,0.88401884,0.52,0.42009329333458106,6.175125532826424,6.3952014472903285,21.4,0.782608695652174,0.72,0.7499999999999999
random,er,0.5,0.2,0.3,1,0.8514851485148515,0.89936733,0.3478260869565216,0.49683588252859984,8.231425047574163,5.548093148838125,21.869565217391305,0.7222222222222222,0.5652173913043478,0.6341463414634146
random,er,0.6000000000000001,0.2,0.3,0,0.9207920792079208,,0.5294117647058827,,,,13.058823529411764,0.7647058823529411,0.7647058823529411,0.7647058823529412
random,er,0.6000000000000001,0.2,0.3,1,0.8811881188118812,0.8949402,0.5862068965517242,0.47470017327097086,7.281930243983407,6.012761514726187,22.310344827586206,0.8695652173913043,0.6896551724137931,0.7692307692307693
random,er,0.7000000000000001,0.2,0.3,0,0.9306930693069307,0.93730044,0.774193548387097,0.6865017324116851,4.985280928849097,3.5213870974005204,17.967741935483872,0.875,0.9032258064516129,0.8888888888888888
random,er,0.7000000000000001,0.2,0.3,1,0.900990099009901,,0.47368421052631576,,,,16.31578947368421,1.0,0.47368421052631576,0.6428571428571429
random,er,0.8,0.2,0.3,0,0.9504950495049505,0.94708556,0.8148148148148147,0.7354274656758772,4.08781085316434,3.628488967281362,16.11111111111111,0.9583333333333334,0.8518518518518519,0.9019607843137256
random,er,0.8,0.2,0.3,1,0.8811881188118812,,0.5384615384615385,,,,18.153846153846153,0.85,0.6538461538461539,0.7391304347826088
random,er,0.9,0.2,0.3,0,0.9207920792079208,,0.6521739130434784,,,,15.521739130434783,0.8,0.8695652173913043,0.8333333333333333
random,er,0.9,0.2,0.3,1,0.9900990099009901,,0.9583333333333333,,,,12.5,1.0,0.9583333333333334,0.9787234042553191
random,er,1.0,0.2,0.3,0,0.9603960396039604,0.9736838,0.7999999999999998,0.8684187076564348,1.1972712835916446,1.717189627910828,11.35,0.8333333333333334,1.0,0.9090909090909091
random,er,1.0,0.2,0.3,1,0.9702970297029703,,0.857142857142857,,,,12.380952380952381,0.875,1.0,0.9333333333333333
