method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.72,0.70000005,0.0,0.0,14.931923951597778,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.72,0.70000005,0.0,0.0,14.503359705123945,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.72,0.70000005,0.0,0.0,15.630337623849403,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.72,0.70000005,0.0,0.0,14.83583397889313,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.72,0.70000005,0.0,0.0,16.463666563888903,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,5,0.72,0.70000005,0.0,0.0,15.977272630182917,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,6,0.72,0.70000005,0.0,0.0,16.194228905027625,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,7,0.72,0.70000005,0.0,0.0,14.657588039299366,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,8,0.72,0.70000005,0.0,0.0,14.071646366452692,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,9,0.72,0.70000005,0.0,0.0,15.67838450819057,20.96310521180815,21.785714285714285,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.74,0.726302,0.07142857142857148,0.08767346192703795,14.826101706014251,16.513670001856923,23.142857142857142,0.6666666666666666,0.14285714285714285,0.23529411764705882
random,rrg,0.1,0.3,0.3,1,0.74,0.716763,0.07142857142857148,0.055876769388645116,13.204042687960715,17.50042140308001,24.785714285714285,1.0,0.07142857142857142,0.13333333333333333
random,rrg,0.1,0.3,0.3,2,0.76,0.73433334,0.14285714285714296,0.11444448969982109,11.44252135927084,15.870978567337636,23.857142857142858,0.75,0.21428571428571427,0.3333333333333333
random,rrg,0.1,0.3,0.3,3,0.8,0.72618103,0.2857142857142859,0.0872701371800845,12.222970984548065,15.831661554745331,22.857142857142858,1.0,0.2857142857142857,0.4444444444444445
random,rrg,0.1,0.3,0.3,4,0.72,0.73132443,0.0,0.10441481652200951,16.556477819025673,16.32536430362544,20.142857142857142,0.5,0.14285714285714285,0.22222222222222224
random,rrg,0.1,0.3,0.3,5,0.74,0.7292581,0.07142857142857148,0.09752710272760778,11.394043829017654,15.129747265172883,22.0,0.6,0.21428571428571427,0.3157894736842105
random,rrg,0.1,0.3,0.3,6,0.72,0.7010872,0.0,0.003623962258340428,12.665133376006885,17.94900598046009,24.928571428571427,0.5,0.07142857142857142,0.125
random,rrg,0.1,0.3,0.3,7,0.76,0.72928643,0.14285714285714296,0.09762147674475206,11.034565287409741,15.609296487258451,22.785714285714285,0.75,0.21428571428571427,0.3333333333333333
random,rrg,0.1,0.3,0.3,8,0.74,0.711465,0.07142857142857148,0.038216708572041645,13.6819889855863,17.314129838924288,21.285714285714285,0.5714285714285714,0.2857142857142857,0.38095238095238093
random,rrg,0.1,0.3,0.3,9,0.74,0.7259977,0.07142857142857148,0.08665899091327227,13.96478581621932,16.732056661881412,19.428571428571427,0.6,0.21428571428571427,0.3157894736842105
random,rrg,0.2,0.3,0.3,0,0.72,0.7439489,-0.07692307692307698,0.1464961205317371,8.711020070600355,12.71207994758603,20.923076923076923,0.4,0.15384615384615385,0.2222222222222222
random,rrg,0.2,0.3,0.3,1,0.8,0.76597023,0.23076923076923098,0.21990064301501003,9.521464004119231,12.395095416646685,16.307692307692307,0.8,0.3076923076923077,0.4444444444444444
random,rrg,0.2,0.3,0.3,2,0.78,0.7671283,0.15384615384615397,0.22376083910637523,12.409996504014238,14.163867084038424,16.923076923076923,0.75,0.23076923076923078,0.3529411764705882
random,rrg,0.2,0.3,0.3,3,0.74,0.7441643,0.0,0.14721415793326026,9.972179498505112,13.475890169462227,17.0,0.5,0.23076923076923078,0.3157894736842105
random,rrg,0.2,0.3,0.3,4,0.82,0.752021,0.30769230769230754,0.17340325091731562,9.510330628972135,12.588654947280371,15.076923076923077,0.75,0.46153846153846156,0.5714285714285714
random,rrg,0.2,0.3,0.3,5,0.8,0.75933576,0.23076923076923098,0.19778572683107484,10.45365293861174,12.963727130829959,15.923076923076923,0.8,0.3076923076923077,0.4444444444444444
random,rrg,0.2,0.3,0.3,6,0.76,0.76896757,0.07692307692307698,0.22989177384245774,6.843825260884006,11.732020617030003,17.384615384615383,0.6,0.23076923076923078,0.33333333333333337
random,rrg,0.2,0.3,0.3,7,0.78,0.7437085,0.15384615384615397,0.14569483529644572,13.854971832010605,14.499174209615928,18.23076923076923,0.6666666666666666,0.3076923076923077,0.42105263157894735
