method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.725,0.70000005,0.0,0.0,15.739601535770163,20.572424890639688,22.545454545454547,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.7,0.7000001,0.0,0.0,17.04377129388605,20.438030221918556,20.5,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.65,0.70000005,0.0,0.0,18.627649288410293,20.59183300834082,18.428571428571427,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.675,0.7000001,0.0,0.0,18.315898419905952,20.212913005689707,16.846153846153847,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.7,0.70000005,0.0,0.0,16.51080921237525,20.679761062002278,13.833333333333334,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.7,0.726048,0.0,0.08682667864057705,13.818718730502956,17.49110953571475,17.333333333333332,0.5,0.08333333333333333,0.14285714285714285
random,rrg,0.1,0.3,0.3,1,0.775,0.7310313,0.0,0.10343734148884111,9.403017776472634,15.417380532240637,17.88888888888889,0.5,0.1111111111111111,0.1818181818181818
random,rrg,0.1,0.3,0.3,2,0.625,0.75250006,-0.153846153846154,0.17499989569183433,16.59396404072072,13.436749530593127,20.153846153846153,0.25,0.07692307692307693,0.11764705882352941
random,rrg,0.1,0.3,0.3,3,0.725,0.7394725,0.15384615384615366,0.1315750626097098,13.619442626910507,17.23053181994847,17.384615384615383,1.0,0.15384615384615385,0.2666666666666667
random,rrg,0.1,0.3,0.3,4,0.8,0.71611273,0.20000000000000018,0.05370877120411161,10.166647554150767,16.739432406869646,17.4,1.0,0.2,0.33333333333333337
random,rrg,0.2,0.3,0.3,0,0.775,0.7587946,0.10000000000000009,0.19598173156720733,8.437897572982289,11.133352216218114,10.1,0.5555555555555556,0.5,0.5263157894736842
random,rrg,0.2,0.3,0.3,1,0.775,0.7740565,0.0,0.2468547114408971,10.742369880729537,13.141691951296306,14.0,0.5,0.2222222222222222,0.30769230769230765
random,rrg,0.2,0.3,0.3,2,0.775,0.76005983,0.0,0.20019947686992182,13.56058307411771,14.025185281470442,14.333333333333334,0.5,0.1111111111111111,0.1818181818181818
