method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.75,0.7000001,0.0,0.0,14.730535404621449,20.71657929036929,17.3,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.675,0.7000001,0.0,0.0,16.24296083971534,20.418013194880324,24.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.55,0.7000001,0.0,0.0,18.395074130251054,20.028849338345708,20.444444444444443,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.6,0.7000001,0.0,0.0,20.33461764979065,20.924546113595294,14.5625,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.775,0.70000005,0.0,0.0,13.091686088485673,20.773826960490158,19.555555555555557,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.6,0.72166044,0.058823529411764754,0.07220111885905543,15.91896582291912,15.826376225762454,19.352941176470587,0.6666666666666666,0.11764705882352941,0.2
random,rrg,0.1,0.3,0.3,1,0.8,0.7156021,0.11111111111111122,0.05200703732144684,10.721579483584279,17.263013560244097,21.11111111111111,1.0,0.1111111111111111,0.19999999999999998
random,rrg,0.1,0.3,0.3,2,0.625,0.72917235,0.0,0.09724084040195002,17.989333156050073,17.042598306330763,20.333333333333332,0.5,0.06666666666666667,0.11764705882352941
random,rrg,0.1,0.3,0.3,3,0.775,0.7158779,0.0,0.052925963256107544,13.108433382581149,17.265000710025998,17.333333333333332,0.5,0.2222222222222222,0.30769230769230765
random,rrg,0.1,0.3,0.3,4,0.75,0.72459966,0.1666666666666668,0.081998718897298,16.380919766876055,17.631362409890535,17.5,1.0,0.16666666666666666,0.2857142857142857
random,rrg,0.2,0.3,0.3,0,0.825,0.7514157,0.0,0.17138563337097698,10.707371099059923,16.449593519207014,10.857142857142858,0.5,0.2857142857142857,0.36363636363636365
random,rrg,0.2,0.3,0.3,1,0.75,0.7402172,0.47368421052631576,0.1340570531890185,14.078842975505163,14.588753451446715,15.31578947368421,1.0,0.47368421052631576,0.6428571428571429
random,rrg,0.2,0.3,0.3,2,0.8,0.76000005,0.5000000000000001,0.20000019868214136,13.438649874262813,15.242105625754363,13.9375,1.0,0.5,0.6666666666666666
random,rrg,0.2,0.3,0.3,3,0.85,0.7771858,0.24999999999999972,0.257285874253253,8.424499022980372,12.765829496640896,11.125,0.75,0.375,0.5
random,rrg,0.2,0.3,0.3,4,0.725,0.72141284,-0.10000000000000009,0.07137560841475,6.837978223030132,12.017194980605769,11.2,0.4444444444444444,0.4,0.4210526315789474
random,rrg,0.30000000000000004,0.3,0.3,0,0.75,0.8053094,0.0,0.35103115078927505,4.582265853959552,8.605057510638053,11.9,0.5,0.3,0.37499999999999994
random,rrg,0.30000000000000004,0.3,0.3,1,0.775,0.7882202,0.30769230769230765,0.29406717008767647,11.653739807848257,12.183325624359293,11.846153846153847,0.8333333333333334,0.38461538461538464,0.5263157894736842
random,rrg,0.30000000000000004,0.3,0.3,2,0.7,0.7942222,0.33333333333333315,0.3140736749435693,9.775829907039318,10.637083864131927,17.11111111111111,0.875,0.3888888888888889,0.5384615384615385
random,rrg,0.30000000000000004,0.3,0.3,3,0.7,0.8244847,-0.7142857142857141,0.41494881051934934,8.413697469875402,8.397388793452796,15.285714285714286,0.0,0.0,0.0
random,rrg,0.30000000000000004,0.3,0.3,4,0.75,0.76274824,0.1666666666666668,0.20916067904801036,10.628796374357407,11.467070215064672,13.083333333333334,0.6,0.5,0.5454545454545454
random,rrg,0.4,0.3,0.3,0,0.75,,0.3333333333333333,,,,11.933333333333334,0.8571428571428571,0.4,0.5454545454545455
random,rrg,0.4,0.3,0.3,1,0.775,0.810503,0.35714285714285715,0.3683433783712634,8.901158826645897,9.37852381388392,11.785714285714286,0.7272727272727273,0.5714285714285714,0.64
random,rrg,0.4,0.3,0.3,2,0.65,0.8003763,0.1250000000000001,0.3345875477135257,8.07800633613571,8.078022955362979,14.1875,0.5833333333333334,0.4375,0.5
random,rrg,0.4,0.3,0.3,3,0.8,0.83052474,0.20000000000000018,0.43508227331401744,5.967031137945615,10.20216326307611,11.3,0.6,0.6,0.6
random,rrg,0.4,0.3,0.3,4,0.825,0.8036788,0.22222222222222196,0.34559580128837475,7.5717199826671076,8.868133460889371,8.777777777777779,0.625,0.5555555555555556,0.5882352941176471
random,rrg,0.5,0.3,0.3,0,0.775,0.8409476,0.30769230769230765,0.46982513179587704,5.715507639517859,7.0719356316581665,10.846153846153847,0.7,0.5384615384615384,0.608695652173913
random,rrg,0.5,0.3,0.3,1,0.775,0.84181345,0.35714285714285715,0.47271129506435616,8.408985297869902,8.936969783912653,12.142857142857142,0.7777777777777778,0.5,0.6086956521739131
random,rrg,0.5,0.3,0.3,2,0.9,0.91122496,0.20000000000000018,0.7040830984412784,3.3662260793639454,3.37139205758277,6.0,0.6,0.6,0.6
random,rrg,0.5,0.3,0.3,3,0.825,0.82805854,0.2999999999999998,0.4268615977666529,5.702296846183809,6.012843320289267,10.9,0.7142857142857143,0.5,0.588235294117647
random,rrg,0.5,0.3,0.3,4,0.8,0.8549412,0.4666666666666668,0.5164704580400039,5.961006293451939,6.958146881007093,12.933333333333334,0.7692307692307693,0.6666666666666666,0.7142857142857142
random,rrg,0.6000000000000001,0.3,0.3,0,0.875,0.8788365,0.6153846153846153,0.5961215641138584,2.21415247378367,3.564748694910046,9.23076923076923,0.9,0.6923076923076923,0.7826086956521738
random,rrg,0.6000000000000001,0.3,0.3,1,0.9,,0.7142857142857143,,,,9.642857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571
random,rrg,0.6000000000000001,0.3,0.3,2,0.975,0.8735485,0.8999999999999999,0.5784950423838678,4.868430521473042,6.132856237126296,6.2,1.0,0.9,0.9473684210526316
random,rrg,0.6000000000000001,0.3,0.3,3,0.875,0.8788818,0.5,0.5962726428147384,3.6975048652422844,5.289645828335085,7.1,0.7777777777777778,0.7,0.7368421052631577
random,rrg,0.6000000000000001,0.3,0.3,4,0.875,0.859815,0.5833333333333334,0.5327165973530765,5.518385612434756,8.014354083867422,9.083333333333334,0.7692307692307693,0.8333333333333334,0.8
random,rrg,0.7000000000000001,0.3,0.3,0,0.95,,0.818181818181818,,,,6.7272727272727275,0.9090909090909091,0.9090909090909091,0.9090909090909091
random,rrg,0.7000000000000001,0.3,0.3,1,0.925,,0.7272727272727274,,,,7.181818181818182,1.0,0.7272727272727273,0.8421052631578948
random,rrg,0.7000000000000001,0.3,0.3,2,0.925,0.9080092,0.7500000000000002,0.6933639171376261,3.5534217807338733,4.592670306087241,8.25,0.9090909090909091,0.8333333333333334,0.8695652173913043
random,rrg,0.7000000000000001,0.3,0.3,3,0.9,,0.7142857142857143,,,,9.785714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571
random,rrg,0.7000000000000001,0.3,0.3,4,0.925,0.9056064,0.7692307692307694,0.6853545176263912,2.890823604625424,4.127294236758165,7.615384615384615,0.9166666666666666,0.8461538461538461,0.8799999999999999
random,rrg,0.8,0.3,0.3,0,0.95,,0.818181818181818,,,,6.0,1.0,0.8181818181818182,0.9
random,rrg,0.8,0.3,0.3,1,0.95,0.93600065,0.8666666666666666,0.78666869852391,2.9702231197610423,0.9501393869293674,8.266666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333
random,rrg,0.8,0.3,0.3,2,0.95,0.9454759,0.857142857142857,0.8182528561065875,1.3622754899442586,2.7965270068075623,7.642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286
random,rrg,0.8,0.3,0.3,3,0.925,,0.6250000000000001,,,,4.875,0.7777777777777778,0.875,0.823529411764706
random,rrg,0.8,0.3,0.3,4,0.9,,0.6666666666666667,,,,8.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
random,rrg,0.9,0.3,0.3,0,0.875,,0.5833333333333334,,,,7.333333333333333,0.7333333333333333,0.9166666666666666,0.8148148148148148
random,rrg,0.9,0.3,0.3,1,0.95,0.9547342,0.8333333333333333,0.8491139667044362,2.409372672969286,2.6427697869096662,7.416666666666667,0.9166666666666666,0.9166666666666666,0.9166666666666666
