method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.31,0.3,0,0.75,0.6900001,0.0,0.0,15.814341862741719,20.648146339646654,17.0,0.0,0.0,0.0
random,rrg,0.0,0.31,0.3,1,0.575,0.69000006,0.0,0.0,19.663481029633658,19.991392860556875,21.11764705882353,0.0,0.0,0.0
random,rrg,0.0,0.31,0.3,2,0.725,0.69000006,0.0,0.0,13.498770930084557,20.61517697730577,24.363636363636363,0.0,0.0,0.0
random,rrg,0.0,0.31,0.3,3,0.775,0.69000006,0.0,0.0,14.75512605357902,20.38368456633494,17.444444444444443,0.0,0.0,0.0
random,rrg,0.0,0.31,0.3,4,0.575,0.6900002,0.0,0.0,17.694184654768215,20.336107379147684,15.823529411764707,0.0,0.0,0.0
random,rrg,0.1,0.31,0.3,0,0.65,0.73302156,0.0,0.1387788926414193,10.58778216926668,14.664736973645295,19.357142857142858,0.5,0.07142857142857142,0.125
random,rrg,0.1,0.31,0.3,1,0.75,0.7118898,0.1666666666666668,0.07061191881844323,12.522705518896117,17.942492065309192,14.333333333333334,0.75,0.25,0.375
random,rrg,0.1,0.31,0.3,2,0.7,0.70789176,0.07692307692307666,0.05771518818920287,14.81417754242868,16.636746646065635,19.615384615384617,0.6666666666666666,0.15384615384615385,0.25
random,rrg,0.1,0.31,0.3,3,0.625,0.72356033,0.16666666666666657,0.108258632007251,18.58871966468339,17.163139755397026,18.944444444444443,1.0,0.16666666666666666,0.2857142857142857
random,rrg,0.1,0.31,0.3,4,0.7,0.7232796,0.19999999999999987,0.10735302543735414,15.75527677351172,17.879515621591604,15.133333333333333,1.0,0.2,0.33333333333333337
random,rrg,0.2,0.31,0.3,0,0.8,0.75908166,0.42857142857142866,0.22284377712853554,8.549397295161018,10.593139777374182,10.214285714285714,1.0,0.42857142857142855,0.6
random,rrg,0.2,0.31,0.3,1,0.7,0.7525891,0.0,0.20190019642618176,9.815075735471499,14.974356644755227,18.75,0.5,0.08333333333333333,0.14285714285714285
random,rrg,0.2,0.31,0.3,2,0.75,0.77027303,-0.11111111111111122,0.25894512064751424,7.429827776596525,10.256914884219745,16.333333333333332,0.4,0.2222222222222222,0.2857142857142857
random,rrg,0.2,0.31,0.3,3,0.725,0.7487195,0.21428571428571416,0.1894176355948237,11.594946184187425,12.806750845694598,14.214285714285714,0.7142857142857143,0.35714285714285715,0.4761904761904762
random,rrg,0.2,0.31,0.3,4,0.75,0.7366415,0.23076923076923067,0.15045654273451112,12.963014594189612,15.599468165647483,17.384615384615383,1.0,0.23076923076923078,0.375
random,rrg,0.30000000000000004,0.31,0.3,0,0.75,0.7886665,0.28571428571428564,0.31827860149734644,5.994818899500855,11.139592317124794,13.428571428571429,0.6666666666666666,0.5714285714285714,0.6153846153846153
random,rrg,0.30000000000000004,0.31,0.3,1,0.85,0.77947766,0.5714285714285713,0.2886371947807836,9.271733622446611,11.734511526009744,13.357142857142858,1.0,0.5714285714285714,0.7272727272727273
random,rrg,0.30000000000000004,0.31,0.3,2,0.775,0.77082443,0.18181818181818196,0.2607238389397601,9.428357606934467,13.005791732598059,14.181818181818182,1.0,0.18181818181818182,0.3076923076923077
random,rrg,0.30000000000000004,0.31,0.3,3,0.85,0.7748124,0.24999999999999972,0.2735882541142594,5.823957312825707,10.556546896509618,10.25,0.625,0.625,0.625
random,rrg,0.30000000000000004,0.31,0.3,4,0.875,0.7965625,0.44444444444444436,0.34374985579518763,10.158700327025057,11.93185241323214,9.0,0.8333333333333334,0.5555555555555556,0.6666666666666667
random,rrg,0.4,0.31,0.3,0,0.9,0.8284877,0.5555555555555556,0.44673428912301344,6.09018030652091,9.12200212897111,9.0,0.8571428571428571,0.6666666666666666,0.75
random,rrg,0.4,0.31,0.3,1,0.8,0.8086852,0.5000000000000001,0.3828553168122046,7.004934394954328,8.316704707152118,13.5,0.9,0.5625,0.6923076923076923
random,rrg,0.4,0.31,0.3,2,0.775,0.8078483,0.4375000000000001,0.3801554912722424,5.792472609200865,7.912649203042955,12.75,0.8181818181818182,0.5625,0.6666666666666666
random,rrg,0.4,0.31,0.3,3,0.775,0.804845,0.35714285714285715,0.3704675466108408,7.611790011607158,10.473717446940316,11.428571428571429,0.7777777777777778,0.5,0.6086956521739131
random,rrg,0.4,0.31,0.3,4,0.775,0.8061222,0.4000000000000001,0.3745875742366374,10.910102009579395,9.901639068273067,10.933333333333334,0.875,0.4666666666666667,0.608695652173913
random,rrg,0.5,0.31,0.3,0,0.85,0.8422968,0.6,0.4912798388597745,5.010774834866643,6.479173834466143,9.4,0.9090909090909091,0.6666666666666666,0.7692307692307692
random,rrg,0.5,0.31,0.3,1,0.725,0.8488889,0.21428571428571416,0.5125446650372164,7.205216606283225,6.5269473370915225,11.928571428571429,0.7142857142857143,0.35714285714285715,0.4761904761904762
random,rrg,0.5,0.31,0.3,2,0.725,0.84935874,0.21428571428571416,0.5140603537517093,5.212496708019585,8.134513618524007,11.071428571428571,0.6363636363636364,0.5,0.56
random,rrg,0.5,0.31,0.3,3,0.775,,0.35714285714285715,,,,10.428571428571429,0.7777777777777778,0.5,0.6086956521739131
random,rrg,0.5,0.31,0.3,4,0.775,0.8379752,0.35714285714285715,0.4773391707452602,5.266239533773169,7.786946637166549,11.714285714285714,0.6923076923076923,0.6428571428571429,0.6666666666666666
random,rrg,0.6000000000000001,0.31,0.3,0,0.85,0.8607534,0.5384615384615383,0.5508173913310989,2.470042998055854,3.1588761612852694,8.307692307692308,0.8181818181818182,0.6923076923076923,0.7500000000000001
random,rrg,0.6000000000000001,0.31,0.3,1,0.825,0.8806367,0.6666666666666666,0.6149570000476837,4.755639534191117,5.120399514118231,12.238095238095237,0.8888888888888888,0.7619047619047619,0.8205128205128205
random,rrg,0.6000000000000001,0.31,0.3,2,0.875,0.865753,0.44444444444444436,0.5669450652728663,5.6247197485253935,7.817094430422969,7.222222222222222,0.7,0.7777777777777778,0.7368421052631577
random,rrg,0.6000000000000001,0.31,0.3,3,0.85,0.86601084,0.6,0.5677767555256892,2.494564425051588,4.511850073003331,10.0,0.9090909090909091,0.6666666666666666,0.7692307692307692
random,rrg,0.6000000000000001,0.31,0.3,4,0.875,,0.5,,,,8.2,0.8571428571428571,0.6,0.7058823529411764
random,rrg,0.7000000000000001,0.31,0.3,0,0.925,,0.7857142857142858,,,,8.571428571428571,1.0,0.7857142857142857,0.88
random,rrg,0.7000000000000001,0.31,0.3,1,0.825,0.8938433,0.46153846153846134,0.6575589470818329,6.13049306445256,3.9912110468638056,9.692307692307692,0.8,0.6153846153846154,0.6956521739130435
random,rrg,0.7000000000000001,0.31,0.3,2,0.875,,0.7222222222222222,,,,10.666666666666666,0.9333333333333333,0.7777777777777778,0.8484848484848485
random,rrg,0.7000000000000001,0.31,0.3,3,0.95,0.9000001,0.846153846153846,0.6774196029330105,5.204103715948923,5.298659330969656,7.461538461538462,0.9230769230769231,0.9230769230769231,0.9230769230769231
random,rrg,0.7000000000000001,0.31,0.3,4,0.9,,0.6666666666666667,,,,7.416666666666667,1.0,0.6666666666666666,0.8
random,rrg,0.8,0.31,0.3,0,0.925,,0.7857142857142858,,,,8.357142857142858,0.9230769230769231,0.8571428571428571,0.888888888888889
random,rrg,0.8,0.31,0.3,1,0.95,,0.5999999999999996,,,,4.8,0.8,0.8,0.8000000000000002
random,rrg,0.8,0.31,0.3,2,0.95,0.9145719,0.7999999999999998,0.7244253726636898,3.6248845533652228,4.2924195677747115,5.8,1.0,0.8,0.888888888888889
random,rrg,0.8,0.31,0.3,3,0.875,0.92597944,0.6428571428571428,0.7612239412290404,3.8443073176951534,4.261197776669724,8.0,1.0,0.6428571428571429,0.782608695652174
random,rrg,0.8,0.31,0.3,4,0.95,,0.7777777777777776,,,,5.222222222222222,1.0,0.7777777777777778,0.8750000000000001
random,rrg,0.9,0.31,0.3,0,0.975,,0.9411764705882353,,,,9.0,1.0,0.9411764705882353,0.9696969696969697
random,rrg,0.9,0.31,0.3,1,0.95,0.9568836,0.8888888888888887,0.860914843020564,3.7008118412485054,2.820106722736111,9.61111111111111,1.0,0.8888888888888888,0.9411764705882353
random,rrg,0.9,0.31,0.3,2,0.9,0.9672078,0.6666666666666667,0.8942186560265306,2.1450776505537257,2.541312938832147,8.416666666666666,0.7857142857142857,0.9166666666666666,0.8461538461538461
random,rrg,0.9,0.31,0.3,3,1.0,0.9494667,1.0,0.8369892792333069,2.7192441608973277,1.761451896549105,5.5,1.0,1.0,1.0
random,rrg,0.9,0.31,0.3,4,0.975,,0.8888888888888887,,,,5.0,0.9,1.0,0.9473684210526316
random,rrg,1.0,0.31,0.3,0,0.975,0.9694446,0.9285714285714285,0.901434088018003,2.246172871393143,1.5321839593330204,8.0,0.9333333333333333,1.0,0.9655172413793104
random,rrg,1.0,0.31,0.3,1,1.0,,1.0,,,,7.5,1.0,1.0,1.0
random,rrg,1.0,0.31,0.3,2,1.0,,1.0,,,,6.0,1.0,1.0,1.0
