method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.3,0.3,0.3,0,0.76,0.7734701,0.3333333333333333,0.2448999257325713,10.03295934933888,10.286066973772563,14.88888888888889,0.8,0.4444444444444444,0.5714285714285714
random,rrg,0.3,0.3,0.3,1,0.76,0.8039384,0.07692307692307698,0.3464609325112126,5.321201641056529,6.9050931333491015,16.53846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384
random,rrg,0.3,0.3,0.3,2,0.84,0.763407,0.5294117647058822,0.21135620113161468,9.406095187899398,12.722188494550169,15.117647058823529,0.9090909090909091,0.5882352941176471,0.7142857142857143
random,rrg,0.3,0.3,0.3,3,0.68,0.7823555,0.20000000000000018,0.27451788756253026,11.63639071758051,11.83562117520065,17.55,0.7,0.35,0.4666666666666667
random,rrg,0.3,0.3,0.3,4,0.82,0.7761953,0.0,0.25398387733198335,7.158615426024656,10.491728734679311,16.0,0.5,0.3333333333333333,0.4
random,rrg,0.6,0.3,0.3,0,0.86,,0.4615384615384615,,,,10.076923076923077,0.75,0.6923076923076923,0.7199999999999999
random,rrg,0.6,0.3,0.3,1,0.84,0.8790142,0.49999999999999983,0.596713915938364,3.3183395070024657,3.9275763845324985,9.3125,0.9,0.5625,0.6923076923076923
random,rrg,0.6,0.3,0.3,2,0.84,0.89407027,0.49999999999999983,0.6469006958250102,6.245602138028168,4.489916032772967,11.625,0.8333333333333334,0.625,0.7142857142857143
random,rrg,0.6,0.3,0.3,3,0.86,,0.588235294117647,,,,12.0,0.8571428571428571,0.7058823529411765,0.7741935483870968
random,rrg,0.6,0.3,0.3,4,0.94,,0.7499999999999998,,,,8.5,0.9090909090909091,0.8333333333333334,0.8695652173913043
greedySampleReplace,rrg,0.3,0.3,0.3,0,0.98,0.78065443,0.9285714285714285,-1.6321493455403762,5.528285064060543,10.030898610423806,9.214285714285714,1.0,0.9285714285714286,0.962962962962963
greedySampleReplace,rrg,0.3,0.3,0.3,1,1.0,0.79582435,1.0,-1.4501101494885917,5.859248386800732,10.281905867031417,6.5,1.0,1.0,1.0
greedySampleReplace,rrg,0.3,0.3,0.3,2,1.0,0.78081274,1.0,-1.63024962449038,5.7411089782834495,11.505822366440082,6.5,1.0,1.0,1.0
greedySampleReplace,rrg,0.3,0.3,0.3,3,0.84,0.79433054,0.6363636363636362,-1.4680359058722552,7.168257658240285,9.306842873654928,14.954545454545455,1.0,0.6363636363636364,0.7777777777777778
greedySampleReplace,rrg,0.3,0.3,0.3,4,0.9,0.7863876,0.6875,-1.5633509763250124,5.79552454278978,9.45455475971922,12.3125,1.0,0.6875,0.8148148148148148
greedySampleReplace,rrg,0.6,0.3,0.3,0,1.0,0.8871143,1.0,-0.35462985480294684,7.626509245101558,8.170657413754077,11.5,1.0,1.0,1.0
greedySampleReplace,rrg,0.6,0.3,0.3,1,0.98,0.86469305,0.9285714285714285,-0.6236850010728846,5.220081921956628,6.488949607783962,7.714285714285714,0.9333333333333333,1.0,0.9655172413793104
greedySampleReplace,rrg,0.6,0.3,0.3,2,0.98,0.8889958,0.9374999999999999,-0.3320513554109148,7.080080950635488,7.585399019371158,8.5,0.9411764705882353,1.0,0.9696969696969697
greedySampleReplace,rrg,0.6,0.3,0.3,3,1.0,0.89620215,1.0,-0.2455754237894285,3.2110456324412935,5.8242867537331415,9.0,1.0,1.0,1.0
greedySampleReplace,rrg,0.6,0.3,0.3,4,0.98,0.8770067,0.9166666666666666,-0.4759208926400114,4.735849276745817,6.117357262187679,6.666666666666667,0.9230769230769231,1.0,0.9600000000000001
