method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.9,0.7,0.0,0.0,14.353709097155894,21.226926647833082,1.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.7,0.6999999,0.0,0.0,16.634494087957723,20.754820166331662,6.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.8,0.7,0.0,0.0,17.47163097393727,21.09048001431109,6.5,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.7,0.7,0.0,0.0,18.75063185370863,21.16719737248185,6.666666666666667,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.8,0.70000017,0.0,0.0,9.323753567388646,20.203754127302027,5.5,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.6,0.6950002,-0.3333333333333332,-0.016666256056826284,11.541248486346062,13.665041175627067,5.666666666666667,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,1,0.6,0.6910925,0.0,-0.02969185983210561,16.76924303734822,19.559811219713456,5.0,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,2,0.7,0.7299999,0.24999999999999994,0.09999970197678797,15.628274837100912,12.680780490299147,5.75,1.0,0.25,0.4
random,rrg,0.1,0.3,0.3,3,0.6,0.71130943,0.0,0.037698148183101486,16.467937092047144,18.89334770412507,4.75,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,4,0.8,0.7207693,0.3333333333333336,0.06923025112846579,8.687217630286057,11.136242536468618,4.0,1.0,0.3333333333333333,0.5
random,rrg,0.2,0.3,0.3,0,0.7,0.70351154,0.0,0.011705159675869955,13.042011959470923,16.1117130930796,3.0,0.5,0.6666666666666666,0.5714285714285715
random,rrg,0.2,0.3,0.3,1,0.7,0.7145176,0.24999999999999994,0.04839163762429311,8.152595121020736,13.28488733423786,4.0,1.0,0.25,0.4
random,rrg,0.2,0.3,0.3,2,1.0,0.7387496,1.0,0.1291649265412081,3.8096738042150085,8.644563105374882,2.0,1.0,1.0,1.0
random,rrg,0.2,0.3,0.3,3,0.4,0.78166664,-0.19999999999999996,0.27222186128285536,12.689529939608871,9.474695113504996,4.8,0.0,0.0,0.0
random,rrg,0.2,0.3,0.3,4,0.8,0.75166667,0.3333333333333336,0.17222224981696407,14.118753405074505,17.037269073662525,3.3333333333333335,1.0,0.3333333333333333,0.5
random,rrg,0.30000000000000004,0.3,0.3,0,0.7,0.7892755,0.24999999999999994,0.29758511791288383,16.621983842172348,14.116766451001933,3.25,1.0,0.25,0.4
random,rrg,0.30000000000000004,0.3,0.3,1,0.7,0.82,0.24999999999999994,0.4,12.195539775769301,9.83053403628623,5.5,0.6666666666666666,0.5,0.5714285714285715
random,rrg,0.30000000000000004,0.3,0.3,2,0.8,0.78989637,0.3333333333333336,0.29965459109725195,12.491306785929186,15.089897601752577,3.0,1.0,0.3333333333333333,0.5
random,rrg,0.30000000000000004,0.3,0.3,3,0.9,0.78261155,0.5,0.27537185846281614,6.422544746795221,12.031640841312326,2.5,1.0,0.5,0.6666666666666666
random,rrg,0.30000000000000004,0.3,0.3,4,0.9,0.72485346,0.5,0.08284488984565377,12.465761782354077,13.691145493288388,1.5,0.6666666666666666,1.0,0.8
random,rrg,0.4,0.3,0.3,0,0.9,0.782781,0.7500000000000001,0.27593671179069235,9.036412105279483,11.130203823994973,3.0,1.0,0.75,0.8571428571428571
random,rrg,0.4,0.3,0.3,1,0.8,0.853133,-1.0,0.5104434287371863,6.864923208136088,4.087325079050572,1.0,0.3333333333333333,1.0,0.5
random,rrg,0.4,0.3,0.3,2,0.9,0.82805747,0.0,0.4268581353597856,7.987449977358745,9.853523642617024,4.0,0.0,0.0,0.0
random,rrg,0.4,0.3,0.3,3,0.9,0.9108161,0.6666666666666667,0.7027201974741931,1.9150354951195006,2.470740322585357,2.6666666666666665,1.0,0.6666666666666666,0.8
random,rrg,0.4,0.3,0.3,4,0.7,0.9063689,-2.0000000000000013,0.6878962592707607,1.6036813420776308,2.563630850892873,3.0,0.0,0.0,0.0
random,rrg,0.5,0.3,0.3,0,0.8,0.86745244,0.5000000000000001,0.5581748263766437,9.291419711604314,8.625228006779224,2.75,1.0,0.5,0.6666666666666666
random,rrg,0.5,0.3,0.3,1,0.7,,0.0,,,,2.6666666666666665,0.5,0.3333333333333333,0.4
random,rrg,0.5,0.3,0.3,2,0.9,0.8644433,0.7500000000000001,0.5481444482458954,11.868007272562313,9.05965266764203,3.0,1.0,0.75,0.8571428571428571
random,rrg,0.5,0.3,0.3,3,0.8,0.8286247,0.0,0.4287491071721273,2.198708425158825,6.125319598003531,2.0,0.5,0.5,0.5
random,rrg,0.5,0.3,0.3,4,0.7,0.8699757,0.24999999999999994,0.56658572357836,12.583356032015974,7.571964832141658,3.75,0.6666666666666666,0.5,0.5714285714285715
random,rrg,0.6000000000000001,0.3,0.3,0,0.9,0.8964566,0.0,0.654855207351719,4.235411029741295,3.0315416295838813,1.0,0.5,1.0,0.6666666666666666
random,rrg,0.6000000000000001,0.3,0.3,1,0.8,0.90076923,0.5000000000000001,0.6692305950017107,0.587181250887242,1.0736627340522322,2.75,0.75,0.75,0.75
random,rrg,0.6000000000000001,0.3,0.3,2,0.8,0.8967096,0.5000000000000001,0.6556987501899898,4.923437763584963,4.6539170043289655,2.75,0.75,0.75,0.75
random,rrg,0.6000000000000001,0.3,0.3,3,0.8,0.8808632,0.0,0.6028773147711232,8.907493615586985,7.666680678670076,1.5,0.0,0.0,0.0
random,rrg,0.6000000000000001,0.3,0.3,4,0.8,0.8707681,0.5000000000000001,0.5692269178538752,3.0685473031286454,3.562859189867879,3.5,1.0,0.5,0.6666666666666666
random,rrg,0.7000000000000001,0.3,0.3,0,0.8,0.92846215,-1.0,0.7615405018512208,4.414940167478691,0.7318739404698096,4.0,0.0,0.0,0.0
random,rrg,0.7000000000000001,0.3,0.3,1,0.8,,0.3333333333333336,,,,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
random,rrg,0.7000000000000001,0.3,0.3,2,0.8,0.96999997,0.5000000000000001,0.8999999205271593,0.6419346712176086,0.19589006390295222,3.0,0.75,0.75,0.75
random,rrg,0.7000000000000001,0.3,0.3,3,0.9,0.91,0.8,0.7000000993410707,0.19757048085595327,0.48206002216609634,3.4,1.0,0.8,0.888888888888889
random,rrg,0.7000000000000001,0.3,0.3,4,0.9,0.9204974,0.6666666666666667,0.7349912967253395,2.2671923240295753,2.5702768135661733,2.6666666666666665,1.0,0.6666666666666666,0.8
random,rrg,0.8,0.3,0.3,0,0.8,0.9673604,0.3333333333333336,0.8912012620289619,0.8376474628855067,1.4965535285074352,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666
random,rrg,0.8,0.3,0.3,1,1.0,0.9237572,1.0,0.7458572273538528,5.992673732870914,6.172666229622988,2.5,1.0,1.0,1.0
random,rrg,0.8,0.3,0.3,2,0.9,0.90852404,0.7500000000000001,0.6950800123103503,5.640462773825801,4.738683510219166,2.75,1.0,0.75,0.8571428571428571
random,rrg,0.8,0.3,0.3,3,1.0,0.9316667,1.0,0.7722221140507697,1.3362589481845337,1.8946142337581164,2.0,1.0,1.0,1.0
random,rrg,0.8,0.3,0.3,4,0.9,0.88005507,0.5,0.6001835822986133,2.823726606009249,3.623198685734664,2.5,1.0,0.5,0.6666666666666666
random,rrg,0.9,0.3,0.3,0,0.9,0.9780825,0.6666666666666667,0.9269415963911376,0.4272890327577995,0.18109907461115998,3.0,0.75,1.0,0.8571428571428571
random,rrg,0.9,0.3,0.3,1,0.9,,0.6666666666666667,,,,2.0,1.0,0.6666666666666666,0.8
random,rrg,0.9,0.3,0.3,2,0.9,0.96999997,0.8749999999999999,0.8999999006589293,0.18824177004252937,0.2114204064139555,4.5,1.0,0.875,0.9333333333333333
random,rrg,0.9,0.3,0.3,3,1.0,,1.0,,,,1.5,1.0,1.0,1.0
random,rrg,0.9,0.3,0.3,4,1.0,0.93693364,1.0,0.7897787137034902,2.9870536464291995,3.1088518038979522,2.5,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,0,1.0,,1.0,,,,1.0,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,1,1.0,,1.0,,,,1.5,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,2,1.0,0.98511946,1.0,0.9503982086818136,1.122216727290592,2.3700292721661556,2.5,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,3,1.0,0.99615383,1.0,0.9871794387825553,1.3727889376968705,0.29856068381141887,1.5,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,4,1.0,,1.0,,,,2.5,1.0,1.0,1.0
greedySubsetOV,rrg,0.0,0.3,0.3,0,0.6,0.70000184,0.0,-2.599978828425128,14.879488213878568,19.141171568885394,3.75,0.0,0.0,0.0
greedySubsetOV,rrg,0.0,0.3,0.3,1,0.6,0.70000327,0.0,-2.59996166228334,27.63216731746012,21.62797781244534,4.75,0.0,0.0,0.0
greedySubsetOV,rrg,0.0,0.3,0.3,2,0.7,0.7000017,0.0,-2.599980258936944,20.63327859839503,20.480241198065713,2.6666666666666665,0.0,0.0,0.0
greedySubsetOV,rrg,0.0,0.3,0.3,3,0.6,0.70000184,0.0,-2.599978828425128,16.031178952782035,19.611421064335666,4.5,0.0,0.0,0.0
greedySubsetOV,rrg,0.0,0.3,0.3,4,0.9,0.7000017,0.0,-2.599980258936944,10.82204776911051,19.576969888495938,3.0,0.0,0.0,0.0
greedySubsetOV,rrg,0.1,0.3,0.3,0,0.5,0.7628562,0.0,-1.8457264532390723,26.943239557375467,18.469154295838784,4.2,0.0,0.0,0.0
greedySubsetOV,rrg,0.1,0.3,0.3,1,0.5,0.7599994,-0.24999999999999994,-1.880007953645695,18.188925785482333,13.57116372521487,5.25,0.0,0.0,0.0
greedySubsetOV,rrg,0.1,0.3,0.3,2,0.7,0.7600002,-0.5000000000000006,-1.8799979400629854,1.4522253156085345,6.67899987636512,6.0,0.0,0.0,0.0
greedySubsetOV,rrg,0.1,0.3,0.3,3,0.7,0.7828456,0.0,-1.6058532251961768,20.362495748755336,17.43298988901668,5.666666666666667,0.0,0.0,0.0
greedySubsetOV,rrg,0.1,0.3,0.3,4,0.8,0.76000047,-1.0,-1.879995079039354,14.536982647646042,12.210500266304031,8.0,0.0,0.0,0.0
greedySubsetOV,rrg,0.2,0.3,0.3,0,0.6,0.8199841,-1.0000000000000007,-1.1601915741423545,9.469851079070867,4.93160104601767,3.5,0.0,0.0,0.0
greedySubsetOV,rrg,0.2,0.3,0.3,1,0.6,0.76614,0.19999999999999996,-1.8063208595087192,16.347028998253343,14.643665140917875,4.2,1.0,0.2,0.33333333333333337
greedySubsetOV,rrg,0.2,0.3,0.3,2,0.6,0.8199978,-1.0000000000000007,-1.1600270652835525,7.715979258059728,4.625682521376953,6.5,0.0,0.0,0.0
greedySubsetOV,rrg,0.2,0.3,0.3,3,0.8,0.7984059,0.3333333333333336,-1.4191299484085913,14.171911811662289,11.60066812273943,2.3333333333333335,1.0,0.3333333333333333,0.5
greedySubsetOV,rrg,0.2,0.3,0.3,4,0.6,0.79000056,0.33333333333333326,-1.5199939060196652,12.7660042492101,9.471967100019505,5.166666666666667,1.0,0.3333333333333333,0.5
greedySubsetOV,rrg,0.30000000000000004,0.3,0.3,0,0.9,0.87999696,0.5,-0.440036878594608,2.102444848331495,0.8400257038330435,2.0,0.6666666666666666,1.0,0.8
greedySubsetOV,rrg,0.30000000000000004,0.3,0.3,1,0.5,0.8510922,-0.6666666666666664,-0.7868937937960133,1.3784343830321368,2.092337573559696,4.666666666666667,0.0,0.0,0.0
greedySubsetOV,rrg,0.30000000000000004,0.3,0.3,2,0.6,0.85367334,-1.0000000000000007,-0.7559203519631271,2.809191168879468,3.877011961098352,4.5,0.0,0.0,0.0
greedySubsetOV,rrg,0.30000000000000004,0.3,0.3,3,0.5,0.88767785,0.0,-0.3478661412873605,3.5064484299647134,2.4182535255541593,4.0,0.5,0.2,0.28571428571428575
greedySubsetOV,rrg,0.30000000000000004,0.3,0.3,4,0.8,0.82830465,0.3333333333333336,-1.060344710432222,9.540764260063753,10.449873664162592,4.0,1.0,0.3333333333333333,0.5
greedySubsetOV,rrg,0.4,0.3,0.3,0,0.5,0.9198629,-1.5000000000000007,0.03835488280174322,1.6845612964011334,0.7263161048774387,5.5,0.0,0.0,0.0
greedySubsetOV,rrg,0.4,0.3,0.3,1,0.5,0.8981947,-0.6666666666666664,-0.2216642431412323,13.851385738047421,4.2273429107986855,4.0,0.0,0.0,0.0
greedySubsetOV,rrg,0.4,0.3,0.3,2,0.8,0.9032906,0.0,-0.16051272404497244,12.42926350543997,4.988032446024566,3.0,0.5,0.5,0.5
greedySubsetOV,rrg,0.4,0.3,0.3,3,0.5,0.822111,0.37499999999999994,-1.1346683823271708,6.850574043816709,4.837195690940031,4.5,1.0,0.375,0.5454545454545454
greedySubsetOV,rrg,0.4,0.3,0.3,4,0.7,0.85367966,0.24999999999999994,-0.7558445348368966,9.521127721102477,5.8355918269104246,4.0,0.6666666666666666,0.5,0.5714285714285715
greedySubsetOV,rrg,0.5,0.3,0.3,0,0.8,0.89809245,0.5000000000000001,-0.22289090702316927,1.042783190887643,1.1424807403560675,3.25,0.75,0.75,0.75
greedySubsetOV,rrg,0.5,0.3,0.3,1,0.8,0.9099991,0.3333333333333336,-0.08001138687405274,5.613453948709843,3.219581610033193,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
greedySubsetOV,rrg,0.5,0.3,0.3,2,0.8,0.86447155,0.6000000000000001,-0.62634173067611,8.077484559450351,6.09912900774447,3.2,1.0,0.6,0.7499999999999999
greedySubsetOV,rrg,0.5,0.3,0.3,3,0.9,0.88792074,0.6666666666666667,-0.3449514734629329,1.549514019120131,2.990512631652744,2.0,1.0,0.6666666666666666,0.8
greedySubsetOV,rrg,0.5,0.3,0.3,4,0.8,0.9136604,0.3333333333333336,-0.03607536222347313,4.88234540108824,3.207673658885134,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
greedySubsetOV,rrg,0.6000000000000001,0.3,0.3,0,0.8,0.9699811,0.6000000000000001,0.6397728061134353,1.422798625668204,0.6722039464781783,3.2,0.8,0.8,0.8000000000000002
greedySubsetOV,rrg,0.6000000000000001,0.3,0.3,1,0.7,0.9200059,0.24999999999999994,0.04007078172463935,1.491595018532887,0.8924086094467608,3.0,0.6666666666666666,0.5,0.5714285714285715
greedySubsetOV,rrg,0.6000000000000001,0.3,0.3,2,0.9,0.9081421,0.0,-0.10229518468265168,3.1244414179602265,9.455117890172536,1.0,0.5,1.0,0.6666666666666666
greedySubsetOV,rrg,0.6000000000000001,0.3,0.3,3,0.8,0.9639168,0.0,0.5670012395384882,8.192594556661204,2.941838525545151,2.5,0.5,0.5,0.5
greedySubsetOV,rrg,0.6000000000000001,0.3,0.3,4,0.8,0.97462606,0.0,0.6955126990110156,2.0018089757998316,1.412996526118174,2.0,0.5,0.5,0.5
greedySubsetOV,rrg,0.7000000000000001,0.3,0.3,0,0.8,0.90888894,0.6000000000000001,-0.09333302815747932,5.1496253211479335,4.653892312749806,3.0,1.0,0.6,0.7499999999999999
greedySubsetOV,rrg,0.7000000000000001,0.3,0.3,1,0.8,0.9825557,0.3333333333333336,0.7906681992216585,4.396551349374308,0.28787081746795107,2.0,0.6,1.0,0.7499999999999999
greedySubsetOV,rrg,0.7000000000000001,0.3,0.3,2,0.7,0.97383964,0.0,0.6860756125630408,2.68846787051998,0.7126798839668335,3.0,0.5,0.6666666666666666,0.5714285714285715
greedySubsetOV,rrg,0.7000000000000001,0.3,0.3,3,0.9,0.9886471,0.6666666666666667,0.8637652072346704,0.878098048483752,0.912108690183414,2.0,0.75,1.0,0.8571428571428571
greedySubsetOV,rrg,0.7000000000000001,0.3,0.3,4,0.9,0.9654611,0.6666666666666667,0.5855328048545849,13.829076217205548,0.9867578164051046,2.0,0.75,1.0,0.8571428571428571
greedySubsetOV,rrg,0.8,0.3,0.3,0,0.9,0.9916441,0.7500000000000001,0.8997289895365214,1.3249830607830244,1.1939484374000566,3.5,0.8,1.0,0.888888888888889
greedySubsetOV,rrg,0.8,0.3,0.3,1,0.8,0.9973618,-1.0,0.9683413430074079,2.5588061148934083,0.8981549071639296,1.0,0.3333333333333333,1.0,0.5
greedySubsetOV,rrg,0.8,0.3,0.3,2,1.0,0.96998566,1.0,0.6398278808183386,3.248923898658687,2.5418259312813247,3.5,1.0,1.0,1.0
greedySubsetOV,rrg,0.8,0.3,0.3,3,1.0,0.9656491,1.0,0.5877894372438043,1.106878043824996,1.9081495359686702,3.0,1.0,1.0,1.0
greedySubsetOV,rrg,0.8,0.3,0.3,4,1.0,0.95382226,1.0,0.44586692949937096,4.642994134213261,5.095125438765768,1.5,1.0,1.0,1.0
greedySubsetOV,rrg,0.9,0.3,0.3,0,0.9,0.9916417,0.7500000000000001,0.899700379300208,2.9238162237533483,1.1942442945920602,2.5,0.8,1.0,0.888888888888889
greedySubsetOV,rrg,0.9,0.3,0.3,1,1.0,0.9999983,1.0,0.9999792575786728,3.1536046498256793e-10,0.00019955900512845818,1.5,1.0,1.0,1.0
greedySubsetOV,rrg,0.9,0.3,0.3,2,0.9,0.9999469,0.7500000000000001,0.9993627069861191,0.8984121890691658,0.0018060427770963468,2.5,0.8,1.0,0.888888888888889
greedySubsetOV,rrg,0.9,0.3,0.3,3,0.9,0.9902868,0.6666666666666667,0.8834418972592109,2.6423295729927636,1.3528770461817383,2.0,0.75,1.0,0.8571428571428571
greedySubsetOV,rrg,0.9,0.3,0.3,4,0.9,0.99284184,0.0,0.9141020570044653,2.226055071951795,2.552862454446962,1.0,0.5,1.0,0.6666666666666666
greedySubsetOV,rrg,1.0,0.3,0.3,0,1.0,0.97265875,1.0,0.6719049625170141,2.014223284136245,2.7823693796788627,1.0,1.0,1.0,1.0
greedySubsetOV,rrg,1.0,0.3,0.3,1,1.0,0.9836527,1.0,0.8038324842053615,1.2399436178531993,2.0924053988076525,1.0,1.0,1.0,1.0
greedySubsetOV,rrg,1.0,0.3,0.3,2,1.0,0.95881015,1.0,0.505721689634726,2.9285549693869393,0.02509486111069375,3.5,1.0,1.0,1.0
greedySubsetOV,rrg,1.0,0.3,0.3,3,0.9,0.9644971,0.0,0.5739649710571697,2.0817087765950486,1.183857689672447,1.0,0.5,1.0,0.6666666666666666
