method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.2,0.3,0,0.5,0.79999995,0.0,0.0,37.8720526306187,20.072812196712704,4.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,1,0.8333333333333334,0.80000013,0.0,0.0,29.739685644966517,19.783637425941766,6.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,2,0.8333333333333334,0.8,0.0,0.0,33.29948413973355,21.23892704060192,1.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,3,0.5,0.79999995,0.0,0.0,41.016502815261994,20.363239994569252,3.3333333333333335,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,4,0.8333333333333334,0.80000013,0.0,0.0,5.733395153205161,19.783639038571522,2.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,5,0.8333333333333334,0.79999995,0.0,0.0,18.331388170845173,19.81189505472408,2.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,6,0.8333333333333334,0.8,0.0,0.0,17.711749238560902,20.252700422666894,4.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,7,0.6666666666666666,0.8,0.0,0.0,27.882670750907383,20.68531202338956,3.5,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,8,0.8333333333333334,0.8,0.0,0.0,24.826674814005965,20.389806597922433,5.0,0.0,0.0,0.0
random,rrg,0.0,0.2,0.3,9,0.8333333333333334,0.8,0.0,0.0,13.70429833005249,19.68848005027145,1.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,0,0.8333333333333334,0.80000013,0.0,0.0,28.956365390249967,20.0925786715123,4.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,1,0.6666666666666666,0.80000013,0.0,0.0,38.38172833538875,20.802327013889386,2.5,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,2,0.8333333333333334,0.79999995,0.0,0.0,32.80648565001706,20.802330374743345,6.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,3,0.8333333333333334,0.79999995,0.0,0.0,15.020117146754487,20.685311844684087,6.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,4,0.8333333333333334,0.8,0.0,0.0,10.403888144812862,20.8023307894245,3.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,5,0.5,0.80000013,0.0,0.0,35.12294458751071,20.278799270222795,4.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,6,0.6666666666666666,0.8,0.0,0.0,29.52295897407896,19.931514791334266,4.5,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,7,0.8333333333333334,0.8,0.0,0.0,14.823284594431861,20.006979332233957,3.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,8,0.6666666666666666,0.8,0.0,0.0,18.912827227416486,19.931514791334266,3.0,0.0,0.0,0.0
random,rrg,0.1,0.2,0.3,9,0.5,0.80000013,0.0,0.0,34.32911684840083,19.931511498358407,3.0,0.0,0.0,0.0
random,rrg,0.2,0.2,0.3,0,0.8333333333333334,0.7651241,0.0,-0.1743796571719442,9.787544090267525,18.359615668170512,1.0,0.0,0.0,0.0
random,rrg,0.2,0.2,0.3,1,0.6666666666666666,0.70815974,0.0,-0.45920136327751654,13.693425617977992,17.923728547420563,2.5,0.0,0.0,0.0
random,rrg,0.2,0.2,0.3,2,1.0,0.7490503,1.0,-0.25474922670373285,10.563420140854436,15.843885034953573,1.5,1.0,1.0,1.0
