method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.696,0.7000017,0.0,-2.5999827,16.968902616597788,20.282356,127.69736842105263,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.688,0.75106835,-0.02631578947368423,-1.9871826,9.411263036027789,10.909213,109.48684210526316,0.46153846153846156,0.15789473684210525,0.23529411764705882
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.78,0.7822677,0.2763157894736844,-1.6127902,7.307067592633264,8.111872,84.5,0.7058823529411765,0.47368421052631576,0.5669291338582677
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.864,0.81137526,0.5526315789473685,-1.263499,6.056017297605715,6.6647463,63.75,0.7916666666666666,0.75,0.7702702702702704
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.868,0.8420773,0.5657894736842106,-0.895074,5.445131594487833,5.595514,60.421052631578945,0.7866666666666666,0.7763157894736842,0.7814569536423841
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.852,0.8692288,0.5131578947368421,-0.5692561,4.588201432425472,4.679592,58.81578947368421,0.7468354430379747,0.7763157894736842,0.7612903225806452
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.868,0.8985604,0.5657894736842106,-0.2172763,4.224524935616564,3.6002593,56.13157894736842,0.7866666666666666,0.7763157894736842,0.7814569536423841
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.872,0.9272473,0.5789473684210527,0.1269666,3.6499580010117625,2.7220087,51.96052631578947,0.7894736842105263,0.7894736842105263,0.7894736842105263
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.872,0.95488113,0.5789473684210527,0.45857307,2.9773411667161964,1.8685495,49.25,0.7894736842105263,0.7894736842105263,0.7894736842105263
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.884,0.96803015,0.618421052631579,0.6163615,2.1668521456528613,1.793409,44.88157894736842,0.8133333333333334,0.8026315789473685,0.8079470198675497
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,0.984,0.97233945,0.9473684210526315,0.6680731,1.7155469270537524,1.5364814,40.19736842105263,0.95,1.0,0.9743589743589743
greedyWarmStartMOV,rrg,0.0,0.3,0.3,1,0.74,0.7000017,0.0,-2.5999827,15.535651034262242,20.595787,119.3076923076923,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.772,0.7448135,0.12307692307692318,-2.0622408,9.019821948785978,12.778186,103.64615384615385,0.6538461538461539,0.26153846153846155,0.37362637362637363
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.872,0.77481264,0.5076923076923077,-1.702251,6.770254803658527,10.490503,66.63076923076923,0.8235294117647058,0.6461538461538462,0.7241379310344827
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.956,0.8049139,0.8307692307692306,-1.3410357,6.065816392957887,9.386135,37.98461538461538,0.875,0.9692307692307692,0.9197080291970802
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.956,0.836876,0.8307692307692306,-0.95749015,6.075508410469668,7.978679,38.43076923076923,0.8648648648648649,0.9846153846153847,0.920863309352518
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.956,0.86889243,0.8307692307692306,-0.5732923,5.4718127574663065,6.497004,37.84615384615385,0.8552631578947368,1.0,0.9219858156028369
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,1,0.96,0.8988445,0.846153846153846,-0.2138674,4.683420419474459,5.1870337,37.76923076923077,0.8666666666666667,1.0,0.9285714285714286
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.96,0.9297767,0.846153846153846,0.15731993,3.9691805673700804,3.9583752,37.815384615384616,0.8666666666666667,1.0,0.9285714285714286
greedyWarmStartMOV,rrg,0.8,0.3,0.3,1,0.96,0.95814884,0.846153846153846,0.49778557,3.504757352943876,3.0517623,36.86153846153846,0.8666666666666667,1.0,0.9285714285714286
greedyWarmStartMOV,rrg,0.9,0.3,0.3,1,0.956,0.98107725,0.8307692307692306,0.7729268,2.509625998539757,1.9123329,35.12307692307692,0.8552631578947368,1.0,0.9219858156028369
greedyWarmStartMOV,rrg,1.0,0.3,0.3,1,0.988,0.9766531,0.9538461538461538,0.71983695,1.8282950908898885,1.8137646,34.2,0.9558823529411765,1.0,0.9774436090225563
