method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.744,0.7000017,0.0,-2.5999827,14.721484689089078,20.416937,135.125,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.74,0.73001593,-0.015625000000000014,-2.239812,10.020236808755262,15.128666,95.609375,0.4666666666666667,0.109375,0.17721518987341772
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.748,0.7626269,0.015625000000000014,-1.8484801,8.755388366542796,12.200863,95.171875,0.5333333333333333,0.125,0.20253164556962025
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.76,0.79166675,0.06250000000000006,-1.5000014,8.04694431788171,9.746942,86.46875,0.6111111111111112,0.171875,0.2682926829268293
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.792,0.8087396,0.18750000000000017,-1.2951269,6.481166209818082,8.011162,72.109375,0.8333333333333334,0.234375,0.3658536585365853
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.812,0.83316916,0.2656250000000002,-1.001972,5.68906298589795,6.5593514,64.6875,0.9473684210526315,0.28125,0.43373493975903615
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.844,0.86288965,0.3906249999999999,-0.6453258,4.133884260319479,4.959704,51.1875,0.9032258064516129,0.4375,0.5894736842105263
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.872,0.88897735,0.5,-0.3322731,3.1473908956018914,3.8402402,48.890625,0.9210526315789473,0.546875,0.6862745098039216
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.928,0.9205498,0.7187500000000002,0.04659681,2.2232527152489063,2.5613372,40.078125,0.9423076923076923,0.765625,0.8448275862068965
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.972,0.9505248,0.8906249999999999,0.40629712,1.8573533887581133,1.9550151,33.734375,0.9523809523809523,0.9375,0.9448818897637795
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,0.988,0.97995776,0.953125,0.7594929,1.2082613018454094,1.2886382,32.5,0.9552238805970149,1.0,0.9770992366412213
greedyWarmStartMOV,rrg,0.0,0.3,0.3,1,0.696,0.70000166,0.0,-2.5999835,17.308197379388627,20.646738,118.14473684210526,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.688,0.73218334,-0.02631578947368423,-2.213803,13.843023222218985,15.87088,112.01315789473684,0.4375,0.09210526315789473,0.15217391304347827
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.7,0.7603844,0.013157894736842115,-1.8753902,10.6226224985504,12.089646,101.13157894736842,0.5217391304347826,0.15789473684210525,0.24242424242424246
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.732,0.7823513,0.11842105263157904,-1.6117867,8.767900951183842,10.124262,85.82894736842105,0.6451612903225806,0.2631578947368421,0.37383177570093457
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.792,0.7955368,0.31578947368421073,-1.4535606,6.4073622345875565,8.137071,73.4342105263158,0.875,0.3684210526315789,0.5185185185185185
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.816,0.82504565,0.3947368421052631,-1.0994543,5.002217718936214,6.279715,70.73684210526316,0.875,0.4605263157894737,0.603448275862069
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,1,0.828,0.853833,0.43421052631578944,-0.75400543,4.194744958558719,4.6541405,59.60526315789474,0.9024390243902439,0.4868421052631579,0.6324786324786326
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.892,0.88428557,0.6447368421052633,-0.38857448,3.0924422750824743,3.5106611,52.0,0.9298245614035088,0.6973684210526315,0.7969924812030075
greedyWarmStartMOV,rrg,0.8,0.3,0.3,1,0.976,0.9143575,0.9210526315789473,-0.02771118,2.2671131649777627,2.7346568,40.19736842105263,0.9487179487179487,0.9736842105263158,0.9610389610389611
greedyWarmStartMOV,rrg,0.9,0.3,0.3,1,0.984,0.9433292,0.9473684210526315,0.31994992,1.707082584287602,2.2023933,38.5921052631579,0.95,1.0,0.9743589743589743
greedyWarmStartMOV,rrg,1.0,0.3,0.3,1,0.984,0.97306955,0.9473684210526315,0.6768343,1.5421389325530588,1.6547053,38.578947368421055,0.95,1.0,0.9743589743589743
