method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.722,0.7000017,0.0,-2.5999827,15.928659226809144,20.461527,256.55395683453236,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.714,0.7508991,-0.02877697841726621,-1.989214,11.795656164546232,13.453363,216.24460431654677,0.4375,0.10071942446043165,0.1637426900584795
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.72,0.78586936,-0.007194244604316552,-1.5695702,10.091215362654602,10.960856,198.3453237410072,0.4883720930232558,0.1510791366906475,0.23076923076923078
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.746,0.8205894,0.08633093525179864,-1.152929,8.0532080463505,8.503882,158.6043165467626,0.5967741935483871,0.26618705035971224,0.3681592039800995
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.76,0.8516013,0.1366906474820145,-0.78078604,6.982616292817742,6.8708477,136.28776978417267,0.6338028169014085,0.3237410071942446,0.42857142857142855
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.766,0.8818704,0.15827338129496415,-0.41755667,5.47673537103245,5.1333895,117.41007194244604,0.6375,0.3669064748201439,0.4657534246575343
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.784,0.9164561,0.22302158273381312,-0.002527716,4.969006267709534,3.6282568,100.12230215827338,0.6823529411764706,0.4172661870503597,0.5178571428571429
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.826,0.9460578,0.3741007194244603,0.35269293,4.18293779942137,2.7710147,89.39568345323741,0.7452830188679245,0.5683453237410072,0.6448979591836734
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.906,0.9739008,0.6618705035971224,0.68680924,3.416093391992672,2.159278,80.8273381294964,0.815068493150685,0.8561151079136691,0.8350877192982457
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.934,0.98657936,0.7625899280575542,0.8389521,2.3290657935067776,1.5548643,79.6978417266187,0.8397435897435898,0.9424460431654677,0.888135593220339
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,0.986,0.981637,0.9496402877697842,0.7796438,1.620921282465444,1.6471782,70.75539568345324,0.952054794520548,1.0,0.9754385964912281
greedyWarmStartMOV,rrg,0.0,0.3,0.3,1,0.712,0.7000017,0.0,-2.5999827,16.806015802069325,20.434172,238.54166666666666,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.7,0.7479807,-0.0416666666666667,-2.0242343,12.342424940125184,14.02314,216.85416666666666,0.4,0.08333333333333333,0.13793103448275862
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.718,0.77882594,0.02083333333333335,-1.6540912,10.866409442098133,11.410763,173.40277777777777,0.5319148936170213,0.1736111111111111,0.2617801047120419
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.728,0.81337667,0.0555555555555556,-1.2394822,8.67159405781114,8.496352,157.29861111111111,0.5625,0.25,0.34615384615384615
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.748,0.8474386,0.12500000000000008,-0.83073884,7.5341881729374345,6.5640717,139.8125,0.6125,0.3402777777777778,0.4375
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.766,0.87796634,0.18750000000000014,-0.46440527,6.197173584295138,4.97731,121.65972222222223,0.6483516483516484,0.4097222222222222,0.502127659574468
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,1,0.782,0.91310805,0.24305555555555575,-0.042704385,5.087820865659638,3.5756178,107.23611111111111,0.6804123711340206,0.4583333333333333,0.5477178423236515
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.814,0.9447657,0.3541666666666666,0.33718762,3.8262186933121156,2.4785652,93.72222222222223,0.7339449541284404,0.5555555555555556,0.6324110671936759
greedyWarmStartMOV,rrg,0.8,0.3,0.3,1,0.904,0.97378874,0.6666666666666667,0.68546456,3.2201626161925496,1.9340522,85.98611111111111,0.8116883116883117,0.8680555555555556,0.8389261744966443
greedyWarmStartMOV,rrg,0.9,0.3,0.3,1,0.94,0.9873202,0.7916666666666665,0.8478421,2.3094311987656404,1.3643141,79.84722222222223,0.8433734939759037,0.9722222222222222,0.903225806451613
greedyWarmStartMOV,rrg,1.0,0.3,0.3,1,0.988,0.9807596,0.9583333333333333,0.7691152,1.4222290610409,1.3207316,72.80555555555556,0.96,1.0,0.9795918367346939
greedyWarmStartMOV,rrg,0.0,0.3,0.3,2,0.718,0.7000017,0.0,-2.5999827,16.608031705205313,20.391504,253.4468085106383,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,2,0.722,0.74787533,0.01418439716312058,-2.0254989,13.15612819049304,14.388242,218.63120567375887,0.5384615384615384,0.09929078014184398,0.16766467065868262
greedyWarmStartMOV,rrg,0.2,0.3,0.3,2,0.724,0.7825471,0.021276595744680868,-1.6094371,11.691846811165872,11.7134495,187.20567375886526,0.5348837209302325,0.16312056737588654,0.25
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,2,0.746,0.81665176,0.09929078014184405,-1.200181,9.926608287979528,9.138962,163.1418439716312,0.6166666666666667,0.2624113475177305,0.3681592039800995
greedyWarmStartMOV,rrg,0.4,0.3,0.3,2,0.778,0.8465025,0.21276595744680868,-0.84197193,7.794580400162063,7.267346,133.36170212765958,0.6973684210526315,0.375886524822695,0.48847926267281105
greedyWarmStartMOV,rrg,0.5,0.3,0.3,2,0.798,0.87700284,0.2836879432624116,-0.47596738,6.044145292100322,5.4883037,115.09929078014184,0.7272727272727273,0.45390070921985815,0.5589519650655022
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,2,0.81,0.9093712,0.3262411347517733,-0.08754667,5.378175631027412,4.106301,100.51773049645391,0.7395833333333334,0.5035460992907801,0.5991561181434598
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,2,0.84,0.94315344,0.43262411347517726,0.31784064,4.335197456825678,2.886872,89.2127659574468,0.7798165137614679,0.6028368794326241,0.68
greedyWarmStartMOV,rrg,0.8,0.3,0.3,2,0.922,0.9716369,0.7234042553191491,0.6596424,3.6289615865227396,2.321965,80.45390070921985,0.84,0.8936170212765957,0.8659793814432989
greedyWarmStartMOV,rrg,0.9,0.3,0.3,2,0.944,0.9818524,0.8014184397163119,0.78222877,2.5659468130406156,1.8690549,75.05673758865248,0.8598726114649682,0.9574468085106383,0.9060402684563759
greedyWarmStartMOV,rrg,1.0,0.3,0.3,2,0.986,0.97949445,0.9503546099290779,0.7539332,1.6671807287595193,1.9855683,71.09929078014184,0.9527027027027027,1.0,0.9757785467128028
