method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.82,0.70000017,0.0,0.0,14.48724701298329,19.916986,19.77777777777778,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.72,0.70000017,0.0,0.0,17.802394530168648,20.636734,25.571428571428573,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.78,0.70000017,0.0,0.0,16.91342920805274,19.923363,21.181818181818183,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.76,0.70000017,0.0,0.0,16.091889350242194,20.246048,28.25,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.7,0.70000017,0.0,0.0,18.06357811525025,20.82891,24.6,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.68,0.71658236,-0.06666666666666635,0.055274002,14.825038512503456,17.43126,21.8,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,1,0.7,0.7464844,0.1176470588235292,0.15494752,14.68289404894906,13.860256,23.88235294117647,0.75,0.17647058823529413,0.2857142857142857
random,rrg,0.1,0.3,0.3,2,0.78,0.7242371,0.15384615384615397,0.08078977,13.907169270516178,16.363243,18.76923076923077,1.0,0.15384615384615385,0.2666666666666667
random,rrg,0.1,0.3,0.3,3,0.6,0.7256995,0.0,0.085664436,14.717905961764876,16.91429,25.15,0.5,0.1,0.16666666666666669
random,rrg,0.1,0.3,0.3,4,0.82,0.7251706,0.24999999999999978,0.0839019,12.973848819378054,17.250992,13.833333333333334,1.0,0.25,0.4
random,rrg,0.2,0.3,0.3,0,0.72,0.7517859,0.22222222222222213,0.17261912,10.29779966463366,13.950374,19.5,0.75,0.3333333333333333,0.46153846153846156
random,rrg,0.2,0.3,0.3,1,0.68,0.7591293,0.11111111111111122,0.1970975,11.920768409336997,12.907757,21.22222222222222,0.75,0.16666666666666666,0.27272727272727276
random,rrg,0.2,0.3,0.3,2,0.76,0.75181955,0.20000000000000015,0.17273188,9.599830980951337,13.48966,16.866666666666667,0.7142857142857143,0.3333333333333333,0.4545454545454545
random,rrg,0.2,0.3,0.3,3,0.74,0.7585913,0.23529411764705874,0.19530387,11.389148479513837,14.000667,18.529411764705884,0.8333333333333334,0.29411764705882354,0.4347826086956522
random,rrg,0.2,0.3,0.3,4,0.8,0.77485085,0.0,0.2495024,8.132551765302969,13.295021,17.8,0.5,0.2,0.28571428571428575
random,rrg,0.30000000000000004,0.3,0.3,0,0.86,,0.4615384615384615,,,,13.461538461538462,0.8,0.6153846153846154,0.6956521739130435
random,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.7912579,-0.10000000000000012,0.30419296,8.849083538623852,10.154835,14.9,0.4,0.2,0.26666666666666666
random,rrg,0.30000000000000004,0.3,0.3,2,0.78,0.7930838,0.08333333333333341,0.3102789,6.938344488440615,9.349338,16.25,0.6,0.25,0.35294117647058826
random,rrg,0.30000000000000004,0.3,0.3,3,0.78,,0.08333333333333341,,,,15.0,0.5384615384615384,0.5833333333333334,0.5599999999999999
random,rrg,0.30000000000000004,0.3,0.3,4,0.86,0.79582715,0.4615384615384615,0.31942374,6.939828876287274,9.218644,12.23076923076923,0.875,0.5384615384615384,0.6666666666666667
random,rrg,0.4,0.3,0.3,0,0.8,0.82917213,0.3333333333333336,0.4305738,7.411026877535424,8.614254,13.133333333333333,0.7272727272727273,0.5333333333333333,0.6153846153846153
random,rrg,0.4,0.3,0.3,1,0.72,0.8252806,0.26315789473684204,0.4176017,9.792613345922533,7.194896,15.473684210526315,0.6923076923076923,0.47368421052631576,0.5625
random,rrg,0.4,0.3,0.3,2,0.62,0.8049151,0.09523809523809532,0.34971693,8.201455591675533,9.713161,17.238095238095237,0.5833333333333334,0.3333333333333333,0.4242424242424242
random,rrg,0.4,0.3,0.3,3,0.78,0.81789124,0.15384615384615397,0.39297083,4.259112190332565,8.826046,13.461538461538462,0.625,0.38461538461538464,0.4761904761904762
random,rrg,0.4,0.3,0.3,4,0.8,0.82820994,0.37500000000000006,0.42736647,7.452878096100668,9.833819,13.0625,0.8,0.5,0.6153846153846154
random,rrg,0.5,0.3,0.3,0,0.84,,0.5555555555555555,,,,12.166666666666666,0.8571428571428571,0.6666666666666666,0.75
random,rrg,0.5,0.3,0.3,1,0.9,0.8672364,0.4444444444444447,0.5574542,5.435712654114008,6.611951,9.777777777777779,0.75,0.6666666666666666,0.7058823529411765
random,rrg,0.5,0.3,0.3,2,0.84,,0.4285714285714285,,,,14.785714285714286,0.8,0.5714285714285714,0.6666666666666666
random,rrg,0.5,0.3,0.3,3,0.72,,0.12499999999999978,,,,16.125,0.5555555555555556,0.625,0.5882352941176471
random,rrg,0.5,0.3,0.3,4,0.88,,0.3999999999999999,,,,9.3,0.75,0.6,0.6666666666666665
random,rrg,0.6000000000000001,0.3,0.3,0,0.84,0.87036943,0.6,0.56789804,7.532827224863938,7.5716953,12.55,1.0,0.6,0.7499999999999999
random,rrg,0.6000000000000001,0.3,0.3,1,0.92,0.89062315,0.7647058823529412,0.6354103,4.581508978835358,4.3440704,10.941176470588236,0.9333333333333333,0.8235294117647058,0.8749999999999999
random,rrg,0.6000000000000001,0.3,0.3,2,0.82,0.86588484,0.6249999999999999,0.55294937,7.594785323988305,7.749424,14.416666666666666,1.0,0.625,0.7692307692307693
random,rrg,0.6000000000000001,0.3,0.3,3,0.82,0.8705169,0.49999999999999983,0.5683894,4.100826396232504,5.866509,12.333333333333334,0.7647058823529411,0.7222222222222222,0.7428571428571428
random,rrg,0.6000000000000001,0.3,0.3,4,0.9,,0.6153846153846155,,,,8.615384615384615,0.7857142857142857,0.8461538461538461,0.8148148148148148
random,rrg,0.7000000000000001,0.3,0.3,0,0.86,,0.5624999999999999,,,,10.3125,0.8,0.75,0.7741935483870969
random,rrg,0.7000000000000001,0.3,0.3,1,0.86,,0.5624999999999999,,,,10.5625,0.8461538461538461,0.6875,0.7586206896551724
random,rrg,0.7000000000000001,0.3,0.3,2,0.98,0.8985422,0.8999999999999999,0.66180736,3.460592433443802,6.1940684,5.8,1.0,0.9,0.9473684210526316
random,rrg,0.7000000000000001,0.3,0.3,3,0.94,,0.7999999999999998,,,,8.866666666666667,0.9285714285714286,0.8666666666666667,0.896551724137931
random,rrg,0.7000000000000001,0.3,0.3,4,0.9,0.9212227,0.642857142857143,0.7374088,3.7726965292981056,3.171621,10.285714285714286,0.8461538461538461,0.7857142857142857,0.8148148148148148
random,rrg,0.8,0.3,0.3,0,0.94,,0.6999999999999996,,,,5.9,0.8181818181818182,0.9,0.8571428571428572
random,rrg,0.8,0.3,0.3,1,0.94,0.9184379,0.8124999999999998,0.72812635,4.193209592252549,3.6809363,10.3125,0.9333333333333333,0.875,0.9032258064516129
random,rrg,0.8,0.3,0.3,2,0.9,,0.5,,,,7.6,0.7272727272727273,0.8,0.761904761904762
random,rrg,0.8,0.3,0.3,3,0.94,,0.7857142857142856,,,,7.571428571428571,0.8235294117647058,1.0,0.9032258064516129
random,rrg,0.8,0.3,0.3,4,0.96,,0.8823529411764705,,,,9.235294117647058,0.9411764705882353,0.9411764705882353,0.9411764705882353
random,rrg,0.9,0.3,0.3,0,0.96,0.957574,0.8749999999999999,0.85857993,1.8634100884025202,2.387007,9.5625,0.9375,0.9375,0.9375
random,rrg,0.9,0.3,0.3,1,0.9,,0.6153846153846155,,,,9.153846153846153,0.8333333333333334,0.7692307692307693,0.8
random,rrg,0.9,0.3,0.3,2,0.94,,0.7857142857142856,,,,8.071428571428571,0.8666666666666667,0.9285714285714286,0.896551724137931
random,rrg,0.9,0.3,0.3,3,0.96,0.95675766,0.8999999999999999,0.8558588,1.9794024704617672,2.705067,10.55,0.95,0.95,0.9500000000000001
random,rrg,0.9,0.3,0.3,4,0.96,,0.846153846153846,,,,7.153846153846154,0.9230769230769231,0.9230769230769231,0.9230769230769231
random,rrg,1.0,0.3,0.3,0,0.98,0.9786289,0.9473684210526315,0.92876285,1.9576556825008173,2.1798568,11.0,0.95,1.0,0.9743589743589743
random,rrg,1.0,0.3,0.3,1,0.96,0.9690427,0.8999999999999999,0.896809,1.0243621605593365,1.7145545,11.5,0.9090909090909091,1.0,0.9523809523809523
random,rrg,1.0,0.3,0.3,2,0.98,,0.9166666666666666,,,,6.5,0.9230769230769231,1.0,0.9600000000000001
random,rrg,1.0,0.3,0.3,3,0.96,,0.8823529411764705,,,,9.235294117647058,0.8947368421052632,1.0,0.9444444444444444
random,rrg,1.0,0.3,0.3,4,1.0,,1.0,,,,7.5,1.0,1.0,1.0
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.66,0.7000034,0.0,-2.5999627,18.330929840352404,20.68806,24.529411764705884,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.7,0.7340458,0.1176470588235292,-2.1914535,9.752188185768203,11.760825,20.58823529411765,0.625,0.29411764705882354,0.4
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.64,0.76610637,-0.05882352941176476,-1.8067262,6.370502449732832,8.611719,19.529411764705884,0.45454545454545453,0.29411764705882354,0.35714285714285715
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.74,0.8067275,0.23529411764705874,-1.3192719,5.286706005969048,5.9141474,17.235294117647058,0.6666666666666666,0.47058823529411764,0.5517241379310345
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.78,0.85086066,0.35294117647058826,-0.78967386,5.043103349008233,4.5760946,15.647058823529411,0.7142857142857143,0.5882352941176471,0.6451612903225806
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.8,0.8830811,0.41176470588235303,-0.4030284,4.668168553972788,3.7909331,12.705882352941176,0.7333333333333333,0.6470588235294118,0.6875
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.8,0.92018294,0.41176470588235303,0.042194407,4.051946127875691,2.8654907,11.882352941176471,0.7333333333333333,0.6470588235294118,0.6875
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.8,0.94881827,0.41176470588235303,0.3858186,3.949963855268689,1.9245291,11.176470588235293,0.7333333333333333,0.6470588235294118,0.6875
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.8,0.9563982,0.41176470588235303,0.47677776,2.7893403689934733,1.69204,11.117647058823529,0.7333333333333333,0.6470588235294118,0.6875
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.9,0.9610628,0.7058823529411765,0.53275305,1.5821699225344894,1.7874348,10.235294117647058,0.9285714285714286,0.7647058823529411,0.8387096774193549
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,1.0,0.9735467,1.0,0.6825599,1.213892870377461,1.5046837,9.0,1.0,1.0,1.0
greedyWarmStartMOV,rrg,0.0,0.3,0.3,1,0.7,0.70000166,0.0,-2.5999835,16.878218518715954,20.3919,22.4,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.62,0.73173505,-0.2666666666666665,-2.2191825,10.689126030460523,13.438591,23.333333333333332,0.25,0.13333333333333333,0.1739130434782609
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.7,0.75893325,0.0,-1.8928038,8.086659331267334,10.469569,15.866666666666667,0.5,0.4666666666666667,0.4827586206896552
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.82540303,0.2666666666666669,-1.0951656,6.970399684126132,7.8448963,14.333333333333334,0.6428571428571429,0.6,0.6206896551724138
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.78,0.86819696,0.2666666666666669,-0.5816379,8.00263281177828,5.9886866,11.866666666666667,0.6428571428571429,0.6,0.6206896551724138
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.8,0.9046686,0.3333333333333336,-0.14397754,7.136520741074003,4.191211,10.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,1,0.8,0.92926604,0.3333333333333336,0.15119162,5.513001252976535,3.6385126,10.533333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.84,0.9511601,0.4666666666666666,0.4139203,4.135601826449954,2.2039742,10.0,0.7333333333333333,0.7333333333333333,0.7333333333333333
greedyWarmStartMOV,rrg,0.8,0.3,0.3,1,0.84,0.9645969,0.4666666666666666,0.5751627,3.0065952191015275,1.4506357,9.8,0.7333333333333333,0.7333333333333333,0.7333333333333333
greedyWarmStartMOV,rrg,0.9,0.3,0.3,1,0.88,0.9717352,0.6000000000000001,0.66082186,2.039109967863185,1.6043073,8.6,0.8,0.8,0.8000000000000002
greedyWarmStartMOV,rrg,1.0,0.3,0.3,1,0.98,0.98625016,0.9333333333333332,0.83500177,1.593099861765385,1.6936171,8.0,0.9375,1.0,0.967741935483871
greedyWarmStartMOV,rrg,0.0,0.3,0.3,2,0.8,0.7000034,0.0,-2.5999627,15.180735559189511,20.930788,25.8,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,2,0.76,0.77337587,-0.20000000000000023,-1.7194922,8.83745558201492,12.954255,25.3,0.25,0.1,0.14285714285714288
greedyWarmStartMOV,rrg,0.2,0.3,0.3,2,0.72,0.80283755,-0.40000000000000047,-1.3659517,5.463980136532338,9.998994,18.9,0.3,0.3,0.3
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,2,0.8,0.8320584,0.0,-1.0153008,4.4779723548066785,8.870866,11.5,0.5,0.7,0.5833333333333334
greedyWarmStartMOV,rrg,0.4,0.3,0.3,2,0.88,0.88044894,0.3999999999999999,-0.43461412,3.898334666293954,6.587412,6.7,0.6428571428571429,0.9,0.75
greedyWarmStartMOV,rrg,0.5,0.3,0.3,2,0.86,0.9086339,0.29999999999999977,-0.09639439,4.12108340213311,5.6586013,6.8,0.6,0.9,0.7200000000000001
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,2,0.86,0.946306,0.29999999999999977,0.35567126,4.723177609794377,3.2103467,6.6,0.6,0.9,0.7200000000000001
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,2,0.86,0.9602492,0.29999999999999977,0.52298975,3.433349117374047,2.9187741,7.2,0.6,0.9,0.7200000000000001
greedyWarmStartMOV,rrg,0.8,0.3,0.3,2,0.86,0.97532874,0.29999999999999977,0.7039446,2.0759341700952043,1.7506725,7.3,0.6,0.9,0.7200000000000001
greedyWarmStartMOV,rrg,0.9,0.3,0.3,2,0.9,0.9909748,0.5,0.8916973,1.8243157821934841,1.4680814,8.3,0.6666666666666666,1.0,0.8
greedyWarmStartMOV,rrg,1.0,0.3,0.3,2,1.0,0.9817049,1.0,0.78045845,1.6795014412823845,2.3455045,5.5,1.0,1.0,1.0
greedyWarmStartMOV,rrg,0.0,0.3,0.3,3,0.64,0.70000166,0.0,-2.5999835,15.932480111942919,20.586174,20.27777777777778,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,3,0.7,0.75399953,0.16666666666666652,-1.9520085,8.630298339697465,11.773855,18.555555555555557,0.8,0.2222222222222222,0.3478260869565218
greedyWarmStartMOV,rrg,0.2,0.3,0.3,3,0.7,0.78330857,0.16666666666666652,-1.6002997,7.662280073893886,6.250377,20.055555555555557,0.6363636363636364,0.3888888888888889,0.4827586206896552
