method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
MCMCsubsetMOV,rrg,0.1,0.3,0.3,0,0.75,0.73750097,-0.1999999999999998,0.12499126,33.56015811812852,36.343487,9.4,0.0,0.0,0.0
MCMCsubsetMOV,rrg,0.1,0.3,0.3,1,0.7916666666666666,0.72500104,-0.2500000000000005,0.08332426,45.94588225586974,56.615467,16.0,0.0,0.0,0.0
MCMCsubsetMOV,rrg,0.1,0.3,0.3,2,0.6666666666666666,0.72500247,0.19999999999999984,0.08331737,73.46076531020555,61.692932,13.9,1.0,0.2,0.33333333333333337
MCMCsubsetMOV,rrg,0.1,0.3,0.3,3,0.7916666666666666,0.7250014,0.2857142857142855,0.08333128,53.48675739608401,55.288593,7.714285714285714,1.0,0.2857142857142857,0.4444444444444445
MCMCsubsetMOV,rrg,0.1,0.3,0.3,4,0.8333333333333334,0.75429225,0.20000000000000032,0.18096296,40.040108148637394,58.586567,9.0,1.0,0.2,0.33333333333333337
MCMCsubsetMOV,rrg,0.2,0.3,0.3,0,0.7916666666666666,0.75286645,0.2857142857142855,0.17621022,52.88186505417253,46.070393,9.428571428571429,1.0,0.2857142857142857,0.4444444444444445
MCMCsubsetMOV,rrg,0.2,0.3,0.3,1,0.5833333333333334,0.7349233,-0.4285714285714286,0.11639893,31.791864288144314,35.640095,10.142857142857142,0.0,0.0,0.0
MCMCsubsetMOV,rrg,0.2,0.3,0.3,2,0.7083333333333334,0.77955055,-0.16666666666666652,0.26514912,32.767529874958385,33.441814,10.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
MCMCsubsetMOV,rrg,0.2,0.3,0.3,3,0.625,0.72272253,0.18181818181818188,0.075693876,64.08075652079516,54.00954,10.545454545454545,0.75,0.2727272727272727,0.39999999999999997
MCMCsubsetMOV,rrg,0.2,0.3,0.3,4,0.75,0.7406795,0.25000000000000006,0.13557553,70.05835793849666,60.838696,10.375,1.0,0.25,0.4
MCMCsubsetMOV,rrg,0.30000000000000004,0.3,0.3,0,0.7083333333333334,0.76698357,0.36363636363636376,0.22327289,23.280921808756812,26.108698,10.454545454545455,0.8333333333333334,0.45454545454545453,0.5882352941176471
MCMCsubsetMOV,rrg,0.30000000000000004,0.3,0.3,1,0.875,0.8131042,0.40000000000000013,0.37699774,31.687834397172224,23.142828,5.8,0.75,0.6,0.6666666666666665
MCMCsubsetMOV,rrg,0.30000000000000004,0.3,0.3,2,0.875,0.7602208,0.5714285714285714,0.20072515,42.69375421401196,41.27488,5.714285714285714,0.8333333333333334,0.7142857142857143,0.7692307692307692
MCMCsubsetMOV,rrg,0.30000000000000004,0.3,0.3,3,0.75,0.81365865,-0.1999999999999998,0.37883,46.52479056381231,39.914078,8.0,0.3333333333333333,0.2,0.25
MCMCsubsetMOV,rrg,0.30000000000000004,0.3,0.3,4,0.75,0.7860708,0.0,0.28689343,32.39554672952958,37.064156,8.833333333333334,0.5,0.5,0.5
MCMCsubsetMOV,rrg,0.4,0.3,0.3,0,0.75,0.80446035,0.25000000000000006,0.34819224,37.40194302311501,42.428677,8.25,0.6666666666666666,0.5,0.5714285714285715
MCMCsubsetMOV,rrg,0.4,0.3,0.3,1,0.7083333333333334,0.7764036,0.30000000000000004,0.25466865,40.03009263576309,42.924637,7.4,0.7142857142857143,0.5,0.588235294117647
MCMCsubsetMOV,rrg,0.4,0.3,0.3,2,0.7083333333333334,0.80442125,-0.7500000000000002,0.3480536,14.41282875893951,35.446064,5.0,0.2857142857142857,0.5,0.36363636363636365
MCMCsubsetMOV,rrg,0.4,0.3,0.3,3,0.875,0.83634853,0.24999999999999983,0.4544807,9.393279587722967,21.164171,3.5,0.6,0.75,0.6666666666666665
MCMCsubsetMOV,rrg,0.4,0.3,0.3,4,0.7916666666666666,0.81406736,0.37499999999999994,0.3802082,34.16162210573878,29.666388,6.0,0.8,0.5,0.6153846153846154
