method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
MCMCsubsetOV,rrg,0.1,0.3,0.3,0,0.6590909090909091,0.7262412,0.16666666666666652,0.0874581,55.879053514130845,51.214,20.666666666666668,1.0,0.16666666666666666,0.2857142857142857
MCMCsubsetOV,rrg,0.1,0.3,0.3,1,0.6363636363636364,0.73987794,-0.0666666666666666,0.13291444,57.446703175724785,52.018593,20.4,0.3333333333333333,0.06666666666666667,0.1111111111111111
MCMCsubsetOV,rrg,0.1,0.3,0.3,2,0.7727272727272727,0.6964732,-0.111111111111111,-0.0117696915,45.801770971670045,61.682446,13.11111111111111,0.4,0.2222222222222222,0.2857142857142857
MCMCsubsetOV,rrg,0.1,0.3,0.3,3,0.75,0.7205371,0.15384615384615374,0.06843232,49.30718967531678,57.241703,19.23076923076923,1.0,0.15384615384615385,0.2666666666666667
MCMCsubsetOV,rrg,0.1,0.3,0.3,4,0.6590909090909091,0.7280626,-0.1538461538461541,0.09351818,60.60063919447559,56.698315,21.46153846153846,0.3333333333333333,0.15384615384615385,0.21052631578947367
MCMCsubsetOV,rrg,0.2,0.3,0.3,0,0.6363636363636364,0.7457048,-0.1428571428571427,0.1523269,50.61855869784501,52.92113,19.714285714285715,0.3333333333333333,0.14285714285714285,0.2
MCMCsubsetOV,rrg,0.2,0.3,0.3,1,0.6590909090909091,0.7491154,0.062499999999999944,0.16370642,49.33698599631089,42.083378,18.75,0.6,0.1875,0.2857142857142857
MCMCsubsetOV,rrg,0.2,0.3,0.3,2,0.7272727272727273,0.7585302,0.07692307692307687,0.19508934,41.73756072856525,39.369144,19.153846153846153,0.6,0.23076923076923078,0.33333333333333337
MCMCsubsetOV,rrg,0.2,0.3,0.3,3,0.8636363636363636,0.75460345,0.24999999999999983,0.18198991,43.78816293107198,57.861423,18.25,0.75,0.375,0.5
MCMCsubsetOV,rrg,0.2,0.3,0.3,4,0.6590909090909091,0.75357765,0.0,0.17858094,39.48430606714766,41.084084,18.6,0.5,0.13333333333333333,0.2105263157894737
MCMCsubsetOV,rrg,0.30000000000000004,0.3,0.3,0,0.7045454545454546,0.7765084,0.0714285714285717,0.25501764,30.177146576481448,31.65615,17.0,0.5555555555555556,0.35714285714285715,0.43478260869565216
MCMCsubsetOV,rrg,0.30000000000000004,0.3,0.3,1,0.7954545454545454,0.7845238,0.2499999999999998,0.28173628,32.84704889811331,37.903313,14.666666666666666,0.8,0.3333333333333333,0.47058823529411764
MCMCsubsetOV,rrg,0.30000000000000004,0.3,0.3,2,0.6363636363636364,0.77356154,0.11111111111111102,0.24518506,34.103911883718645,37.17141,14.222222222222221,0.6,0.3333333333333333,0.42857142857142855
MCMCsubsetOV,rrg,0.30000000000000004,0.3,0.3,3,0.8636363636363636,0.7906939,0.4545454545454546,0.30229437,37.01217439521488,31.575378,11.090909090909092,0.7777777777777778,0.6363636363636364,0.7000000000000001
MCMCsubsetOV,rrg,0.30000000000000004,0.3,0.3,4,0.8181818181818182,0.8129596,-0.14285714285714277,0.3765234,27.07636950427313,36.2216,13.714285714285714,0.3333333333333333,0.14285714285714285,0.2
MCMCsubsetOV,rrg,0.4,0.3,0.3,0,0.8409090909090909,0.8135468,0.36363636363636376,0.37848088,24.71679038343858,26.91234,10.272727272727273,0.75,0.5454545454545454,0.631578947368421
MCMCsubsetOV,rrg,0.4,0.3,0.3,1,0.8409090909090909,0.8196555,0.36363636363636376,0.39884326,22.36003122403667,25.934895,9.818181818181818,0.75,0.5454545454545454,0.631578947368421
MCMCsubsetOV,rrg,0.4,0.3,0.3,2,0.75,0.84259725,0.08333333333333326,0.4753101,32.39107795235598,20.613089,14.916666666666666,0.5714285714285714,0.3333333333333333,0.4210526315789474
MCMCsubsetOV,rrg,0.4,0.3,0.3,3,0.6818181818181818,0.81030506,0.33333333333333326,0.3676666,32.07007986574974,27.65845,16.952380952380953,0.8181818181818182,0.42857142857142855,0.5625
MCMCsubsetOV,rrg,0.4,0.3,0.3,4,0.75,0.81129855,0.3125,0.37098643,30.376554038072253,23.267384,12.5,0.7777777777777778,0.4375,0.56
