method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedySampleReplaceOV,rrg,0.3,0.3,0.3,0,1.0,0.7797878,1.0,-1.6425491738788356,6.070616273706807,12.611408743254517,6.0,1.0,1.0,1.0
greedySampleReplaceOV,rrg,0.3,0.3,0.3,1,0.76,0.79433054,0.5384615384615385,-1.4680359058722552,8.029779375802473,9.259036798237391,17.96153846153846,1.0,0.5384615384615384,0.7000000000000001
greedySampleReplaceOV,rrg,0.3,0.3,0.3,2,1.0,0.78333265,1.0,-1.6000107288462915,5.705395789633809,10.913051976337579,6.0,1.0,1.0,1.0
greedySampleReplaceOV,rrg,0.3,0.3,0.3,3,0.94,0.78394747,0.8333333333333331,-1.5926328588799084,9.534823715781958,11.523644263223419,12.38888888888889,1.0,0.8333333333333334,0.9090909090909091
greedySampleReplaceOV,rrg,0.3,0.3,0.3,4,0.98,0.78800964,0.9374999999999999,-1.543886703383163,4.141345460623973,9.261333598007303,9.125,1.0,0.9375,0.967741935483871
greedySampleReplaceOV,rrg,0.6,0.3,0.3,0,1.0,0.8833858,1.0,-0.39937200486374363,4.174190794170149,8.157349358372523,8.5,1.0,1.0,1.0
greedySampleReplaceOV,rrg,0.6,0.3,0.3,1,1.0,0.8819423,1.0,-0.41669408482941134,3.439961394797358,6.452695203457368,5.5,1.0,1.0,1.0
greedySampleReplaceOV,rrg,0.6,0.3,0.3,2,1.0,0.8964222,1.0,-0.24293469708890636,4.525838510358027,4.985184133730602,9.0,1.0,1.0,1.0
greedySampleReplaceOV,rrg,0.6,0.3,0.3,3,0.98,0.87560976,0.9166666666666666,-0.49268435734210714,4.853950872716075,7.240465791344106,6.5,0.9230769230769231,1.0,0.9600000000000001
greedySampleReplaceOV,rrg,0.6,0.3,0.3,4,1.0,0.90941703,1.0,-0.08699663829482869,2.637444548759416,5.770959228476062,6.5,1.0,1.0,1.0
