method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.74,0.7287395,0.04878048780487796,-2.2551222,12.386595245471913,15.538337,66.3170731707317,0.5833333333333334,0.17073170731707318,0.2641509433962264
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.7533333333333333,0.76495373,0.09756097560975592,-1.8205519,9.671217969065152,11.38471,55.58536585365854,0.5909090909090909,0.3170731707317073,0.41269841269841273
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.7933333333333333,0.7816085,0.2439024390243902,-1.6206946,8.252039610825214,9.657543,46.5609756097561,0.7272727272727273,0.3902439024390244,0.5079365079365079
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.8333333333333334,0.8059825,0.3902439024390245,-1.3282076,6.77692375715674,8.2444315,41.65853658536585,0.8076923076923077,0.5121951219512195,0.6268656716417911
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.88,0.8344748,0.5609756097560975,-0.9863,5.779339486385453,6.609027,34.707317073170735,0.96,0.5853658536585366,0.7272727272727272
greedyWarmStartMOV,rrg,0.6,0.3,0.3,0,0.8933333333333333,0.8651404,0.6097560975609755,-0.61831355,4.202603612348991,5.456936,29.390243902439025,0.9310344827586207,0.6585365853658537,0.7714285714285715
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.92,0.90301454,0.7073170731707319,-0.16382413,3.342888924033378,4.6563926,24.51219512195122,0.967741935483871,0.7317073170731707,0.8333333333333334
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.7866666666666666,0.73431766,0.058823529411764594,-2.1881843,12.21033266557951,16.429907,60.911764705882355,0.6666666666666666,0.11764705882352941,0.2
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.7866666666666666,0.7699753,0.058823529411764594,-1.760293,9.550722442020488,11.59257,47.294117647058826,0.5625,0.2647058823529412,0.36000000000000004
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.84,0.79147595,0.29411764705882343,-1.5022856,7.789017332085506,9.944122,38.529411764705884,0.75,0.4411764705882353,0.5555555555555556
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.8866666666666667,0.8150744,0.5000000000000002,-1.2191048,6.406322821568259,8.448248,30.176470588235293,0.84,0.6176470588235294,0.711864406779661
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.9133333333333333,0.83871233,0.6176470588235294,-0.93544966,5.64805362397665,7.3771453,24.823529411764707,0.8888888888888888,0.7058823529411765,0.7868852459016393
greedyWarmStartMOV,rrg,0.6,0.3,0.3,1,0.9466666666666667,0.86615235,0.7647058823529411,-0.60616994,3.8526375363121663,5.928479,20.294117647058822,0.8823529411764706,0.8823529411764706,0.8823529411764706
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.96,0.89256144,0.8235294117647057,-0.28926122,2.6298897964761934,4.714959,18.470588235294116,0.8888888888888888,0.9411764705882353,0.9142857142857143
