method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.724,0.7000017,0.0,-2.5999827,17.562055611687963,20.578804,139.91304347826087,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.7,0.7449668,-0.0869565217391305,-2.0604012,10.348100163256722,12.274194,111.7536231884058,0.40625,0.18840579710144928,0.2574257425742575
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.8,0.774967,0.27536231884057993,-1.7003984,6.879711601121343,9.020669,75.6231884057971,0.6666666666666666,0.5507246376811594,0.603174603174603
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.876,0.808745,0.5507246376811594,-1.2950618,5.8733380821330154,7.4565344,55.768115942028984,0.7567567567567568,0.8115942028985508,0.7832167832167832
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.94,0.8368756,0.7826086956521737,-0.95749444,5.4323564550175885,6.243725,45.04347826086956,0.8552631578947368,0.9420289855072463,0.8965517241379309
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.94,0.86641467,0.7826086956521737,-0.60302556,5.438777416061925,5.221253,42.43478260869565,0.8552631578947368,0.9420289855072463,0.8965517241379309
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.94,0.8953791,0.7826086956521737,-0.25545168,4.499120995940871,3.9296706,43.231884057971016,0.8552631578947368,0.9420289855072463,0.8965517241379309
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.94,0.9236584,0.7826086956521737,0.08389958,3.8948622620508426,3.2861633,42.94202898550725,0.8552631578947368,0.9420289855072463,0.8965517241379309
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.94,0.95349425,0.7826086956521737,0.44193047,3.3558064279562885,2.4560137,42.507246376811594,0.8552631578947368,0.9420289855072463,0.8965517241379309
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.948,0.9778967,0.8115942028985506,0.73476005,2.609442711914588,1.9118731,41.85507246376812,0.868421052631579,0.9565217391304348,0.9103448275862069
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,0.98,0.9778763,0.9275362318840579,0.7345154,1.917824591729623,1.8018427,35.0,0.9324324324324325,1.0,0.965034965034965
greedyWarmStartMOV,rrg,0.0,0.3,0.3,1,0.712,0.7000017,0.0,-2.5999827,16.11115635684813,20.266941,125.02777777777777,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.692,0.75157416,-0.0694444444444445,-1.981113,9.881764814795922,11.081139,113.13888888888889,0.4074074074074074,0.1527777777777778,0.22222222222222227
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.792,0.78157383,0.277777777777778,-1.6211165,7.558741306503503,8.152825,82.77777777777777,0.6923076923076923,0.5,0.5806451612903226
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.884,0.8137362,0.5972222222222223,-1.2351677,6.473862450332466,6.8425,54.958333333333336,0.7866666666666666,0.8194444444444444,0.802721088435374
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.896,0.8465,0.638888888888889,-0.842002,6.387403918843678,5.609247,48.77777777777778,0.8026315789473685,0.8472222222222222,0.8243243243243243
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.896,0.88144773,0.638888888888889,-0.42262858,5.96585507665938,4.8174305,47.65277777777778,0.8026315789473685,0.8472222222222222,0.8243243243243243
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,1,0.896,0.91231894,0.638888888888889,-0.052173663,5.1655555722845135,3.600075,47.875,0.8026315789473685,0.8472222222222222,0.8243243243243243
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.896,0.9441435,0.638888888888889,0.32972106,4.535950099407393,2.6792016,46.31944444444444,0.8026315789473685,0.8472222222222222,0.8243243243243243
greedyWarmStartMOV,rrg,0.8,0.3,0.3,1,0.896,0.9699839,0.638888888888889,0.63980615,3.261174789163952,1.9070925,44.833333333333336,0.8026315789473685,0.8472222222222222,0.8243243243243243
greedyWarmStartMOV,rrg,0.9,0.3,0.3,1,0.904,0.9744457,0.6666666666666667,0.6933481,2.1208228332332606,1.6099229,43.59722222222222,0.8243243243243243,0.8472222222222222,0.8356164383561645
greedyWarmStartMOV,rrg,1.0,0.3,0.3,1,0.988,0.9759981,0.9583333333333333,0.71197695,1.5013801433575917,1.5560092,36.52777777777778,0.96,1.0,0.9795918367346939
