method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.6428571428571429,0.7000001,0.0,0.0,21.541283902241517,21.015615,20.733333333333334,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.7142857142857143,0.7000001,0.0,0.0,14.4562198758601,19.603949,20.416666666666668,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.5,0.7000001,0.0,0.0,21.91686515875344,20.659775,20.428571428571427,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.7857142857142857,0.7000001,0.0,0.0,13.529590530115517,20.87413,21.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.5238095238095238,0.70000005,0.0,0.0,20.461230915161227,20.578129,24.0,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.5714285714285714,0.7226192,0.05263157894736824,0.075396925,20.1564838296063,18.707302,17.42105263157895,1.0,0.05263157894736842,0.1
random,rrg,0.1,0.3,0.3,1,0.7380952380952381,0.72257185,-0.09999999999999963,0.07523935,12.260395764054868,17.680021,18.4,0.3333333333333333,0.1,0.15384615384615383
random,rrg,0.1,0.3,0.3,2,0.6190476190476191,0.7258251,-0.06666666666666675,0.08608324,13.151045247232863,15.029897,17.466666666666665,0.4,0.13333333333333333,0.2
random,rrg,0.1,0.3,0.3,3,0.7619047619047619,0.733017,0.0,0.11005662,16.1394327270867,15.91906,22.8,0.5,0.1,0.16666666666666669
random,rrg,0.1,0.3,0.3,4,0.7857142857142857,0.73379976,0.2499999999999999,0.112665184,9.270591773484616,12.757463,17.5,1.0,0.25,0.4
random,rrg,0.2,0.3,0.3,0,0.6190476190476191,0.768118,0.2,0.2270598,11.214271831521886,11.635032,18.25,0.8333333333333334,0.25,0.3846153846153846
random,rrg,0.2,0.3,0.3,1,0.7619047619047619,0.73928815,0.28571428571428564,0.13095985,11.127639372616441,13.796431,15.642857142857142,0.75,0.42857142857142855,0.5454545454545454
random,rrg,0.2,0.3,0.3,2,0.6904761904761905,0.74360746,0.1333333333333332,0.14535807,15.136950746583945,14.846699,14.733333333333333,1.0,0.13333333333333333,0.23529411764705882
random,rrg,0.2,0.3,0.3,3,0.7857142857142857,0.7411078,0.2499999999999999,0.13702594,9.55988169127205,13.563216,14.416666666666666,0.8,0.3333333333333333,0.47058823529411764
random,rrg,0.2,0.3,0.3,4,0.7857142857142857,0.77736765,0.0,0.2578919,9.957594793681844,13.602925,16.77777777777778,0.5,0.2222222222222222,0.30769230769230765
random,rrg,0.30000000000000004,0.3,0.3,0,0.7619047619047619,,0.16666666666666646,,,,13.666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444
random,rrg,0.30000000000000004,0.3,0.3,1,0.7619047619047619,0.7710298,0.37499999999999983,0.23676562,11.238421859236412,13.59063,15.3125,0.875,0.4375,0.5833333333333334
random,rrg,0.30000000000000004,0.3,0.3,2,0.7619047619047619,0.8018284,0.23076923076923067,0.33942783,8.64065938313657,9.932857,12.0,0.6666666666666666,0.46153846153846156,0.5454545454545455
random,rrg,0.30000000000000004,0.3,0.3,3,0.7857142857142857,0.7836007,0.2499999999999999,0.2786687,8.809848129045488,11.638713,12.416666666666666,0.7142857142857143,0.4166666666666667,0.5263157894736842
random,rrg,0.30000000000000004,0.3,0.3,4,0.7142857142857143,0.75793105,0.25,0.19310339,10.458736206998585,12.984356,13.8125,0.8333333333333334,0.3125,0.45454545454545453
random,rrg,0.4,0.3,0.3,0,0.8095238095238095,0.8457675,0.20000000000000018,0.48589146,9.448536909273761,6.7938247,10.7,0.625,0.5,0.5555555555555556
random,rrg,0.4,0.3,0.3,1,0.8095238095238095,0.8360795,0.4666666666666666,0.45359805,8.277854158571952,7.8784733,11.733333333333333,0.8888888888888888,0.5333333333333333,0.6666666666666667
random,rrg,0.4,0.3,0.3,2,0.8809523809523809,0.84123355,0.1666666666666668,0.47077832,8.072085615133407,6.6008034,6.666666666666667,0.5714285714285714,0.6666666666666666,0.6153846153846153
random,rrg,0.4,0.3,0.3,3,0.8571428571428571,0.8082862,0.33333333333333315,0.36095375,7.5109377806871995,10.822875,9.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
random,rrg,0.4,0.3,0.3,4,0.7857142857142857,0.8445417,0.43749999999999994,0.48180556,9.122048501910752,8.294103,13.3125,0.8888888888888888,0.5,0.64
random,rrg,0.5,0.3,0.3,0,0.8571428571428571,0.83334696,0.6470588235294117,0.44448978,5.598644738543976,7.187569,12.0,0.9230769230769231,0.7058823529411765,0.8000000000000002
random,rrg,0.5,0.3,0.3,1,0.7857142857142857,0.86441755,0.10000000000000009,0.54805833,6.509761710549169,5.1459785,10.9,0.5454545454545454,0.6,0.5714285714285713
random,rrg,0.5,0.3,0.3,2,0.8095238095238095,,0.3333333333333333,,,,9.333333333333334,0.75,0.5,0.6
random,rrg,0.5,0.3,0.3,3,0.8571428571428571,0.8412115,0.2499999999999997,0.4707049,3.0997348504384594,6.800723,7.75,0.6,0.75,0.6666666666666665
random,rrg,0.5,0.3,0.3,4,0.8095238095238095,,0.3333333333333333,,,,9.75,0.75,0.5,0.6
random,rrg,0.6000000000000001,0.3,0.3,0,0.9047619047619048,0.8741317,0.6923076923076923,0.5804386,3.8033215687594293,4.579159,9.153846153846153,0.9090909090909091,0.7692307692307693,0.8333333333333333
random,rrg,0.6000000000000001,0.3,0.3,1,0.8809523809523809,0.9011905,0.44444444444444436,0.6706349,5.6704657858859076,3.965713,8.88888888888889,0.7,0.7777777777777778,0.7368421052631577
random,rrg,0.6000000000000001,0.3,0.3,2,0.8333333333333334,,0.3636363636363637,,,,9.363636363636363,0.75,0.5454545454545454,0.631578947368421
random,rrg,0.6000000000000001,0.3,0.3,3,0.8571428571428571,0.89669037,0.6470588235294117,0.65563446,5.319151949645112,5.147294,10.235294117647058,0.8666666666666667,0.7647058823529411,0.8125
random,rrg,0.6000000000000001,0.3,0.3,4,0.8095238095238095,0.83395493,0.5,0.44651625,3.3807070022796615,6.73788,11.25,0.9,0.5625,0.6923076923076923
random,rrg,0.7000000000000001,0.3,0.3,0,0.9523809523809523,,0.7999999999999998,,,,6.5,0.8333333333333334,1.0,0.9090909090909091
