method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.8,0.7,0.0,0.0,17.461595933969086,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.8,0.7,0.0,0.0,15.343004081576083,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.8,0.7,0.0,0.0,8.123434210280841,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.8,0.7,0.0,0.0,9.017508431329345,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.8,0.7,0.0,0.0,12.562155157691752,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,5,0.8,0.7,0.0,0.0,15.66751997730783,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,6,0.8,0.7,0.0,0.0,11.214501357070123,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,7,0.8,0.7,0.0,0.0,16.402888369644945,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,8,0.8,0.7,0.0,0.0,8.082343956260896,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,9,0.8,0.7,0.0,0.0,12.68415148611269,20.62958133949533,3.0,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.7,0.73,0.24999999999999994,0.09999992052712767,12.228884662489692,13.827530726857727,3.5,1.0,0.25,0.4
random,rrg,0.1,0.3,0.3,1,0.7,0.73,0.24999999999999994,0.09999992052712767,19.26341727433408,17.976133835653087,4.0,1.0,0.25,0.4
random,rrg,0.1,0.3,0.3,2,0.7,0.67351145,0.24999999999999994,-0.08829535457219355,14.608689234050988,18.807025092383675,3.75,0.6666666666666666,0.5,0.5714285714285715
random,rrg,0.1,0.3,0.3,3,0.7,0.73,0.24999999999999994,0.09999992052712767,20.432048789716244,18.456520580751906,3.5,1.0,0.25,0.4
random,rrg,0.1,0.3,0.3,4,0.6,0.69888985,0.0,-0.0037006543001579127,16.010374552029337,18.62711352959003,6.25,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,5,0.7,0.73,0.24999999999999994,0.09999992052712767,12.173811160109292,13.827530726857727,3.5,1.0,0.25,0.4
random,rrg,0.1,0.3,0.3,6,0.4,0.70874995,-0.4999999999999999,0.029166345463807655,17.71082745101013,13.452722502098542,6.75,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,7,0.6,0.69888985,0.0,-0.0037006543001579127,15.364609166485408,18.62711352959003,6.25,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,8,0.5,0.7599996,-0.24999999999999994,0.19999845027898952,20.13726344123646,12.382634180261304,5.25,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,9,0.7,0.67351145,0.24999999999999994,-0.08829535457219355,15.907969512994466,18.807025092383675,3.75,0.6666666666666666,0.5,0.5714285714285715
random,rrg,0.2,0.3,0.3,0,0.7,0.68383014,-0.5000000000000006,-0.053899903500045594,5.991493675486265,15.029717009362193,2.0,0.4,1.0,0.5714285714285715
random,rrg,0.2,0.3,0.3,1,0.9,0.7811648,0.5,0.27054915567010246,11.905928013155446,9.985925588983692,4.5,1.0,0.5,0.6666666666666666
random,rrg,0.2,0.3,0.3,2,0.9,0.76614577,0.5,0.22048560716193774,8.10860483139297,11.615340127113898,2.0,1.0,0.5,0.6666666666666666
random,rrg,0.2,0.3,0.3,3,0.9,0.78166664,0.5,0.27222186128285536,7.903263945365391,9.118244993929261,2.5,1.0,0.5,0.6666666666666666
random,rrg,0.2,0.3,0.3,4,0.7,0.69517815,-0.5000000000000006,-0.01607319294050282,12.319632565384072,16.593940595170345,4.5,0.3333333333333333,0.5,0.4
random,rrg,0.2,0.3,0.3,5,0.9,0.75166667,0.5,0.17222192088752142,8.512900474665354,9.45464173878724,1.5,1.0,0.5,0.6666666666666666
random,rrg,0.2,0.3,0.3,6,0.9,0.76883554,0.5,0.2294515397176686,10.087487081487756,15.537500402556272,1.5,1.0,0.5,0.6666666666666666
