method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.1,0.3,0.3,0,0.735,0.73840773,0.05357142857142862,0.1280258,14.507836931654806,15.61601,77.17857142857143,0.5882352941176471,0.17857142857142858,0.273972602739726
random,rrg,0.1,0.3,0.3,1,0.675,0.72473943,0.10958904109589052,0.082464814,15.509402796964924,17.051613,89.56164383561644,0.8333333333333334,0.136986301369863,0.2352941176470588
random,rrg,0.1,0.3,0.3,2,0.77,0.72420317,0.11538461538461549,0.08067727,12.429310017330668,16.618916,81.34615384615384,0.7142857142857143,0.19230769230769232,0.30303030303030304
random,rrg,0.2,0.3,0.3,0,0.75,0.7596687,0.12280701754385974,0.19889556,9.968900391848345,12.961374,77.43859649122807,0.64,0.2807017543859649,0.39024390243902435
random,rrg,0.2,0.3,0.3,1,0.74,0.7554596,0.14754098360655749,0.18486539,11.429121643015424,13.07243,74.1311475409836,0.7142857142857143,0.2459016393442623,0.36585365853658536
random,rrg,0.2,0.3,0.3,2,0.72,0.7578035,0.01754385964912282,0.19267836,11.740755166188176,14.032748,68.19298245614036,0.5263157894736842,0.17543859649122806,0.2631578947368421
random,rrg,0.30000000000000004,0.3,0.3,0,0.765,0.7952783,0.2769230769230769,0.3175944,8.224924849975405,9.892686,64.70769230769231,0.7368421052631579,0.4307692307692308,0.5436893203883496
random,rrg,0.30000000000000004,0.3,0.3,1,0.785,0.793788,0.21818181818181837,0.31262675,9.58986670098911,9.973908,65.54545454545455,0.7142857142857143,0.36363636363636365,0.48192771084337355
random,rrg,0.30000000000000004,0.3,0.3,2,0.77,0.78037053,0.2068965517241381,0.2679018,8.982740330420842,11.284374,62.01724137931034,0.7,0.3620689655172414,0.47727272727272735
random,rrg,0.4,0.3,0.3,0,0.825,,0.36363636363636354,,,,49.945454545454545,0.7380952380952381,0.5636363636363636,0.6391752577319588
random,rrg,0.4,0.3,0.3,1,0.81,,0.25490196078431393,,,,50.72549019607843,0.6585365853658537,0.5294117647058824,0.5869565217391304
random,rrg,0.4,0.3,0.3,2,0.76,,0.22580645161290339,,,,58.20967741935484,0.64,0.5161290322580645,0.5714285714285714
random,rrg,0.5,0.3,0.3,0,0.815,,0.4307692307692305,,,,48.95384615384615,0.75,0.6461538461538462,0.694214876033058
random,rrg,0.5,0.3,0.3,1,0.84,,0.40740740740740733,,,,43.22222222222222,0.7115384615384616,0.6851851851851852,0.6981132075471698
random,rrg,0.5,0.3,0.3,2,0.81,,0.38709677419354865,,,,48.5,0.7142857142857143,0.6451612903225806,0.6779661016949152
random,rrg,0.6,0.3,0.3,0,0.855,,0.5538461538461538,,,,43.09230769230769,0.86,0.6615384615384615,0.7478260869565216
random,rrg,0.6,0.3,0.3,1,0.875,,0.5454545454545455,,,,37.09090909090909,0.8409090909090909,0.6727272727272727,0.7474747474747475
random,rrg,0.6,0.3,0.3,2,0.845,,0.581081081081081,,,,48.054054054054056,0.8524590163934426,0.7027027027027027,0.7703703703703704
random,rrg,0.7000000000000001,0.3,0.3,0,0.895,,0.5961538461538463,,,,36.38461538461539,0.803921568627451,0.7884615384615384,0.7961165048543688
random,rrg,0.7000000000000001,0.3,0.3,1,0.89,,0.65625,,,,38.875,0.8888888888888888,0.75,0.8135593220338982
random,rrg,0.7000000000000001,0.3,0.3,2,0.905,,0.6885245901639345,,,,36.295081967213115,0.8888888888888888,0.7868852459016393,0.8347826086956522
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.675,0.75235045,-0.18181818181818157,-1.9717975,11.671110053859957,11.741502,96.49090909090908,0.2727272727272727,0.10909090909090909,0.15584415584415584
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.745,0.7848933,0.07272727272727278,-1.5812832,7.566011789818801,7.740695,70.2,0.5454545454545454,0.43636363636363634,0.48484848484848486
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.825,0.8170578,0.36363636363636354,-1.1953087,5.856448998562065,6.1530275,46.163636363636364,0.6666666666666666,0.7272727272727273,0.6956521739130435
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.835,0.8533009,0.3999999999999999,-0.7603905,5.403564328777109,4.8259416,48.32727272727273,0.6833333333333333,0.7454545454545455,0.7130434782608696
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.85,0.88301253,0.45454545454545453,-0.40385094,4.83564360535185,3.7964165,40.6,0.6984126984126984,0.8,0.7457627118644068
greedyWarmStartMOV,rrg,0.6,0.3,0.3,0,0.855,0.9103054,0.4727272727272727,-0.07633646,4.081984147436893,2.834719,37.07272727272727,0.7096774193548387,0.8,0.7521367521367521
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.855,0.94286764,0.4727272727272727,0.31441098,3.9447945330332352,2.030266,35.96363636363636,0.7096774193548387,0.8,0.7521367521367521
greedyWarmStartMOV,rrg,0.1,0.3,0.3,1,0.805,0.74581224,0.23529411764705901,-2.050256,12.091734169808351,14.583155,78.80392156862744,0.8,0.3137254901960784,0.45070422535211263
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.865,0.77627844,0.47058823529411764,-1.6846613,8.916062616081609,11.284194,48.19607843137255,0.7857142857142857,0.6470588235294118,0.7096774193548386
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,1,0.92,0.8069498,0.6862745098039217,-1.3166047,7.431882169103951,9.244982,33.94117647058823,0.8070175438596491,0.9019607843137255,0.8518518518518519
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.93,0.84443194,0.7254901960784316,-0.86681855,6.934120803428946,7.5102882,33.705882352941174,0.8245614035087719,0.9215686274509803,0.8703703703703703
greedyWarmStartMOV,rrg,0.5,0.3,0.3,1,0.915,0.8813899,0.6666666666666669,-0.42332238,6.408044742868167,5.878259,32.90196078431372,0.7833333333333333,0.9215686274509803,0.8468468468468469
greedyWarmStartMOV,rrg,0.6,0.3,0.3,1,0.915,0.9102739,0.6666666666666669,-0.07671411,5.1391831205181395,4.659697,32.549019607843135,0.7833333333333333,0.9215686274509803,0.8468468468468469
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,1,0.915,0.9411818,0.6666666666666669,0.29418066,4.269929238983548,3.440358,30.647058823529413,0.7833333333333333,0.9215686274509803,0.8468468468468469
greedyWarmStartMOV,rrg,0.1,0.3,0.3,2,0.73,0.73959494,0.1290322580645162,-2.1248636,11.03948903056727,13.338937,84.0,0.6818181818181818,0.24193548387096775,0.35714285714285715
greedyWarmStartMOV,rrg,0.2,0.3,0.3,2,0.805,0.7753909,0.37096774193548415,-1.6953115,7.8907098629133205,10.179322,68.04838709677419,0.7674418604651163,0.532258064516129,0.6285714285714286
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,2,0.88,0.8069393,0.6129032258064517,-1.3167306,5.9529295226788035,8.0202675,46.403225806451616,0.8275862068965517,0.7741935483870968,0.7999999999999999
greedyWarmStartMOV,rrg,0.4,0.3,0.3,2,0.895,0.8438873,0.6612903225806452,-0.87335384,5.542366013447674,5.8012133,43.66129032258065,0.847457627118644,0.8064516129032258,0.8264462809917354
greedyWarmStartMOV,rrg,0.5,0.3,0.3,2,0.885,0.8765799,0.6290322580645162,-0.48104283,4.735926347024734,4.5406632,40.854838709677416,0.819672131147541,0.8064516129032258,0.8130081300813008
greedyWarmStartMOV,rrg,0.6,0.3,0.3,2,0.895,0.90725493,0.6612903225806452,-0.112941846,4.137961034849243,3.4905603,39.91935483870968,0.8360655737704918,0.8225806451612904,0.829268292682927
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,2,0.9,0.9361731,0.6774193548387099,0.23407625,4.015847658515606,2.9521291,37.79032258064516,0.85,0.8225806451612904,0.8360655737704918
greedyWarmStartOV,rrg,0.1,0.3,0.3,0,0.83,0.7301718,0.3928571428571428,-2.2379415,11.95187857485194,15.368361,69.14285714285714,1.0,0.39285714285714285,0.5641025641025641
greedyWarmStartOV,rrg,0.2,0.3,0.3,0,0.915,0.76127434,0.6964285714285716,-1.8647107,8.84838193709238,12.194023,48.42857142857143,0.975609756097561,0.7142857142857143,0.8247422680412371
greedyWarmStartOV,rrg,0.30000000000000004,0.3,0.3,0,0.985,0.793315,0.9464285714285714,-1.4802225,7.149215745533873,10.177206,28.767857142857142,0.9649122807017544,0.9821428571428571,0.9734513274336283
greedyWarmStartOV,rrg,0.4,0.3,0.3,0,0.995,0.8241702,0.9821428571428571,-1.10996,5.502916156935844,8.199874,28.589285714285715,0.9824561403508771,1.0,0.9911504424778761
greedyWarmStartOV,rrg,0.5,0.3,0.3,0,0.995,0.85471636,0.9821428571428571,-0.74340534,5.060634791615997,6.799267,28.5,0.9824561403508771,1.0,0.9911504424778761
greedyWarmStartOV,rrg,0.6,0.3,0.3,0,0.99,0.8810414,0.9642857142857143,-0.42750448,4.167472391613975,5.639295,28.5,0.9655172413793104,1.0,0.9824561403508771
greedyWarmStartOV,rrg,0.7000000000000001,0.3,0.3,0,0.995,0.9005012,0.9821428571428571,-0.19398683,2.864710023933845,4.6622486,28.5,0.9824561403508771,1.0,0.9911504424778761
greedyWarmStartOV,rrg,0.1,0.3,0.3,1,0.87,0.7317576,0.42222222222222217,-2.2189121,8.986911334783759,15.708402,68.17777777777778,0.9523809523809523,0.4444444444444444,0.6060606060606061
greedyWarmStartOV,rrg,0.2,0.3,0.3,1,0.93,0.7623749,0.6888888888888891,-1.8515042,6.6492705816407485,12.619482,36.044444444444444,0.8974358974358975,0.7777777777777778,0.8333333333333333
greedyWarmStartOV,rrg,0.30000000000000004,0.3,0.3,1,0.975,0.79382765,0.8888888888888887,-1.4740705,6.01509287726385,10.724314,23.844444444444445,0.9166666666666666,0.9777777777777777,0.946236559139785
greedyWarmStartOV,rrg,0.4,0.3,0.3,1,0.995,0.8201587,0.9777777777777777,-1.1580974,4.833424356204106,9.340323,23.0,0.9782608695652174,1.0,0.989010989010989
greedyWarmStartOV,rrg,0.5,0.3,0.3,1,0.985,0.8528281,0.9333333333333332,-0.76606464,4.860102285254735,7.270521,23.022222222222222,0.9375,1.0,0.967741935483871
greedyWarmStartOV,rrg,0.6,0.3,0.3,1,0.985,0.8877755,0.9333333333333332,-0.3466955,3.852866987022283,5.427669,23.022222222222222,0.9375,1.0,0.967741935483871
greedyWarmStartOV,rrg,0.7000000000000001,0.3,0.3,1,0.995,0.91030073,0.9777777777777777,-0.07639225,3.201262217135223,4.593721,23.0,0.9782608695652174,1.0,0.989010989010989
greedyWarmStartOV,rrg,0.1,0.3,0.3,2,0.835,0.72959673,0.3888888888888888,-2.2448423,11.882498454981997,15.882171,75.98148148148148,0.9565217391304348,0.4074074074074074,0.5714285714285714
greedyWarmStartOV,rrg,0.2,0.3,0.3,2,0.93,0.75917923,0.7407407407407409,-1.8898519,9.240183979389585,12.737297,48.648148148148145,0.9761904761904762,0.7592592592592593,0.8541666666666667
greedyWarmStartOV,rrg,0.30000000000000004,0.3,0.3,2,0.985,0.79278505,0.9444444444444444,-1.4865818,7.109951345925115,10.368037,29.85185185185185,0.9811320754716981,0.9629629629629629,0.9719626168224299
greedyWarmStartOV,rrg,0.4,0.3,0.3,2,0.985,0.81966174,0.9444444444444444,-1.1640612,5.962624328644681,8.636321,29.5,0.9636363636363636,0.9814814814814815,0.9724770642201834
greedyWarmStartOV,rrg,0.5,0.3,0.3,2,0.985,0.85146964,0.9444444444444444,-0.7823661,5.5539083396118345,7.2271795,27.64814814814815,0.9473684210526315,1.0,0.972972972972973
greedyWarmStartOV,rrg,0.6,0.3,0.3,2,1.0,0.87494606,1.0,-0.50064874,4.536510948965359,6.153135,27.5,1.0,1.0,1.0
greedyWarmStartOV,rrg,0.7000000000000001,0.3,0.3,2,1.0,0.89914125,1.0,-0.21030612,3.5699229341185736,4.7479734,27.5,1.0,1.0,1.0
