method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.1,0.3,0,0.884,0.8999999,0.0,0.0,29.270480038062427,15.7016115,237.24137931034483,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,1,0.902,0.8999999,0.0,0.0,23.916924003524517,15.691896,243.16326530612244,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,2,0.896,0.8999999,0.0,0.0,25.682417536899564,15.729111,277.4423076923077,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,3,0.914,0.8999999,0.0,0.0,23.82030879913287,15.732434,218.69767441860466,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,4,0.89,0.89999986,0.0,0.0,23.98379741664691,15.712009,256.09090909090907,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,5,0.896,0.8999999,0.0,0.0,24.94003630535394,15.720289,282.0769230769231,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,6,0.902,0.8999999,0.0,0.0,23.63886512244831,15.7111845,277.0,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,7,0.896,0.8999999,0.0,0.0,26.70308691548792,15.693605,203.92307692307693,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,8,0.906,0.9,0.0,0.0,23.421997801932825,15.73516,284.8510638297872,0.0,0.0,0.0
random,rrg,0.0,0.1,0.3,9,0.888,0.8999999,0.0,0.0,26.653753188548016,15.700036,263.0,0.0,0.0,0.0
random,rrg,0.1,0.1,0.3,0,0.884,0.89678735,-0.017543859649122823,-0.032125685,18.829569832570087,13.489977,180.26315789473685,0.47058823529411764,0.14035087719298245,0.2162162162162162
random,rrg,0.1,0.1,0.3,1,0.882,0.90090555,-0.4047619047619053,0.009056322,16.633518028624145,12.961595,201.1904761904762,0.09523809523809523,0.047619047619047616,0.06349206349206349
random,rrg,0.1,0.1,0.3,2,0.876,,-0.44186046511627963,,,,203.67441860465115,0.0,0.0,0.0
random,rrg,0.1,0.1,0.3,3,0.882,,-0.15686274509803938,,,,201.4313725490196,0.2777777777777778,0.09803921568627451,0.14492753623188406
random,rrg,0.1,0.1,0.3,4,0.872,0.8896127,-0.04918032786885251,-0.10387299,19.10729395589185,13.600129,210.91803278688525,0.42857142857142855,0.14754098360655737,0.21951219512195122
random,rrg,0.1,0.1,0.3,5,0.888,,-0.24444444444444474,,,,178.35555555555555,0.2608695652173913,0.13333333333333333,0.1764705882352941
