method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.7,0.70000017,0.0,0.0,16.797094085110313,20.501951,23.8,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.56,0.70000017,0.0,0.0,20.751870881209925,20.6375,24.227272727272727,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.78,0.70000005,0.0,0.0,16.746344508729365,20.785645,30.09090909090909,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.74,0.70000017,0.0,0.0,13.500446687659423,19.88285,19.53846153846154,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.76,0.70000005,0.0,0.0,14.462780627762706,19.653011,25.0,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.76,0.72586215,0.14285714285714296,0.08620719,13.837822652302174,17.23757,18.785714285714285,1.0,0.14285714285714285,0.25
random,rrg,0.1,0.3,0.3,1,0.84,0.7186757,0.2727272727272725,0.06225228,10.006873037359167,15.3721895,18.0,1.0,0.2727272727272727,0.42857142857142855
random,rrg,0.1,0.3,0.3,2,0.68,0.7218442,0.05882352941176476,0.07281347,11.575238421906962,14.613406,18.823529411764707,0.6,0.17647058823529413,0.2727272727272727
random,rrg,0.1,0.3,0.3,3,0.72,0.7423733,0.0,0.14124432,16.646385710230742,17.129124,19.285714285714285,0.5,0.07142857142857142,0.125
random,rrg,0.1,0.3,0.3,4,0.62,0.70361376,-0.11764705882352952,0.012045899,13.294101604489082,16.826195,25.11764705882353,0.3333333333333333,0.11764705882352941,0.1739130434782609
random,rrg,0.2,0.3,0.3,0,0.74,0.7654059,0.23529411764705874,0.2180192,11.56403180697514,12.829477,18.705882352941178,0.8333333333333334,0.29411764705882354,0.4347826086956522
random,rrg,0.2,0.3,0.3,1,0.76,0.7587622,0.20000000000000015,0.19587348,10.024368035948452,13.479737,18.533333333333335,0.8,0.26666666666666666,0.4
random,rrg,0.2,0.3,0.3,2,0.82,0.747079,0.24999999999999978,0.15692958,11.353447679246798,14.878349,17.916666666666668,0.7142857142857143,0.4166666666666667,0.5263157894736842
random,rrg,0.2,0.3,0.3,3,0.82,0.7652666,0.24999999999999978,0.21755488,10.606909518238899,12.152713,14.833333333333334,0.7142857142857143,0.4166666666666667,0.5263157894736842
random,rrg,0.2,0.3,0.3,4,0.74,0.7539633,0.18749999999999986,0.17987718,10.514662326020959,11.729005,20.0625,0.7142857142857143,0.3125,0.43478260869565216
random,rrg,0.30000000000000004,0.3,0.3,0,0.68,0.7649809,0.05882352941176476,0.21660261,8.392497221347403,11.48081,16.352941176470587,0.5714285714285714,0.23529411764705882,0.3333333333333333
random,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.7981076,0.2666666666666669,0.32702544,11.918789351233775,11.030038,16.266666666666666,0.75,0.4,0.5217391304347827
random,rrg,0.30000000000000004,0.3,0.3,2,0.8,,0.44444444444444453,,,,15.722222222222221,0.9,0.5,0.6428571428571429
random,rrg,0.30000000000000004,0.3,0.3,3,0.84,0.80444247,0.2727272727272725,0.3481412,8.95036358826089,11.145786,13.181818181818182,0.7142857142857143,0.45454545454545453,0.5555555555555556
random,rrg,0.30000000000000004,0.3,0.3,4,0.78,0.7859862,0.3125,0.28662023,8.890961878000656,11.934378,14.4375,0.7777777777777778,0.4375,0.56
random,rrg,0.4,0.3,0.3,0,0.8,,0.2857142857142859,,,,14.642857142857142,0.7,0.5,0.5833333333333334
random,rrg,0.4,0.3,0.3,1,0.76,0.80609345,0.2941176470588235,0.35364488,9.531722732617098,10.195255,16.235294117647058,1.0,0.29411764705882354,0.45454545454545453
random,rrg,0.4,0.3,0.3,2,0.78,0.83254206,0.3125,0.44180688,6.628656096133415,7.0013213,13.625,0.7272727272727273,0.5,0.5925925925925926
random,rrg,0.4,0.3,0.3,3,0.74,0.8298874,-0.08333333333333341,0.43295765,6.1329900461285884,6.381806,15.083333333333334,0.46153846153846156,0.5,0.48000000000000004
random,rrg,0.4,0.3,0.3,4,0.82,0.82552963,0.3999999999999999,0.4184318,9.954291628826484,10.16935,13.066666666666666,0.8,0.5333333333333333,0.64
random,rrg,0.5,0.3,0.3,0,0.88,0.8500458,0.6000000000000001,0.5001524,2.594647156194827,4.8213525,12.2,0.8461538461538461,0.7333333333333333,0.7857142857142856
random,rrg,0.5,0.3,0.3,1,0.8,,0.23076923076923098,,,,10.23076923076923,0.6666666666666666,0.46153846153846156,0.5454545454545455
random,rrg,0.5,0.3,0.3,2,0.78,0.8481099,0.42105263157894746,0.4936994,5.564320057131635,7.7218347,13.052631578947368,0.7857142857142857,0.5789473684210527,0.6666666666666667
random,rrg,0.5,0.3,0.3,3,0.9,0.8518044,0.6875,0.5060143,3.9425472802913224,6.274939,10.8125,0.9230769230769231,0.75,0.8275862068965517
random,rrg,0.5,0.3,0.3,4,0.84,0.8484284,0.4666666666666666,0.49476114,7.870411823825939,7.500932,10.533333333333333,0.8888888888888888,0.5333333333333333,0.6666666666666667
random,rrg,0.6000000000000001,0.3,0.3,0,0.8,,0.3333333333333336,,,,13.133333333333333,0.7272727272727273,0.5333333333333333,0.6153846153846153
random,rrg,0.6000000000000001,0.3,0.3,1,0.82,0.88311785,0.4374999999999998,0.61039263,3.7787513275813605,4.097409,11.0,0.8181818181818182,0.5625,0.6666666666666666
random,rrg,0.6000000000000001,0.3,0.3,2,0.88,0.87741816,0.5714285714285715,0.5913938,4.0131989824913825,6.784764,11.142857142857142,0.8333333333333334,0.7142857142857143,0.7692307692307692
random,rrg,0.6000000000000001,0.3,0.3,3,0.82,0.8698091,0.6086956521739129,0.5660303,7.1845443265518165,6.264919,14.043478260869565,1.0,0.6086956521739131,0.7567567567567568
random,rrg,0.6000000000000001,0.3,0.3,4,0.86,0.9116687,0.5,0.70556223,5.04608662091189,4.166595,9.571428571428571,0.7692307692307693,0.7142857142857143,0.7407407407407408
random,rrg,0.7000000000000001,0.3,0.3,0,0.82,0.9129426,0.6249999999999999,0.70980847,4.561169496952901,3.6723032,15.75,0.8571428571428571,0.75,0.7999999999999999
random,rrg,0.7000000000000001,0.3,0.3,1,0.96,0.91154844,0.8333333333333331,0.7051613,2.7489901258953786,2.8013659,7.166666666666667,1.0,0.8333333333333334,0.9090909090909091
random,rrg,0.7000000000000001,0.3,0.3,2,0.86,0.9109132,0.5,0.7030441,5.518374054426798,4.924441,9.5,0.7692307692307693,0.7142857142857143,0.7407407407407408
random,rrg,0.7000000000000001,0.3,0.3,3,0.92,0.8997043,0.7333333333333335,0.66568077,5.108034678195552,4.244241,10.0,1.0,0.7333333333333333,0.846153846153846
random,rrg,0.7000000000000001,0.3,0.3,4,0.84,0.92885745,0.5294117647058822,0.76285803,3.8428040729566053,2.600487,11.117647058823529,0.8461538461538461,0.6470588235294118,0.7333333333333334
random,rrg,0.8,0.3,0.3,0,0.94,,0.6249999999999998,,,,5.875,0.7777777777777778,0.875,0.823529411764706
random,rrg,0.8,0.3,0.3,1,0.92,,0.7777777777777779,,,,9.944444444444445,0.9375,0.8333333333333334,0.8823529411764706
random,rrg,0.8,0.3,0.3,2,0.96,,0.818181818181818,,,,7.454545454545454,0.9090909090909091,0.9090909090909091,0.9090909090909091
random,rrg,0.8,0.3,0.3,3,0.9,,0.5833333333333334,,,,7.583333333333333,0.7692307692307693,0.8333333333333334,0.8
random,rrg,0.8,0.3,0.3,4,0.92,,0.42857142857142894,,,,5.428571428571429,0.6666666666666666,0.8571428571428571,0.75
random,rrg,0.9,0.3,0.3,0,0.92,0.9674003,0.7333333333333335,0.8913343,2.781700860016959,2.4575243,9.066666666666666,0.8666666666666667,0.8666666666666667,0.8666666666666667
random,rrg,0.9,0.3,0.3,1,0.92,,0.7333333333333335,,,,8.533333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667
random,rrg,0.9,0.3,0.3,2,0.9,,0.6153846153846155,,,,8.076923076923077,0.75,0.9230769230769231,0.8275862068965517
random,rrg,0.9,0.3,0.3,3,0.92,0.9561785,0.7500000000000001,0.85392827,3.8569795623074827,1.6990671,10.875,0.8333333333333334,0.9375,0.8823529411764706
random,rrg,0.9,0.3,0.3,4,0.96,,0.846153846153846,,,,7.3076923076923075,1.0,0.8461538461538461,0.9166666666666666
random,rrg,1.0,0.3,0.3,0,1.0,,1.0,,,,5.5,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,1,0.96,,0.8749999999999999,,,,9.125,0.8888888888888888,1.0,0.9411764705882353
random,rrg,1.0,0.3,0.3,2,1.0,,1.0,,,,7.0,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,3,1.0,,1.0,,,,7.0,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,4,0.98,0.98117536,0.95,0.93725115,2.2467648014365107,1.64905,11.0,0.9523809523809523,1.0,0.975609756097561
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.66,0.70000166,0.0,-2.5999835,16.979536696524384,20.646217,20.0,0.0,0.0,0.0
