method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.74,0.70000017,0.0,0.0,14.293468907258323,20.069117,23.615384615384617,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.74,0.70000005,0.0,0.0,17.430001715081563,20.15435,27.46153846153846,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.76,0.70000005,0.0,0.0,13.929621236080337,20.665808,23.583333333333332,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.68,0.7,0.0,0.0,18.61749587308344,20.656105,25.125,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.76,0.70000017,0.0,0.0,14.474769863944088,20.034025,26.583333333333332,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.68,0.7381899,-0.14285714285714257,0.12729944,13.802282920153996,15.750267,21.428571428571427,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,1,0.86,0.7261723,0.12500000000000008,0.087240584,11.214900440921388,17.699127,21.0,0.6666666666666666,0.25,0.36363636363636365
random,rrg,0.1,0.3,0.3,2,0.7,0.7300001,0.2105263157894736,0.09999976,12.679975125522374,14.517126,21.789473684210527,1.0,0.21052631578947367,0.34782608695652173
random,rrg,0.1,0.3,0.3,3,0.56,0.725371,0.0,0.0845695,14.8824736705329,14.765886,18.454545454545453,0.5,0.09090909090909091,0.15384615384615385
random,rrg,0.1,0.3,0.3,4,0.7,0.73167366,-0.07142857142857148,0.10557836,13.840571186510875,16.500307,27.357142857142858,0.4,0.14285714285714285,0.21052631578947364
random,rrg,0.2,0.3,0.3,0,0.8,0.77633965,0.090909090909091,0.25446537,9.747290665697404,12.972424,19.09090909090909,0.6,0.2727272727272727,0.37499999999999994
random,rrg,0.2,0.3,0.3,1,0.62,0.7422011,0.1739130434782608,0.14066982,14.458600504813475,14.6425295,20.17391304347826,0.8333333333333334,0.21739130434782608,0.3448275862068966
random,rrg,0.2,0.3,0.3,2,0.66,0.757602,0.22727272727272724,0.19200614,12.499080318669954,13.817732,19.954545454545453,1.0,0.22727272727272727,0.37037037037037035
random,rrg,0.2,0.3,0.3,3,0.76,0.7627079,0.3333333333333333,0.20902617,10.49910103503782,14.04514,15.61111111111111,0.875,0.3888888888888889,0.5384615384615385
random,rrg,0.2,0.3,0.3,4,0.7,0.7578975,-0.363636363636364,0.19299121,10.265270241832608,14.017595,20.363636363636363,0.25,0.18181818181818182,0.2105263157894737
random,rrg,0.30000000000000004,0.3,0.3,0,0.82,0.77104783,0.35714285714285704,0.23682567,9.70643214854815,11.376901,16.428571428571427,0.8571428571428571,0.42857142857142855,0.5714285714285714
random,rrg,0.30000000000000004,0.3,0.3,1,0.78,0.7844704,0.38888888888888895,0.28156754,11.871453213332002,12.216122,17.833333333333332,0.8888888888888888,0.4444444444444444,0.5925925925925926
random,rrg,0.30000000000000004,0.3,0.3,2,0.74,0.7747694,0.18749999999999986,0.249231,9.577038140041333,12.124817,14.1875,0.7142857142857143,0.3125,0.43478260869565216
random,rrg,0.30000000000000004,0.3,0.3,3,0.76,,0.20000000000000015,,,,15.666666666666666,0.8,0.26666666666666666,0.4
random,rrg,0.30000000000000004,0.3,0.3,4,0.7,0.7793065,0.1176470588235292,0.2643545,10.075843960695094,10.115075,17.470588235294116,0.6666666666666666,0.23529411764705882,0.3478260869565218
random,rrg,0.4,0.3,0.3,0,0.76,0.81986916,0.4000000000000001,0.39956376,7.037780609179839,8.777229,16.2,0.9,0.45,0.6
random,rrg,0.4,0.3,0.3,1,0.74,0.81883603,0.13333333333333344,0.39611977,8.215714493475986,8.877332,16.466666666666665,0.6,0.4,0.48
random,rrg,0.4,0.3,0.3,2,0.84,0.8331414,0.4285714285714285,0.44380453,11.143451020587303,9.293765,15.071428571428571,0.875,0.5,0.6363636363636364
random,rrg,0.4,0.3,0.3,3,0.78,0.8170621,0.35294117647058826,0.3902066,4.7848200626138295,7.0313277,14.470588235294118,0.8,0.47058823529411764,0.5925925925925927
random,rrg,0.4,0.3,0.3,4,0.88,0.78952897,0.5384615384615385,0.2984295,8.866325148191653,10.486161,10.538461538461538,1.0,0.5384615384615384,0.7000000000000001
random,rrg,0.5,0.3,0.3,0,0.9,0.8844537,-0.25000000000000033,0.6148455,9.468180186317563,5.696878,5.5,0.42857142857142855,0.75,0.5454545454545454
random,rrg,0.5,0.3,0.3,1,0.78,,0.21428571428571447,,,,13.071428571428571,0.6153846153846154,0.5714285714285714,0.5925925925925927
random,rrg,0.5,0.3,0.3,2,0.86,0.8824089,0.12500000000000008,0.6080295,4.6045914335959415,5.8852577,10.75,0.5555555555555556,0.625,0.5882352941176471
random,rrg,0.5,0.3,0.3,3,0.84,0.8688512,0.49999999999999983,0.56283706,4.859467470604378,5.2676616,13.1875,0.8333333333333334,0.625,0.7142857142857143
random,rrg,0.5,0.3,0.3,4,0.82,,0.24999999999999978,,,,11.583333333333334,0.6363636363636364,0.5833333333333334,0.6086956521739131
random,rrg,0.6000000000000001,0.3,0.3,0,0.86,0.90193105,0.5333333333333333,0.67310333,8.577907217378,6.6165466,11.733333333333333,0.7857142857142857,0.7333333333333333,0.7586206896551724
random,rrg,0.6000000000000001,0.3,0.3,1,0.96,,0.857142857142857,,,,7.642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286
random,rrg,0.6000000000000001,0.3,0.3,2,0.82,0.87683976,0.4374999999999998,0.58946586,5.446197961636823,5.0053635,12.1875,0.8888888888888888,0.5,0.64
random,rrg,0.6000000000000001,0.3,0.3,3,0.94,,0.7857142857142856,,,,8.714285714285714,0.8666666666666667,0.9285714285714286,0.896551724137931
random,rrg,0.6000000000000001,0.3,0.3,4,0.88,0.8689802,0.6000000000000001,0.5632672,4.821556747170341,5.478875,10.133333333333333,0.8,0.8,0.8000000000000002
random,rrg,0.7000000000000001,0.3,0.3,0,0.84,0.90329915,0.4285714285714285,0.67766386,3.703731017396331,3.9247687,10.928571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143
random,rrg,0.7000000000000001,0.3,0.3,1,0.94,0.9196838,0.769230769230769,0.73227924,3.1743100992851585,3.9785786,8.153846153846153,0.9166666666666666,0.8461538461538461,0.8799999999999999
random,rrg,0.7000000000000001,0.3,0.3,2,0.88,0.9025517,0.5714285714285715,0.6751722,2.1980248767114285,3.8925657,9.642857142857142,0.7857142857142857,0.7857142857142857,0.7857142857142857
random,rrg,0.7000000000000001,0.3,0.3,3,0.92,,0.6666666666666669,,,,8.583333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
random,rrg,0.7000000000000001,0.3,0.3,4,0.86,,0.5624999999999999,,,,9.9375,0.8,0.75,0.7741935483870969
random,rrg,0.8,0.3,0.3,0,0.92,,0.6923076923076925,,,,7.615384615384615,0.8,0.9230769230769231,0.8571428571428571
random,rrg,0.8,0.3,0.3,1,0.9,,0.7058823529411765,,,,10.647058823529411,0.8333333333333334,0.8823529411764706,0.8571428571428571
random,rrg,0.8,0.3,0.3,2,0.9,,0.6875,,,,9.8125,0.8235294117647058,0.875,0.8484848484848485
random,rrg,0.8,0.3,0.3,3,0.94,0.93965966,0.7999999999999998,0.7988654,3.065434468771828,2.8231564,9.533333333333333,0.9285714285714286,0.8666666666666667,0.896551724137931
random,rrg,0.8,0.3,0.3,4,0.92,0.9289338,0.7500000000000001,0.76311255,3.4150515264983334,2.694604,10.875,0.875,0.875,0.875
random,rrg,0.9,0.3,0.3,0,0.94,,0.727272727272727,,,,7.0,0.8333333333333334,0.9090909090909091,0.8695652173913043
random,rrg,0.9,0.3,0.3,1,0.94,,0.8124999999999998,,,,9.5,0.8823529411764706,0.9375,0.9090909090909091
random,rrg,0.9,0.3,0.3,2,0.92,,0.7894736842105264,,,,10.526315789473685,0.8947368421052632,0.8947368421052632,0.8947368421052632
random,rrg,0.9,0.3,0.3,3,0.98,,0.9374999999999999,,,,8.5625,0.9411764705882353,1.0,0.9696969696969697
random,rrg,0.9,0.3,0.3,4,0.92,,0.6666666666666669,,,,8.5,0.8333333333333334,0.8333333333333334,0.8333333333333334
random,rrg,1.0,0.3,0.3,0,1.0,,1.0,,,,8.0,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,1,0.98,,0.8888888888888888,,,,5.222222222222222,0.9,1.0,0.9473684210526316
random,rrg,1.0,0.3,0.3,2,0.98,,0.923076923076923,,,,7.0,0.9285714285714286,1.0,0.962962962962963
random,rrg,1.0,0.3,0.3,3,1.0,,1.0,,,,9.5,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,4,0.98,0.9873465,0.95,0.95782155,2.1400168194478018,1.113881,10.5,0.9523809523809523,1.0,0.975609756097561
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.58,0.7000034,0.0,-2.5999627,19.740247103986043,21.005022,26.142857142857142,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.54,0.7453388,-0.09523809523809505,-2.0559373,13.292795841194957,14.425354,22.952380952380953,0.3333333333333333,0.09523809523809523,0.14814814814814814
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.6,0.7813372,0.04761904761904766,-1.6239561,9.992052621235178,11.0254965,21.571428571428573,0.5454545454545454,0.2857142857142857,0.37499999999999994
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.64,0.8271254,0.14285714285714296,-1.0744976,8.787425631568622,7.8882575,19.0,0.6,0.42857142857142855,0.5
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.68,0.8540214,0.23809523809523828,-0.7517452,8.204829730969516,6.5299053,17.523809523809526,0.6666666666666666,0.47619047619047616,0.5555555555555556
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.68,0.88375366,0.23809523809523828,-0.39495745,8.0688647473914,5.6347327,16.095238095238095,0.6666666666666666,0.47619047619047616,0.5555555555555556
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.7,0.90088224,0.2857142857142857,-0.1894142,5.74691507820058,4.477332,14.619047619047619,0.6875,0.5238095238095238,0.5945945945945946
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.72,0.92093277,0.3333333333333333,0.051192332,5.330413799499061,3.701019,13.333333333333334,0.7333333333333333,0.5238095238095238,0.611111111111111
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.8,0.93320745,0.523809523809524,0.19848867,3.7562072728339944,3.4287117,12.285714285714286,0.8666666666666667,0.6190476190476191,0.7222222222222222
