method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,c_mov,0.2,0.3,0.0,0,rrg,151,0.1997723,0.19977227,2.9802322e-08,1,0.1997723,0.0,1,2.2179234,2.2179234,2.2179234,0.0,1,0.0
sequential,c_mov,0.2,0.3,0.0033333333333333335,0,rrg,224,0.19999905,0.19999908,3.823341e-08,59,0.1999991,4.2146848e-08,1,2.189129,2.185608,2.181308,4.4703484e-08,6,0.004427106
sequential,c_mov,0.2,0.3,0.006666666666666667,0,rrg,225,0.19999997,0.19999997,5.592073e-08,32,0.19999999,3.101924e-08,1,2.193042,2.1872096,2.1930408,2.9802322e-08,46,5.2816336e-08
sequential,c_mov,0.2,0.3,0.01,0,rrg,25,0.19999993,0.19999997,5.9074537e-08,48,0.19999994,4.6329593e-08,0,2.1929483,2.1873474,2.1928244,4.9670536e-08,26,5.488594e-08
sequential,c_mov,0.2,0.3,0.013333333333333334,0,rrg,14,0.19999996,0.204119,0.031638656,44,0.2,2.5809568e-08,0,2.1467211,2.1754303,2.1204965,3.973643e-08,34,0.006588933
sequential,c_mov,0.2,0.3,0.016666666666666666,0,rrg,130,0.19999999,0.2,5.324255e-08,35,0.2,1.4901161e-08,1,2.1928837,2.143711,2.1926537,9.934108e-09,58,0.026358783
sequential,c_mov,0.2,0.3,0.02,0,rrg,279,0.19999999,0.2,6.492416e-08,37,0.4666666,0.37712365,1,1.8164084,2.1504776,1.3906003,0.26666668,2,0.01862242
sequential,c_mov,0.2,0.3,0.023333333333333334,0,rrg,209,0.19999987,0.20417236,0.032048423,60,0.46614587,0.3763871,1,1.817681,2.137651,1.4036947,0.26614597,3,0.025547687
sequential,c_mov,0.2,0.3,0.02666666666666667,0,rrg,8,0.2,0.20834489,0.044938616,29,0.2,6.143906e-08,0,2.1918824,2.1428277,2.1899617,5.4637592e-08,28,0.025256587
sequential,c_mov,0.2,0.3,0.03,0,rrg,9,0.20000003,0.20417245,0.032049153,24,0.20000005,1.2166748e-08,1,2.1918876,2.1619072,2.189996,1.4901161e-08,57,0.009438248
