method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,mov,0.2,0.3,0.0,0,rrg,10,0.1997723,0.19977227,2.9802322e-08,1,0.1997723,0.0,0,2.2179234,2.2179234,2.2179234,0.0,1,0.0
sequential,mov,0.2,0.3,0.0033333333333333335,0,rrg,1,0.2000002,0.19436008,0.023776008,24,0.20000273,4.144443e-06,0,2.1933413,2.204662,2.1934311,3.0646722e-06,44,0.0045652557
sequential,mov,0.2,0.3,0.006666666666666667,0,rrg,9,0.20000064,0.19070552,0.02929209,29,0.20000641,8.840906e-06,0,2.1930213,2.2139323,2.1931975,6.4124665e-06,56,0.008119477
sequential,mov,0.2,0.3,0.01,0,rrg,19,0.19991635,0.19050258,0.03068608,37,0.19870059,0.00178376,0,2.2050273,2.2156951,2.210101,0.0013141682,28,0.0083014425
sequential,mov,0.2,0.3,0.013333333333333334,0,rrg,37,0.20006092,0.19021969,0.03055418,32,0.1999806,0.00013448026,0,2.195496,2.2160726,2.1973107,0.000125284,55,0.010882807
sequential,mov,0.2,0.3,0.016666666666666666,0,rrg,6,0.20060514,0.18139571,0.045786418,13,0.20029213,0.0002628673,0,2.1984513,2.2252579,2.2027428,0.0003197094,52,0.013625601
sequential,mov,0.2,0.3,0.02,0,rrg,42,0.20036134,0.17550053,0.040798414,8,0.20079292,0.0013994201,0,2.1986547,2.2641768,2.2042136,0.0011748523,46,0.02043145
sequential,mov,0.2,0.3,0.023333333333333334,0,rrg,20,0.1951022,0.17470522,0.04263016,29,0.18368162,0.018533329,0,2.249002,2.263106,2.2560523,0.015859848,25,0.02050877
sequential,mov,0.2,0.3,0.02666666666666667,0,rrg,25,0.17696339,0.1715038,0.047929123,43,0.16998036,0.035551537,0,2.297618,2.2642953,2.2968826,0.031166965,19,0.022653084
sequential,mov,0.2,0.3,0.03,0,rrg,59,0.20122012,0.166401,0.055552594,13,0.19769889,0.006839595,0,2.2163067,2.246802,2.227773,0.0054172226,41,0.02316449
sequential,mov,0.2,0.3,0.03333333333333333,0,rrg,113,0.18072605,0.16044053,0.051075097,32,0.16004199,0.024735726,0,2.3531353,2.285369,2.3662536,0.028881123,29,0.029666895
sequential,mov,0.2,0.3,0.03666666666666667,0,rrg,61,0.20439307,0.17119399,0.04872288,4,0.20297043,0.0023614266,0,2.2193513,2.2613077,2.2375717,0.0026919048,50,0.022445701
sequential,mov,0.2,0.3,0.04,0,rrg,123,0.18629198,0.15330273,0.057804536,25,0.179703,0.016005022,0,2.281512,2.2718055,2.2913768,0.013998439,39,0.029361492
