method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
random,N/A,0.05,0.3,0.01,0,rrg,24,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.02,0,rrg,264,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.03,0,rrg,67,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.04,0,rrg,133,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.05,0,rrg,288,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.06,0,rrg,133,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.07,0,rrg,259,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.4849072,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.08,0,rrg,266,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.09,0,rrg,5,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.1,0,rrg,129,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.11,0,rrg,1,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.4849067,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.12,0,rrg,131,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.4849067,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.13,0,rrg,128,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.4849067,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.14,0,rrg,260,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.15,0,rrg,1,0.08333332,0.083333336,1.4901161e-08,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.16,0,rrg,128,0.08333332,0.08333333,7.450581e-09,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.17,0,rrg,129,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.484907,2.4849067,0.0,1,0.0
random,N/A,0.05,0.3,0.18,0,rrg,134,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,2.4849067,2.4849064,2.4849067,0.0,1,0.0
