sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.1,25,25,6.346666666666667,70,0.0033333333333333335,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.2,50,50,6.241632653061225,101,0.010612244897959184,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.30000000000000004,75,75,6.1668468468468465,119,0.012252252252252252,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.4,100,100,6.147272727272727,117,0.013131313131313131,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.5,125,125,6.159225806451613,110,0.012903225806451613,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.6000000000000001,150,150,6.151319910514541,91,0.012527964205816556,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.7000000000000001,175,175,6.148834154351396,73,0.012282430213464696,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.8,200,200,6.14502512562814,49,0.012010050251256281,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.9,225,225,6.12734126984127,25,0.012023809523809523,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,1.0,250,250,6.131951807228916,0,0.012048192771084338,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.1,25,25,6.256666666666667,71,0.0,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.2,50,50,6.150204081632653,98,0.008979591836734694,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.30000000000000004,75,75,6.2043243243243245,115,0.01009009009009009,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.4,100,100,6.155757575757575,114,0.012121212121212121,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.5,125,125,6.150451612903225,103,0.012387096774193548,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.6000000000000001,150,150,6.145682326621924,93,0.012348993288590604,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.7000000000000001,175,175,6.147060755336617,72,0.012216748768472906,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.8,200,200,6.155025125628141,49,0.012010050251256281,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.9,225,225,6.159801587301588,25,0.011984126984126984,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,1.0,250,250,6.163309236947791,0,0.012048192771084338,3.0,1.0
