sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.1,25,25,6.07,63,0.01,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.2,50,50,6.100408163265306,96,0.014693877551020407,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.30000000000000004,75,75,6.046846846846847,118,0.011531531531531532,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.4,100,100,6.064242424242424,127,0.010303030303030303,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.5,125,125,6.025161290322581,109,0.012258064516129033,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.6000000000000001,150,150,6.0578076062639825,90,0.01261744966442953,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.7000000000000001,175,175,6.090443349753695,70,0.012676518883415436,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.8,200,200,6.094170854271357,50,0.012060301507537688,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.9,225,225,6.087142857142857,25,0.012023809523809523,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,1.0,250,250,6.085879518072289,0,0.012048192771084338,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.1,25,25,6.1066666666666665,63,0.006666666666666667,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.2,50,50,6.107755102040817,104,0.011428571428571429,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.30000000000000004,75,75,6.096216216216217,119,0.012972972972972972,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.4,100,100,6.101818181818182,122,0.012525252525252526,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.5,125,125,6.133806451612903,114,0.012387096774193548,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.6000000000000001,150,150,6.130648769574944,97,0.011991051454138703,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.7000000000000001,175,175,6.1179638752052545,74,0.012151067323481117,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.8,200,200,6.114723618090452,50,0.012010050251256281,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.9,225,225,6.112936507936508,25,0.012023809523809523,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,1.0,250,250,6.10885140562249,0,0.012048192771084338,3.0,1.0
