sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,4.1,14,0.0,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,4.022222222222222,24,0.0,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.704761904761905,27,0.047619047619047616,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.8263157894736843,26,0.05263157894736842,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.8266666666666667,21,0.056666666666666664,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.901149425287356,18,0.059770114942528735,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,4.047058823529412,15,0.058823529411764705,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,4.026923076923077,10,0.06153846153846154,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,4.017171717171717,5,0.06161616161616162,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,4.0081632653061225,0,0.061224489795918366,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,4.0,13,0.0,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,3.6666666666666665,20,0.06666666666666667,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.9238095238095236,27,0.0380952380952381,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.7578947368421054,25,0.05789473684210526,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.72,22,0.06,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.7471264367816093,18,0.059770114942528735,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.803361344537815,15,0.058823529411764705,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.7987179487179485,10,0.06025641025641026,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.8222222222222224,5,0.06161616161616162,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.840816326530612,0,0.061224489795918366,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,3.9,12,0.1,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,4.088888888888889,22,0.044444444444444446,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.8476190476190477,25,0.05714285714285714,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.8526315789473684,25,0.05789473684210526,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.84,23,0.056666666666666664,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.8988505747126436,20,0.05517241379310345,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.9092436974789915,15,0.05546218487394958,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.8935897435897435,10,0.05897435897435897,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.8656565656565656,5,0.06060606060606061,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.853877551020408,0,0.061224489795918366,3.0,1.0
