sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.1,2,2,2.0,5,0.0,3.0,1.0
1,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.1,2,2,3.0,6,0.0,3.0,1.0
2,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.1,2,2,2.0,5,0.0,3.0,1.0
3,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.1,2,2,2.0,5,0.0,3.0,1.0
4,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.1,2,2,3.0,6,0.0,3.0,1.0
0,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.2,4,4,3.5,9,0.0,3.0,1.0
1,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.2,4,4,3.1666666666666665,10,0.16666666666666666,3.0,1.0
2,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.2,4,4,2.6666666666666665,8,0.16666666666666666,3.0,1.0
3,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.2,4,4,2.8333333333333335,9,0.16666666666666666,3.0,1.0
4,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.2,4,4,2.6666666666666665,9,0.16666666666666666,3.0,1.0
0,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.30000000000000004,7,7,3.142857142857143,13,0.047619047619047616,3.0,1.0
1,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.30000000000000004,7,7,3.2857142857142856,14,0.047619047619047616,3.0,1.0
2,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.30000000000000004,7,7,3.0,13,0.14285714285714285,3.0,1.0
3,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.30000000000000004,7,7,3.238095238095238,13,0.09523809523809523,3.0,1.0
4,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.30000000000000004,7,7,3.5714285714285716,12,0.09523809523809523,3.0,1.0
0,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.4,9,9,2.9444444444444446,12,0.08333333333333333,3.0,1.0
1,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.4,9,9,3.1944444444444446,12,0.1388888888888889,3.0,1.0
2,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.4,9,9,3.5,11,0.1388888888888889,3.0,1.0
3,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.4,9,9,3.0,14,0.05555555555555555,3.0,1.0
4,MCMCsubsetMOV,rrg,24,3,0.3,0.3,0.4,9,9,3.0555555555555554,12,0.1111111111111111,3.0,1.0
