sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.1,4,4,4.666666666666667,12,0.0,3.0,1.0
1,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.1,4,4,3.8333333333333335,11,0.0,3.0,1.0
2,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.1,4,4,4.833333333333333,10,0.16666666666666666,3.0,1.0
3,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.1,4,4,3.6666666666666665,10,0.16666666666666666,3.0,1.0
4,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.1,4,4,4.166666666666667,12,0.0,3.0,1.0
0,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.2,8,8,3.3214285714285716,13,0.17857142857142858,3.0,1.0
1,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.2,8,8,3.357142857142857,14,0.10714285714285714,3.0,1.0
2,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.2,8,8,3.7857142857142856,16,0.03571428571428571,3.0,1.0
3,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.2,8,8,4.321428571428571,20,0.03571428571428571,3.0,1.0
4,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.2,8,8,4.035714285714286,17,0.07142857142857142,3.0,1.0
0,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.30000000000000004,13,13,3.6794871794871793,22,0.02564102564102564,3.0,1.0
1,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.30000000000000004,13,13,3.628205128205128,18,0.08974358974358974,3.0,1.0
2,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.30000000000000004,13,13,3.8461538461538463,21,0.07692307692307693,3.0,1.0
3,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.30000000000000004,13,13,3.7564102564102564,21,0.08974358974358974,3.0,1.0
4,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.30000000000000004,13,13,3.6025641025641026,21,0.0641025641025641,3.0,1.0
0,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.4,17,17,3.9926470588235294,23,0.051470588235294115,3.0,1.0
1,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.4,17,17,3.6911764705882355,22,0.058823529411764705,3.0,1.0
2,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.4,17,17,3.801470588235294,23,0.08088235294117647,3.0,1.0
3,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.4,17,17,3.764705882352941,21,0.0661764705882353,3.0,1.0
4,MCMCsubsetOV,rrg,44,3,0.3,0.3,0.4,17,17,3.8161764705882355,24,0.07352941176470588,3.0,1.0
