sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.1,15,15,5.714285714285714,41,0.009523809523809525,3.0,1.0
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.2,30,30,5.537931034482758,66,0.013793103448275862,3.0,1.0
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.30000000000000004,45,45,5.508080808080808,82,0.011111111111111112,3.0,1.0
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.4,60,60,5.4491525423728815,80,0.01751412429378531,3.0,1.0
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.5,75,75,5.44972972972973,70,0.018378378378378378,3.0,1.0
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.6,90,90,5.414232209737828,60,0.017977528089887642,3.0,1.0
0,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.7000000000000001,105,105,5.422893772893773,45,0.019230769230769232,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.1,15,15,5.514285714285714,36,0.02857142857142857,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.2,30,30,5.4735632183908045,61,0.01839080459770115,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.30000000000000004,45,45,5.5606060606060606,76,0.01616161616161616,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.4,60,60,5.576836158192091,81,0.01751412429378531,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.5,75,75,5.551711711711712,70,0.01945945945945946,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.6,90,90,5.549313358302122,58,0.01947565543071161,3.0,1.0
1,greedyWarmStartMOV,rrg,150,3,0.3,0.3,0.7000000000000001,105,105,5.550915750915751,45,0.019597069597069597,3.0,1.0
