sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.1,25,25,6.24,69,0.0,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.2,50,50,6.204081632653061,108,0.005714285714285714,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.30000000000000004,75,75,6.198558558558559,127,0.009369369369369369,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.4,100,100,6.1571717171717175,125,0.012121212121212121,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.5,125,125,6.1574193548387095,116,0.011483870967741935,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.6000000000000001,150,150,6.122774049217003,97,0.011812080536912751,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.7000000000000001,175,175,6.1251888341543514,72,0.012413793103448275,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.8,200,200,6.1484422110552766,49,0.012211055276381909,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.9,225,225,6.156547619047619,25,0.011904761904761904,3.0,1.0
0,greedyWarmStartMOV,rrg,250,3,0.3,0.3,1.0,250,250,6.161253012048193,0,0.012048192771084338,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.1,25,25,6.1866666666666665,65,0.006666666666666667,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.2,50,50,6.146122448979592,105,0.008979591836734694,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.30000000000000004,75,75,6.094774774774775,125,0.009009009009009009,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.4,100,100,6.087676767676768,118,0.01191919191919192,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.5,125,125,6.088645161290323,111,0.012129032258064516,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.6000000000000001,150,150,6.080089485458613,99,0.012080536912751677,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.7000000000000001,175,175,6.055500821018063,75,0.012085385878489327,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.8,200,200,6.061005025125628,50,0.011758793969849246,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,0.9,225,225,6.052261904761905,25,0.011984126984126984,3.0,1.0
1,greedyWarmStartMOV,rrg,250,3,0.3,0.3,1.0,250,250,6.048738955823294,0,0.012048192771084338,3.0,1.0
