sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.1,20,20,5.878947368421053,54,0.010526315789473684,3.0,1.0
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.2,40,40,5.792307692307692,90,0.008974358974358974,3.0,1.0
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.82090395480226,101,0.012429378531073447,3.0,1.0
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.4,80,80,5.80126582278481,102,0.013291139240506329,3.0,1.0
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.5,100,100,5.79030303030303,92,0.013737373737373737,3.0,1.0
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.6,120,120,5.82703081232493,78,0.014285714285714285,3.0,1.0
0,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.7000000000000001,140,140,5.806783144912641,60,0.014491264131551902,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.1,20,20,5.878947368421053,50,0.015789473684210527,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.2,40,40,5.766666666666667,84,0.008974358974358974,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.796610169491525,95,0.012994350282485875,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.4,80,80,5.767088607594936,94,0.014556962025316455,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.5,100,100,5.766464646464646,82,0.015151515151515152,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.6,120,120,5.756582633053221,72,0.014985994397759104,3.0,1.0
1,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.7000000000000001,140,140,5.778211716341213,58,0.014799588900308325,3.0,1.0
2,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.1,20,20,5.873684210526315,56,0.005263157894736842,3.0,1.0
2,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.2,40,40,5.828205128205128,85,0.010256410256410256,3.0,1.0
2,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.824858757062147,98,0.013559322033898305,3.0,1.0
2,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.4,80,80,5.861708860759494,96,0.013924050632911392,3.0,1.0
2,greedyWarmStartMOV,rrg,200,3,0.3,0.3,0.5,100,100,5.832323232323232,89,0.014747474747474747,3.0,1.0
