sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,4.4,15,0.0,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,4.111111111111111,25,0.022222222222222223,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.961904761904762,29,0.01904761904761905,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.789473684210526,26,0.042105263157894736,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.8633333333333333,22,0.06,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.87816091954023,19,0.05517241379310345,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.8941176470588235,15,0.058823529411764705,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.8615384615384616,10,0.06153846153846154,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.8575757575757574,5,0.06161616161616162,3.0,1.0
0,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.8726530612244896,0,0.061224489795918366,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,3.9,12,0.1,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,3.7333333333333334,21,0.044444444444444446,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.7714285714285714,26,0.0380952380952381,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.610526315789474,22,0.06315789473684211,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.61,20,0.06666666666666667,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.5586206896551724,15,0.07126436781609195,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.6050420168067228,13,0.06890756302521009,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.674358974358974,10,0.0641025641025641,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.690909090909091,5,0.06161616161616162,3.0,1.0
1,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.719183673469388,0,0.061224489795918366,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,4.1,14,0.0,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,3.688888888888889,22,0.022222222222222223,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.780952380952381,26,0.0380952380952381,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.836842105263158,25,0.05263157894736842,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.8433333333333333,24,0.056666666666666664,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.788505747126437,20,0.06206896551724138,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.7714285714285714,15,0.06218487394957983,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.796153846153846,10,0.05897435897435897,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.7848484848484847,5,0.06060606060606061,3.0,1.0
2,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.7934693877551022,0,0.061224489795918366,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,3.9,14,0.0,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,3.888888888888889,22,0.0,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,3.961904761904762,28,0.02857142857142857,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,3.931578947368421,29,0.03684210526315789,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,3.8666666666666667,24,0.05,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,3.852873563218391,20,0.05517241379310345,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,3.8302521008403363,15,0.05714285714285714,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.8,10,0.06025641025641026,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.797979797979798,5,0.06161616161616162,3.0,1.0
3,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.8244897959183675,0,0.061224489795918366,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.0,0,0,,0,0.0,,
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.1,5,5,4.0,14,0.0,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.2,10,10,4.2444444444444445,26,0.0,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.30000000000000004,15,15,4.057142857142857,27,0.0380952380952381,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.4,20,20,4.052631578947368,28,0.042105263157894736,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.5,25,25,4.013333333333334,23,0.056666666666666664,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.6000000000000001,30,30,4.006896551724138,19,0.05747126436781609,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.7000000000000001,35,35,4.008403361344538,14,0.06050420168067227,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.8,40,40,3.9935897435897436,10,0.0641025641025641,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,0.9,45,45,3.9616161616161616,5,0.06060606060606061,3.0,1.0
4,greedyWarmStartMOV,rrg,50,3,0.3,0.3,1.0,50,50,3.9591836734693877,0,0.061224489795918366,3.0,1.0
