sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,greedyOV,rrg,42,3,0.3,0.3,0.0,0,0,,0,0.0,,
0,greedyOV,rrg,42,3,0.3,0.3,0.1,4,4,3.0,9,0.0,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.2,8,8,3.2857142857142856,16,0.0,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.30000000000000004,12,12,3.8181818181818183,22,0.030303030303030304,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.4,16,16,3.7333333333333334,21,0.05,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.5,21,21,3.676190476190476,17,0.07142857142857142,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.6000000000000001,25,25,3.68,16,0.06666666666666667,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.7000000000000001,29,29,3.6305418719211824,12,0.07881773399014778,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.8,33,33,3.6515151515151514,8,0.07765151515151515,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,0.9,37,37,3.704204204204204,5,0.07357357357357357,3.0,1.0
0,greedyOV,rrg,42,3,0.3,0.3,1.0,42,42,3.7026713124274098,0,0.07317073170731707,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.0,0,0,,0,0.0,,
1,greedyOV,rrg,42,3,0.3,0.3,0.1,4,4,3.8333333333333335,10,0.16666666666666666,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.2,8,8,3.6785714285714284,14,0.14285714285714285,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.30000000000000004,12,12,3.893939393939394,19,0.10606060606060606,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.4,16,16,3.85,20,0.08333333333333333,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.5,21,21,3.6904761904761907,18,0.09047619047619047,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.6000000000000001,25,25,3.79,17,0.08,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.7000000000000001,29,29,3.7586206896551726,13,0.07142857142857142,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.8,33,33,3.7613636363636362,9,0.07765151515151515,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,0.9,37,37,3.744744744744745,5,0.07507507507507508,3.0,1.0
1,greedyOV,rrg,42,3,0.3,0.3,1.0,42,42,3.743321718931475,0,0.07317073170731707,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.0,0,0,,0,0.0,,
2,greedyOV,rrg,42,3,0.3,0.3,0.1,4,4,3.0,10,0.16666666666666666,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.2,8,8,3.5714285714285716,16,0.10714285714285714,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.30000000000000004,12,12,3.6363636363636362,19,0.09090909090909091,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.4,16,16,3.533333333333333,18,0.09166666666666666,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.5,21,21,3.638095238095238,17,0.08571428571428572,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.6000000000000001,25,25,3.52,14,0.08666666666666667,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.7000000000000001,29,29,3.5172413793103448,11,0.08374384236453201,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.8,33,33,3.496212121212121,8,0.08143939393939394,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,0.9,37,37,3.5825825825825826,5,0.07357357357357357,3.0,1.0
2,greedyOV,rrg,42,3,0.3,0.3,1.0,42,42,3.5993031358885017,0,0.07317073170731707,3.0,1.0
