method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
sequential,c_mov,rrg,0.0,0.2,0.3,0,0.7766666666666666,0.8000036,0.0,0.0,5.378423912878748,6.65358,,,,
sequential,c_mov,rrg,0.1,0.2,0.3,0,0.8633333333333333,0.8099849,0.3880597014925372,0.31322375,4.264809707032475,4.1990786,,,,
sequential,c_mov,rrg,0.2,0.2,0.3,0,0.9533333333333334,0.8425788,0.7910447761194032,0.5287897,3.533142233594024,2.9772766,,,,
sequential,c_mov,rrg,0.30000000000000004,0.2,0.3,0,0.9766666666666667,0.886318,0.8955223880597016,0.6375819,2.5644984100263786,2.6695328,,,,
sequential,c_mov,rrg,0.4,0.2,0.3,0,0.9766666666666667,0.91337746,0.8955223880597016,0.69777626,2.253913944635849,2.3272727,,,,
sequential,c_mov,rrg,0.5,0.2,0.3,0,0.9766666666666667,0.9366453,0.8955223880597016,0.7594274,1.8687915757871532,1.8918587,,,,
sequential,c_mov,rrg,0.6000000000000001,0.2,0.3,0,0.9766666666666667,0.95020795,0.8955223880597016,0.8006616,1.6271590444217918,1.409999,,,,
sequential,c_mov,rrg,0.7000000000000001,0.2,0.3,0,0.9833333333333333,0.96601266,0.925373134328358,0.85876435,1.2296698732530325,0.9507309,,,,
sequential,c_mov,rrg,0.0,0.4,0.3,0,0.6033333333333334,0.6000194,0.0,0.0,3.4880299011037095,3.3618698,,,,
sequential,c_mov,rrg,0.1,0.4,0.3,0,0.66,0.6488521,0.14285714285714282,0.08714077,2.9708885292137808,2.8238623,,,,
sequential,c_mov,rrg,0.2,0.4,0.3,0,0.7233333333333334,0.7019062,0.3025210084033614,0.2337565,2.3872288105048174,2.4600885,,,,
sequential,c_mov,rrg,0.30000000000000004,0.4,0.3,0,0.8233333333333334,0.7432749,0.5546218487394958,0.42186567,2.2481766625613555,1.9281633,,,,
sequential,c_mov,rrg,0.4,0.4,0.3,0,0.87,0.78284484,0.6722689075630252,0.5463805,2.1152933011331476,1.6359506,,,,
sequential,c_mov,rrg,0.5,0.4,0.3,0,0.8933333333333333,0.82822853,0.7310924369747899,0.64346576,1.866908897611238,1.3446349,,,,
sequential,c_mov,rrg,0.6000000000000001,0.4,0.3,0,0.9066666666666666,0.8675521,0.764705882352941,0.7072045,1.4676444764837862,1.0475836,,,,
