method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
sequential,mov,rrg,0.0,0.2,0.3,0,0.79,0.8000036,0.0,0.0,7.551480431115544,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,0,0.79,0.8611165,0.0,0.0,5.69424426072205,6.898203,,,,
sequential,mov,rrg,0.2,0.2,0.3,0,0.7933333333333333,0.892145,0.015873015873015713,0.10883147,6.083526934119073,5.7798395,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,0,0.8166666666666667,0.91487175,0.12698412698412676,0.29807615,5.362534687916391,4.464345,,,,
sequential,mov,rrg,0.0,0.2,0.3,1,0.8233333333333334,0.8000036,0.0,0.0,7.808321397658106,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,1,0.8266666666666667,0.872134,0.0188679245283017,0.016248683,4.735136048305381,7.175542,,,,
sequential,mov,rrg,0.2,0.2,0.3,1,0.8433333333333334,0.8981775,0.11320754716981143,0.16656113,4.329827660300912,5.5562816,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,1,0.86,0.923679,0.20754716981132054,0.32472095,4.0195331629988855,4.4452567,,,,
sequential,mov,rrg,0.0,0.2,0.3,2,0.7966666666666666,0.8000036,0.0,0.0,5.133053310271022,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,2,0.7966666666666666,0.85558504,0.0,0.0,4.492212293257211,6.764927,,,,
sequential,mov,rrg,0.2,0.2,0.3,2,0.8233333333333334,0.88078564,0.13114754098360684,0.16280141,3.7630927141323793,5.4163027,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,2,0.8333333333333334,0.89933634,0.18032786885245933,0.26699182,3.29064651173296,4.171907,,,,
sequential,mov,rrg,0.0,0.2,0.3,3,0.8,0.8000036,0.0,0.0,5.486386643604354,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,3,0.8033333333333333,0.85377175,0.0166666666666665,0.022286952,5.033068650206946,6.5801287,,,,
sequential,mov,rrg,0.2,0.2,0.3,3,0.82,0.88230234,0.09999999999999956,0.17557597,4.526195442593918,5.196356,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,3,0.8366666666666667,0.9087201,0.18333333333333315,0.3372463,3.970708476921477,4.0460606,,,,
sequential,mov,rrg,0.0,0.2,0.3,4,0.83,0.8000036,0.0,0.0,10.351706602926965,6.65358,,,,
sequential,mov,rrg,0.1,0.2,0.3,4,0.83,0.88024086,0.0,0.0,6.504794076842103,7.723414,,,,
sequential,mov,rrg,0.2,0.2,0.3,4,0.8533333333333334,0.9061043,0.13725490196078483,0.15697303,5.413799897844009,5.857352,,,,
sequential,mov,rrg,0.30000000000000004,0.2,0.3,4,0.8733333333333333,0.93324786,0.25490196078431365,0.38081875,5.715855282749676,4.250222,,,,
