method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,er,0.0,0.05,0.3,0,0.96,0.9499994,0.0,0.0,3.3642358115187476,3.620349,,,,
random,N/A,er,0.1,0.05,0.3,0,0.95,0.9508858,-0.25,0.027940804,2.504012154653351,2.8579702,,,,
random,N/A,er,0.2,0.05,0.3,0,0.96,0.93829024,0.0,0.0,2.224264250690784,2.2275558,,,,
random,N/A,er,0.30000000000000004,0.05,0.3,0,0.96,0.9687179,0.0,0.28754517,1.7097756178695735,1.762335,,,,
random,N/A,er,0.4,0.05,0.3,0,0.99,0.9758041,0.75,0.5535427,1.0852148125683927,1.3866543,,,,
random,N/A,er,0.5,0.05,0.3,0,0.95,0.96633583,-0.25,0.22369766,1.4895552792630804,1.1289033,,,,
random,N/A,er,0.6000000000000001,0.05,0.3,0,0.99,0.97189546,0.75,0.42960832,0.6646860512700552,0.7071753,,,,
random,N/A,er,0.7000000000000001,0.05,0.3,0,1.0,0.9919673,1.0,0.83276063,0.3034077267426363,0.51853704,,,,
random,N/A,er,0.8,0.05,0.3,0,0.98,0.9934651,0.5,0.8469345,0.39601261142442223,0.47666845,,,,
random,N/A,er,0.9,0.05,0.3,0,1.0,0.9984727,1.0,0.9632157,0.31728441511808736,0.21122175,,,,
random,N/A,er,1.0,0.05,0.3,0,1.0,0.9999809,1.0,0.9995233,4.880400055592361e-07,0.003379389,,,,
random,N/A,er,0.0,0.1,0.3,0,0.85,0.900001,0.0,0.0,3.119269932548116,3.400145,,,,
random,N/A,er,0.1,0.1,0.3,0,0.86,0.90767205,0.06666666666666672,0.09772492,2.6890687055282596,2.7448606,,,,
random,N/A,er,0.2,0.1,0.3,0,0.89,0.91644937,0.2666666666666669,0.3237524,2.090808033402378,2.0197227,,,,
random,N/A,er,0.30000000000000004,0.1,0.3,0,0.93,0.91790277,0.5333333333333338,0.46799606,1.844961787431055,1.7215592,,,,
random,N/A,er,0.4,0.1,0.3,0,0.91,0.93313634,0.4000000000000003,0.43069842,1.467198230671045,1.3912594,,,,
random,N/A,er,0.5,0.1,0.3,0,0.94,0.9685908,0.5999999999999998,0.7354722,1.337977174575026,1.0502323,,,,
random,N/A,er,0.6000000000000001,0.1,0.3,0,0.96,0.96866083,0.7333333333333332,0.76291376,0.9014739354130011,0.77795446,,,,
random,N/A,er,0.7000000000000001,0.1,0.3,0,0.98,0.9866156,0.8666666666666666,0.90664303,0.62657852224083,0.5792186,,,,
random,N/A,er,0.8,0.1,0.3,0,0.97,0.9898872,0.7999999999999998,0.9218752,0.23943262663013784,0.2866882,,,,
random,N/A,er,0.9,0.1,0.3,0,1.0,0.99546456,1.0,0.9706428,0.030784032551264415,0.18807846,,,,
random,N/A,er,1.0,0.1,0.3,0,1.0,0.99994326,1.0,0.9996216,1.2356246718054486e-06,0.0059811175,,,,
random,N/A,er,0.0,0.2,0.3,0,0.8,0.80000716,0.0,0.0,2.8663953733607417,2.2616076,,,,
random,N/A,er,0.1,0.2,0.3,0,0.81,0.8335162,0.05000000000000006,0.022208756,2.47173299047576,2.1785307,,,,
random,N/A,er,0.2,0.2,0.3,0,0.88,0.857453,0.3999999999999999,0.35946718,1.5533153944370204,1.6167626,,,,
random,N/A,er,0.30000000000000004,0.2,0.3,0,0.91,0.8884277,0.55,0.49644446,1.9788802033398054,1.3351833,,,,
random,N/A,er,0.4,0.2,0.3,0,0.88,0.880971,0.3999999999999999,0.40194428,2.0789382030979042,1.1234902,,,,
random,N/A,er,0.5,0.2,0.3,0,0.93,0.9206357,0.6500000000000001,0.6209141,0.8816958513661588,0.9377446,,,,
random,N/A,er,0.6000000000000001,0.2,0.3,0,0.94,0.9303998,0.6999999999999996,0.6396008,0.5450731042451344,0.74633706,,,,
random,N/A,er,0.7000000000000001,0.2,0.3,0,0.95,0.95342237,0.7499999999999997,0.76116574,0.22951379101795472,0.49866182,,,,
random,N/A,er,0.8,0.2,0.3,0,0.98,0.9680323,0.8999999999999999,0.8428314,0.32267380033371795,0.33457732,,,,
random,N/A,er,0.9,0.2,0.3,0,0.99,0.9859005,0.95,0.9306599,0.06793848662867993,0.1284,,,,
random,N/A,er,1.0,0.2,0.3,0,1.0,0.99994034,1.0,0.9997016,2.183054160687069e-06,0.0073504704,,,,
random,N/A,er,0.0,0.05,0.3,1,0.92,0.9499994,0.0,0.0,3.404615297012496,3.1096191,,,,
random,N/A,er,0.1,0.05,0.3,1,0.93,0.9475804,0.12500000000000017,0.09267469,2.7301350870337058,2.3654327,,,,
random,N/A,er,0.2,0.05,0.3,1,0.96,0.9505095,0.4999999999999993,0.4469738,1.7896720074389947,1.7470958,,,,
random,N/A,er,0.30000000000000004,0.05,0.3,1,0.95,0.95277923,0.3749999999999991,0.3861476,1.5780937098294947,1.3636107,,,,
random,N/A,er,0.4,0.05,0.3,1,0.99,0.9527896,0.8749999999999998,0.48122802,0.8685527202230843,1.196529,,,,
random,N/A,er,0.5,0.05,0.3,1,0.96,0.96511614,0.4999999999999993,0.4832541,1.1769193195105137,0.8923584,,,,
random,N/A,er,0.6000000000000001,0.05,0.3,1,0.98,0.9817349,0.7499999999999997,0.75444883,0.84858358306487,0.6189273,,,,
random,N/A,er,0.7000000000000001,0.05,0.3,1,0.99,0.99361014,0.8749999999999998,0.9163218,0.3218079995847112,0.4141485,,,,
random,N/A,er,0.8,0.05,0.3,1,0.99,0.9963562,0.8749999999999998,0.9504852,0.2622099226553284,0.2157246,,,,
random,N/A,er,0.9,0.05,0.3,1,1.0,0.9982261,1.0,0.97824395,0.08170219667664017,0.14519784,,,,
random,N/A,er,1.0,0.05,0.3,1,1.0,0.99996376,1.0,0.999547,8.126615564295429e-07,0.0052648727,,,,
random,N/A,er,0.0,0.1,0.3,1,0.92,0.900001,0.0,0.0,3.3269009896240673,2.8603878,,,,
random,N/A,er,0.1,0.1,0.3,1,0.93,0.91621447,0.12500000000000017,0.106625594,2.7642836494703493,2.3831856,,,,
random,N/A,er,0.2,0.1,0.3,1,0.94,0.94197536,0.24999999999999895,0.2868154,1.3492833862382017,1.9688243,,,,
random,N/A,er,0.30000000000000004,0.1,0.3,1,0.97,0.9571956,0.6249999999999994,0.49220064,1.3213111335169645,1.6225008,,,,
random,N/A,er,0.4,0.1,0.3,1,0.96,0.95388657,0.4999999999999993,0.4593923,1.156133793215545,1.1008661,,,,
random,N/A,er,0.5,0.1,0.3,1,0.98,0.9590814,0.7499999999999997,0.5945367,1.0097346511681826,0.9779548,,,,
random,N/A,er,0.6000000000000001,0.1,0.3,1,0.97,0.9828584,0.6249999999999994,0.74440074,0.8160064507688807,0.7863353,,,,
random,N/A,er,0.7000000000000001,0.1,0.3,1,0.98,0.9789963,0.7499999999999997,0.74069333,0.30436809318265934,0.4617372,,,,
random,N/A,er,0.8,0.1,0.3,1,0.99,0.98367304,0.8749999999999998,0.7808653,0.4638897722325814,0.38847187,,,,
random,N/A,er,0.9,0.1,0.3,1,1.0,0.99602944,1.0,0.9527068,0.18705063766732302,0.20929688,,,,
random,N/A,er,1.0,0.1,0.3,1,1.0,0.9999665,1.0,0.9995813,5.876447573987687e-07,0.0045794817,,,,
random,N/A,er,0.0,0.2,0.3,1,0.74,0.80000716,0.0,0.0,1.627981353535094,2.4162004,,,,
random,N/A,er,0.1,0.2,0.3,1,0.75,0.7871108,0.03846153846153849,0.044863258,1.384088788131729,1.9182588,,,,
random,N/A,er,0.2,0.2,0.3,1,0.79,0.81904966,0.19230769230769248,0.23448588,1.1023166011472416,1.5679011,,,,
random,N/A,er,0.30000000000000004,0.2,0.3,1,0.86,0.83660895,0.4615384615384615,0.39378265,0.7528582703571794,1.3803254,,,,
random,N/A,er,0.4,0.2,0.3,1,0.86,0.8670968,0.4615384615384615,0.48922393,0.7988916597489552,1.0907135,,,,
random,N/A,er,0.5,0.2,0.3,1,0.88,0.89781624,0.5384615384615385,0.5983826,0.5804407029404578,0.83993495,,,,
random,N/A,er,0.6000000000000001,0.2,0.3,1,0.85,0.902129,0.423076923076923,0.5611486,0.6566525974513894,0.76591825,,,,
random,N/A,er,0.7000000000000001,0.2,0.3,1,0.95,0.9314757,0.8076923076923075,0.7419608,0.2807997391734572,0.48499772,,,,
random,N/A,er,0.8,0.2,0.3,1,0.96,0.9634134,0.846153846153846,0.85236233,0.27586186162441206,0.28510574,,,,
random,N/A,er,0.9,0.2,0.3,1,0.96,0.98277396,0.846153846153846,0.9273513,0.13481438870639134,0.11466586,,,,
random,N/A,er,1.0,0.2,0.3,1,1.0,0.99992895,1.0,0.9997267,8.975656364313626e-07,0.0061165653,,,,
random,N/A,er,0.0,0.05,0.3,2,0.95,0.9499994,0.0,0.0,3.0721993950187088,3.2354167,,,,
random,N/A,er,0.1,0.05,0.3,2,0.96,0.94819593,0.2,0.16180152,2.644833905517782,2.6326454,,,,
random,N/A,er,0.2,0.05,0.3,2,0.97,0.9653584,0.4,0.35411277,1.7045507140135425,1.9407568,,,,
random,N/A,er,0.30000000000000004,0.05,0.3,2,0.97,0.9685216,0.4,0.38400167,1.6974206369248526,1.6190587,,,,
random,N/A,er,0.4,0.05,0.3,2,0.99,0.976263,0.8,0.6154145,1.5839282935070316,1.3141377,,,,
random,N/A,er,0.5,0.05,0.3,2,0.99,0.98059064,0.8,0.6732937,0.8159638721469515,1.0186577,,,,
random,N/A,er,0.6000000000000001,0.05,0.3,2,0.99,0.9924989,0.8,0.842082,0.8002619753625416,0.66889143,,,,
random,N/A,er,0.7000000000000001,0.05,0.3,2,1.0,0.99523157,1.0,0.9129296,0.30149179447858043,0.4874743,,,,
random,N/A,er,0.8,0.05,0.3,2,1.0,0.99732924,1.0,0.9492894,0.2377050889590552,0.26475254,,,,
random,N/A,er,0.9,0.05,0.3,2,1.0,0.9989878,1.0,0.97987163,0.08269493802304692,0.13872485,,,,
random,N/A,er,1.0,0.05,0.3,2,1.0,0.99996924,1.0,0.9993848,8.100099542917057e-07,0.0045428025,,,,
random,N/A,er,0.0,0.1,0.3,2,0.88,0.90000093,0.0,0.0,3.8911354295395197,3.1517456,,,,
random,N/A,er,0.1,0.1,0.3,2,0.9,0.92188364,0.16666666666666682,0.20383897,3.2072144330708294,2.6152685,,,,
random,N/A,er,0.2,0.1,0.3,2,0.89,0.8939664,0.08333333333333341,0.11026258,3.054019476114685,1.9396054,,,,
random,N/A,er,0.30000000000000004,0.1,0.3,2,0.91,0.9370586,0.2500000000000002,0.28062034,1.7540366041515427,1.8623264,,,,
random,N/A,er,0.4,0.1,0.3,2,0.95,0.9503544,0.5833333333333329,0.6246191,1.4327884785815552,1.1790189,,,,
random,N/A,er,0.5,0.1,0.3,2,0.95,0.9572,0.5833333333333329,0.59360135,1.9545342985358984,1.1099151,,,,
random,N/A,er,0.6000000000000001,0.1,0.3,2,0.95,0.95577604,0.5833333333333329,0.60106945,1.997040930660176,0.87216157,,,,
random,N/A,er,0.7000000000000001,0.1,0.3,2,0.96,0.9639504,0.6666666666666664,0.67177945,1.1891927079334177,0.60386187,,,,
random,N/A,er,0.8,0.1,0.3,2,0.98,0.97287124,0.8333333333333331,0.75517017,0.8442186386730307,0.39169008,,,,
random,N/A,er,0.9,0.1,0.3,2,0.99,0.99372464,0.9166666666666666,0.9460246,0.08313760523271402,0.14293678,,,,
random,N/A,er,1.0,0.1,0.3,2,1.0,0.99996763,1.0,0.9997303,2.5465012184014738e-06,0.006066313,,,,
random,N/A,er,0.0,0.2,0.3,2,0.8,0.80000716,0.0,0.0,2.3231660966167524,2.6543586,,,,
random,N/A,er,0.1,0.2,0.3,2,0.82,0.8075149,0.09999999999999956,0.09411985,2.101606273266453,2.0860353,,,,
random,N/A,er,0.2,0.2,0.3,2,0.87,0.85202044,0.3499999999999998,0.32112303,1.6363564018479315,1.918785,,,,
random,N/A,er,0.30000000000000004,0.2,0.3,2,0.89,0.8536769,0.44999999999999996,0.31416124,1.3531231219391473,1.6280944,,,,
random,N/A,er,0.4,0.2,0.3,2,0.87,0.8737614,0.3499999999999998,0.39470294,1.1982319128150132,1.2936614,,,,
random,N/A,er,0.5,0.2,0.3,2,0.91,0.8903884,0.55,0.47558486,1.2664974449321809,1.0831627,,,,
random,N/A,er,0.6000000000000001,0.2,0.3,2,0.93,0.93749267,0.6500000000000001,0.67528576,0.5408225869826588,0.69925517,,,,
random,N/A,er,0.7000000000000001,0.2,0.3,2,0.96,0.94769526,0.7999999999999998,0.76190895,0.39758989523083826,0.4660477,,,,
random,N/A,er,0.8,0.2,0.3,2,0.96,0.9601234,0.7999999999999998,0.7819994,0.41405938475445553,0.51057863,,,,
random,N/A,er,0.9,0.2,0.3,2,0.98,0.9845465,0.8999999999999999,0.9209165,0.2868779385207493,0.19725811,,,,
random,N/A,er,1.0,0.2,0.3,2,1.0,0.9999344,1.0,0.9996718,1.445562441200278e-06,0.006950879,,,,
random,N/A,er,0.0,0.05,0.3,3,0.94,0.9499994,0.0,0.0,2.9944023282869052,3.2081745,,,,
random,N/A,er,0.1,0.05,0.3,3,0.96,0.96217054,0.3333333333333333,0.34577954,1.8902533842900158,2.425353,,,,
random,N/A,er,0.2,0.05,0.3,3,0.94,0.95026773,0.0,0.19132425,1.786768145481732,2.0275762,,,,
random,N/A,er,0.30000000000000004,0.05,0.3,3,0.96,0.9639442,0.3333333333333333,0.46904403,1.3621881182815991,1.6062846,,,,
random,N/A,er,0.4,0.05,0.3,3,0.98,0.9827753,0.6666666666666666,0.75901115,0.6993389842566501,1.1904713,,,,
random,N/A,er,0.5,0.05,0.3,3,0.97,0.98271173,0.5,0.7160694,0.8989691879762413,0.85893416,,,,
random,N/A,er,0.6000000000000001,0.05,0.3,3,0.99,0.9880603,0.8333333333333334,0.801493,0.48419041632279525,0.7355382,,,,
random,N/A,er,0.7000000000000001,0.05,0.3,3,0.99,0.994885,0.8333333333333334,0.9071587,0.4939674624368133,0.43460518,,,,
random,N/A,er,0.8,0.05,0.3,3,1.0,0.99663985,1.0,0.9469656,0.1722615267923525,0.3208412,,,,
random,N/A,er,0.9,0.05,0.3,3,1.0,0.99704665,1.0,0.9530566,0.1168982231961554,0.13640234,,,,
random,N/A,er,1.0,0.05,0.3,3,1.0,0.9999752,1.0,0.99958676,4.018038806496075e-07,0.0038855097,,,,
random,N/A,er,0.0,0.1,0.3,3,0.88,0.90000105,0.0,0.0,3.1235502309169982,3.191842,,,,
random,N/A,er,0.1,0.1,0.3,3,0.9,0.9237033,0.16666666666666682,0.20769131,2.649931120094156,2.5788069,,,,
random,N/A,er,0.2,0.1,0.3,3,0.88,0.88630515,0.0,0.088715695,1.99573891169996,1.9337492,,,,
random,N/A,er,0.30000000000000004,0.1,0.3,3,0.93,0.9254915,0.4166666666666671,0.40157193,1.4841051874340099,1.7458539,,,,
random,N/A,er,0.4,0.1,0.3,3,0.95,0.93749297,0.5833333333333329,0.4528942,1.0121198664046367,1.3552991,,,,
random,N/A,er,0.5,0.1,0.3,3,0.96,0.9469395,0.6666666666666664,0.58248836,0.5336047964900591,0.977391,,,,
random,N/A,er,0.6000000000000001,0.1,0.3,3,0.97,0.9701757,0.7499999999999998,0.7475901,0.6130178148838183,0.8424213,,,,
random,N/A,er,0.7000000000000001,0.1,0.3,3,0.96,0.97860205,0.6666666666666664,0.8167321,0.34209423310166737,0.5465706,,,,
random,N/A,er,0.8,0.1,0.3,3,0.99,0.9874511,0.9166666666666666,0.8968261,0.17808787201589277,0.3397676,,,,
random,N/A,er,0.9,0.1,0.3,3,0.98,0.98651767,0.8333333333333331,0.8820416,0.08552499796894673,0.12711437,,,,
random,N/A,er,1.0,0.1,0.3,3,1.0,0.9999692,1.0,0.9997432,8.251986056948338e-07,0.005105896,,,,
random,N/A,er,0.0,0.2,0.3,3,0.86,0.80000716,0.0,0.0,2.6062229099945147,3.0197234,,,,
random,N/A,er,0.1,0.2,0.3,3,0.88,0.81812453,0.14285714285714296,0.07421422,2.190499078357754,2.6381977,,,,
random,N/A,er,0.2,0.2,0.3,3,0.91,0.8627195,0.35714285714285743,0.2466023,1.4793311397113007,2.2829447,,,,
random,N/A,er,0.30000000000000004,0.2,0.3,3,0.88,0.84513605,0.14285714285714296,0.15561175,1.7146181691472873,2.028371,,,,
random,N/A,er,0.4,0.2,0.3,3,0.92,0.88325846,0.42857142857142894,0.36854678,1.3278153335755143,1.5595855,,,,
random,N/A,er,0.5,0.2,0.3,3,0.94,0.9219471,0.5714285714285711,0.55184937,1.0105982332417474,1.2064601,,,,
