method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.05,0.3,0,0.959,0.94993126,0.0,0.0,7.573504972027819,8.730519,,,,
random,N/A,powerlaw,0.1,0.05,0.3,0,0.964,0.95915806,0.12195121951219512,0.13581392,5.679205759432293,6.556865,,,,
random,N/A,powerlaw,0.2,0.05,0.3,0,0.974,0.96206445,0.36585365853658536,0.28328252,4.422511369320654,5.563647,,,,
random,N/A,powerlaw,0.30000000000000004,0.05,0.3,0,0.979,0.97085947,0.4878048780487805,0.4217576,3.2298562040343595,4.1117578,,,,
random,N/A,powerlaw,0.4,0.05,0.3,0,0.981,0.97246253,0.5365853658536586,0.45500124,2.4520287875288647,3.165416,,,,
random,N/A,powerlaw,0.5,0.05,0.3,0,0.983,0.9795023,0.5853658536585366,0.5393415,2.415450584508275,2.4835963,,,,
random,N/A,powerlaw,0.6000000000000001,0.05,0.3,0,0.987,0.98518664,0.6829268292682927,0.6690177,1.7488248575214858,1.8615607,,,,
random,N/A,powerlaw,0.7000000000000001,0.05,0.3,0,0.991,0.98941797,0.7804878048780488,0.7470028,1.3980706628491943,1.1450083,,,,
random,N/A,powerlaw,0.8,0.05,0.3,0,0.997,0.9946511,0.926829268292683,0.88087714,0.38312840157752553,0.6790263,,,,
random,N/A,powerlaw,0.9,0.05,0.3,0,1.0,0.99676996,1.0,0.9259905,0.26821501936182796,0.37216052,,,,
random,N/A,powerlaw,1.0,0.05,0.3,0,1.0,0.99992555,1.0,0.9981872,0.018606373585268357,0.013662998,,,,
random,N/A,powerlaw,0.0,0.1,0.3,0,0.915,0.9000481,0.0,0.0,11.1776817165748,11.603485,,,,
random,N/A,powerlaw,0.1,0.1,0.3,0,0.929,0.91657424,0.1647058823529414,0.14361113,8.866438886345477,9.6009,,,,
random,N/A,powerlaw,0.2,0.1,0.3,0,0.934,0.9270327,0.22352941176470617,0.2064568,7.5435333955518855,7.6363153,,,,
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.944,0.9401832,0.3411764705882344,0.3257591,5.97631713088669,6.0548353,,,,
random,N/A,powerlaw,0.4,0.1,0.3,0,0.963,0.9516874,0.5647058823529406,0.4912201,4.600513450851189,4.688712,,,,
random,N/A,powerlaw,0.5,0.1,0.3,0,0.965,0.9602284,0.5882352941176465,0.5499996,3.3738325526519755,3.3921187,,,,
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.969,0.96953493,0.6352941176470583,0.6500877,2.7344557649612735,2.696041,,,,
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.989,0.9794879,0.8705882352941174,0.7815578,1.527469833265987,1.7019895,,,,
random,N/A,powerlaw,0.8,0.1,0.3,0,0.992,0.9889595,0.9058823529411764,0.874515,1.022563579480279,1.0542734,,,,
random,N/A,powerlaw,0.9,0.1,0.3,0,0.992,0.99270606,0.9058823529411764,0.9126998,0.4555801225229871,0.5477202,,,,
random,N/A,powerlaw,1.0,0.1,0.3,0,1.0,0.99970335,1.0,0.99652016,0.013856723034626664,0.027468849,,,,
random,N/A,powerlaw,0.0,0.2,0.3,0,0.777,0.800131,0.0,0.0,14.411054836599444,14.3756075,,,,
random,N/A,powerlaw,0.1,0.2,0.3,0,0.806,0.82473403,0.13004484304932748,0.13603845,12.184468416259168,12.064989,,,,
random,N/A,powerlaw,0.2,0.2,0.3,0,0.841,0.8473866,0.28699551569506704,0.2930853,9.216502905818441,9.257332,,,,
