method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,powerlaw,0.0,0.1,0.3,0,0.92,0.90000397,0.0,0.0,9.005533685669938,10.900132,,,,
random,N/A,powerlaw,0.1,0.1,0.3,0,0.94,0.9219268,0.24999999999999895,0.20392866,7.355017825003916,8.110647,,,,
random,N/A,powerlaw,0.2,0.1,0.3,0,0.94,0.9241215,0.24999999999999895,0.22319523,7.062283833486046,6.3969984,,,,
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,0,0.96,0.9409444,0.4999999999999993,0.40368232,3.785264038383188,5.0316257,,,,
random,N/A,powerlaw,0.4,0.1,0.3,0,0.94,0.9513382,0.24999999999999895,0.40221012,5.0281985177295425,4.007339,,,,
random,N/A,powerlaw,0.5,0.1,0.3,0,0.95,0.9577005,0.3749999999999991,0.5017755,4.429378655453152,3.3837364,,,,
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,0,0.97,0.972998,0.6249999999999994,0.6493126,3.258573181552263,2.5003693,,,,
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,0,0.97,0.984099,0.6249999999999994,0.7584787,2.583440127860092,1.3728278,,,,
random,N/A,powerlaw,0.8,0.1,0.3,0,1.0,0.98708284,1.0,0.8609279,1.6102150494336152,1.0721211,,,,
random,N/A,powerlaw,0.9,0.1,0.3,0,1.0,0.99622136,1.0,0.95422924,0.3247498014300467,0.28097904,,,,
random,N/A,powerlaw,1.0,0.1,0.3,0,1.0,0.99996835,1.0,0.99960434,2.7953117141784915e-06,0.006487476,,,,
random,N/A,powerlaw,0.0,0.1,0.3,1,0.97,0.900004,0.0,0.0,6.9710126263947885,10.567599,,,,
random,N/A,powerlaw,0.1,0.1,0.3,1,0.97,0.9273344,0.0,0.0,5.413743961102551,8.777042,,,,
random,N/A,powerlaw,0.2,0.1,0.3,1,0.97,0.9345275,0.0,0.0,4.013392527918839,6.6870766,,,,
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,1,0.99,0.943757,0.6666666666666666,0.25300744,2.5562513951065986,5.981596,,,,
random,N/A,powerlaw,0.4,0.1,0.3,1,1.0,0.96884626,1.0,0.49055275,1.9950065620880606,3.5659466,,,,
random,N/A,powerlaw,0.5,0.1,0.3,1,0.99,0.9645555,0.6666666666666666,0.36060128,1.6220901734693016,3.2798803,,,,
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,1,1.0,0.98115313,1.0,0.6140317,1.1870454180541952,2.3564417,,,,
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,1,1.0,0.99015623,1.0,0.7529392,0.5598778561804494,1.185057,,,,
random,N/A,powerlaw,0.8,0.1,0.3,1,1.0,0.99514544,1.0,0.86005676,0.13742896758801526,0.46691132,,,,
random,N/A,powerlaw,0.9,0.1,0.3,1,1.0,0.9968132,1.0,0.90397316,0.11941130620298136,0.4052273,,,,
random,N/A,powerlaw,1.0,0.1,0.3,1,1.0,0.9999956,1.0,0.999853,4.143416182248717e-07,0.001965694,,,,
random,N/A,powerlaw,0.0,0.1,0.3,2,0.89,0.9001165,0.0,0.0,10.110371611504656,10.604151,,,,
random,N/A,powerlaw,0.1,0.1,0.3,2,0.91,0.92003095,0.181818181818182,0.19983277,8.127890965192192,8.376881,,,,
random,N/A,powerlaw,0.2,0.1,0.3,2,0.89,0.92735887,0.0,0.0,8.018508371245277,7.0190845,,,,
random,N/A,powerlaw,0.30000000000000004,0.1,0.3,2,0.91,0.94052017,0.181818181818182,0.25150743,7.243389871581214,5.5033665,,,,
random,N/A,powerlaw,0.4,0.1,0.3,2,0.96,0.95135057,0.636363636363636,0.58985835,2.4629470572347607,4.3006163,,,,
random,N/A,powerlaw,0.5,0.1,0.3,2,0.95,0.962602,0.545454545454545,0.6158884,2.5790427697628426,3.3235004,,,,
random,N/A,powerlaw,0.6000000000000001,0.1,0.3,2,0.99,0.9757602,0.909090909090909,0.80474114,0.9795032096960139,2.1703374,,,,
random,N/A,powerlaw,0.7000000000000001,0.1,0.3,2,0.98,0.98117656,0.818181818181818,0.8269982,1.201821413547982,1.4741193,,,,
