method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.05,0.3,0,0.92,0.95000243,0.0,0.0,13.117394944037114,14.239043,,,,
random,N/A,rrg,0.1,0.05,0.3,0,0.94,0.95471716,0.24999999999999895,0.30635902,7.583684891330447,8.131786,,,,
random,N/A,rrg,0.2,0.05,0.3,0,0.92,0.9390886,0.0,0.0,5.964915567094602,5.8247957,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.95,0.968632,0.3749999999999991,0.48539802,4.830308869218974,4.2545905,,,,
random,N/A,rrg,0.4,0.05,0.3,0,0.97,0.98343104,0.6249999999999994,0.7503444,2.466269786185242,2.6512253,,,,
random,N/A,rrg,0.5,0.05,0.3,0,0.96,0.9677614,0.4999999999999993,0.6129437,1.3600618076287125,1.9381936,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.96,0.98351145,0.4999999999999993,0.7620464,0.7345703562679057,1.1808022,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,0,1.0,0.9935123,1.0,0.920903,0.5131767417439353,0.9263004,,,,
random,N/A,rrg,0.8,0.05,0.3,0,1.0,0.99303937,1.0,0.915012,0.1741238346176082,0.4902145,,,,
random,N/A,rrg,0.9,0.05,0.3,0,1.0,0.9981141,1.0,0.97617334,0.2630699146676292,0.32707796,,,,
random,N/A,rrg,1.0,0.05,0.3,0,1.0,0.9999637,1.0,0.9995462,9.321697496782006e-06,0.023036173,,,,
random,N/A,rrg,0.0,0.2,0.3,0,0.81,0.80000967,0.0,0.0,3.8208867311031485,6.836265,,,,
random,N/A,rrg,0.1,0.2,0.3,0,0.88,0.8063719,0.3684210526315788,0.16115513,2.781705045175082,4.6220427,,,,
random,N/A,rrg,0.2,0.2,0.3,0,0.86,0.81951666,0.2631578947368418,0.22282487,2.586841040908855,3.6582437,,,,
random,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.83,0.8518209,0.10526315789473638,0.23672578,2.3740738081572696,3.1791592,,,,
random,N/A,rrg,0.4,0.2,0.3,0,0.91,0.8685128,0.5263157894736843,0.47574773,1.655172296003898,2.061078,,,,
random,N/A,rrg,0.5,0.2,0.3,0,0.94,0.89834946,0.6842105263157892,0.5335327,1.4281290793517452,1.6448126,,,,
random,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.96,0.9363536,0.7894736842105261,0.7004013,1.1657442136727736,1.2071972,,,,
random,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.99,0.9466724,0.9473684210526315,0.7713973,0.5601882622854659,0.8367062,,,,
random,N/A,rrg,0.8,0.2,0.3,0,0.98,0.9633212,0.894736842105263,0.8263057,0.19783077879463323,0.42628208,,,,
random,N/A,rrg,0.9,0.2,0.3,0,1.0,0.98670596,1.0,0.9345643,0.21642041574818774,0.3712907,,,,
random,N/A,rrg,1.0,0.2,0.3,0,1.0,0.9999302,1.0,0.9996326,1.3671219070597593e-05,0.039538242,,,,
random,N/A,rrg,0.0,0.4,0.3,0,0.65,0.6000866,0.0,0.0,4.141240840027066,3.4515421,,,,
random,N/A,rrg,0.1,0.4,0.3,0,0.65,0.6390868,0.0,0.0148618715,3.6819955782376814,3.0282047,,,,
random,N/A,rrg,0.2,0.4,0.3,0,0.69,0.7205597,0.11428571428571407,0.19882092,2.6162704921477182,3.0131228,,,,
random,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.81,0.73661566,0.45714285714285724,0.3485176,3.1646748853615456,1.8105454,,,,
random,N/A,rrg,0.4,0.4,0.3,0,0.79,0.7888168,0.4000000000000001,0.40117958,2.2109078797675084,1.8250347,,,,
random,N/A,rrg,0.5,0.4,0.3,0,0.88,0.8397337,0.6571428571428571,0.5728362,1.1831278588930858,1.4651654,,,,
random,N/A,rrg,0.6000000000000001,0.4,0.3,0,0.9,0.87192816,0.7142857142857143,0.6364689,1.9638118371004851,1.1319517,,,,
random,N/A,rrg,0.7000000000000001,0.4,0.3,0,0.93,0.9054067,0.8000000000000002,0.73795635,1.0365495174729071,1.0998435,,,,
random,N/A,rrg,0.8,0.4,0.3,0,0.94,0.93433535,0.8285714285714284,0.81356853,1.5263959006369263,0.5545415,,,,
