method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,N/A,rrg,0.0,0.05,0.3,0,0.9366666666666666,0.94999987,0.0,0.0,11.422562011785958,11.267633,,,,
random,N/A,rrg,0.1,0.05,0.3,0,0.9433333333333334,0.94935834,0.10526315789473749,0.11633064,8.022105894343495,6.9882455,,,,
random,N/A,rrg,0.2,0.05,0.3,0,0.9633333333333334,0.9653204,0.4210526315789482,0.37134784,5.795957753217302,5.044424,,,,
random,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.9566666666666667,0.9628889,0.31578947368421073,0.37290785,3.794959241131037,2.8998072,,,,
random,N/A,rrg,0.4,0.05,0.3,0,0.9733333333333334,0.9800107,0.5789473684210535,0.6300494,2.2144661125558756,1.9848385,,,,
random,N/A,rrg,0.5,0.05,0.3,0,0.98,0.98177797,0.6842105263157893,0.7128253,1.5913009588410028,1.7017868,,,,
random,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.9833333333333333,0.9900232,0.7368421052631572,0.82384837,1.5580562460762488,1.0426112,,,,
random,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.9866666666666667,0.9906618,0.7894736842105268,0.83429146,0.8203955084411967,0.6772695,,,,
random,N/A,rrg,0.8,0.05,0.3,0,0.9966666666666667,0.9968145,0.9473684210526321,0.9481397,0.3942675076993985,0.33008924,,,,
random,N/A,rrg,0.9,0.05,0.3,0,1.0,0.99856204,1.0,0.97729754,0.22333015658525643,0.17756587,,,,
random,N/A,rrg,1.0,0.05,0.3,0,1.0,0.99996847,1.0,0.999502,3.424546293972957e-06,0.0038095976,,,,
random,N/A,rrg,0.0,0.1,0.3,0,0.9,0.9000041,0.0,0.0,9.783236033274425,9.779279,,,,
random,N/A,rrg,0.1,0.1,0.3,0,0.9166666666666666,0.922662,0.1666666666666661,0.17729606,5.982147158604402,7.352977,,,,
random,N/A,rrg,0.2,0.1,0.3,0,0.93,0.93231446,0.3000000000000003,0.27459368,4.5551941336310575,4.935266,,,,
random,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.9433333333333334,0.941427,0.43333333333333346,0.39419165,2.837092435841215,3.4295712,,,,
random,N/A,rrg,0.4,0.1,0.3,0,0.94,0.9605867,0.39999999999999936,0.51752853,2.1520767041727904,2.6490865,,,,
random,N/A,rrg,0.5,0.1,0.3,0,0.97,0.97131735,0.6999999999999996,0.6976571,1.74743679909258,1.7428292,,,,
random,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.9766666666666667,0.97497404,0.7666666666666668,0.74953574,0.8696214974011215,1.2298685,,,,
random,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.9833333333333333,0.98467165,0.8333333333333328,0.83864325,0.6573462974126132,0.8033072,,,,
random,N/A,rrg,0.8,0.1,0.3,0,0.99,0.99182504,0.8999999999999999,0.91499937,0.608602546638603,0.5075647,,,,
random,N/A,rrg,0.9,0.1,0.3,0,0.9966666666666667,0.9960042,0.966666666666667,0.960179,0.16092360666803626,0.15529865,,,,
random,N/A,rrg,1.0,0.1,0.3,0,1.0,0.99995697,1.0,0.99956954,2.936471993049313e-06,0.0046557123,,,,
random,N/A,rrg,0.0,0.2,0.3,0,0.79,0.8000036,0.0,0.0,5.645761228756027,6.65358,,,,
random,N/A,rrg,0.1,0.2,0.3,0,0.8166666666666667,0.81545866,0.12698412698412676,0.11774235,4.673501438005285,5.174937,,,,
random,N/A,rrg,0.2,0.2,0.3,0,0.8533333333333334,0.83248025,0.30158730158730174,0.29496178,4.002685278694408,3.6827564,,,,
random,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.8466666666666667,0.8574943,0.26984126984126977,0.28697672,3.1398373757664477,3.2567618,,,,
random,N/A,rrg,0.4,0.2,0.3,0,0.8833333333333333,0.8910419,0.4444444444444442,0.47169974,2.99477584618223,2.5350492,,,,
random,N/A,rrg,0.5,0.2,0.3,0,0.9066666666666666,0.9119523,0.5555555555555552,0.57613367,1.9056438924839312,1.7385799,,,,
random,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.9266666666666666,0.92210025,0.6507936507936506,0.6273957,1.695891490007892,1.1253659,,,,
random,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.9633333333333334,0.95191103,0.8253968253968256,0.7752206,0.9131449058391578,0.76339513,,,,
random,N/A,rrg,0.8,0.2,0.3,0,0.9766666666666667,0.9717226,0.888888888888889,0.86119753,0.47752025829732003,0.51113206,,,,
random,N/A,rrg,0.9,0.2,0.3,0,0.99,0.9885424,0.9523809523809523,0.945782,0.26541550630981026,0.21545069,,,,
random,N/A,rrg,1.0,0.2,0.3,0,1.0,0.99997365,1.0,0.99987453,5.144102592839873e-07,0.0027261642,,,,
random,N/A,rrg,0.0,0.3,0.3,0,0.65,0.7000066,0.0,0.0,4.157531106559923,4.6622105,,,,
random,N/A,rrg,0.1,0.3,0.3,0,0.7,0.7294198,0.14285714285714268,0.15822552,3.4923244612464472,3.616838,,,,
