method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
path_weight,N/A,rrg,0.0,0.05,0.3,0,0.9433333333333334,0.94999987,0.0,0.0,12.55356536617642,11.267633,,,,
path_weight,N/A,rrg,0.1,0.05,0.3,0,0.9466666666666667,0.96070254,0.05882352941176413,0.07819067,9.565022229062645,9.165005,,,,
path_weight,N/A,rrg,0.2,0.05,0.3,0,0.9633333333333334,0.97016335,0.3529411764705887,0.40131083,7.599954967039057,7.249432,,,,
path_weight,N/A,rrg,0.30000000000000004,0.05,0.3,0,0.96,0.9649713,0.2941176470588226,0.36808172,5.274963596442726,5.487647,,,,
path_weight,N/A,rrg,0.4,0.05,0.3,0,0.9733333333333334,0.97647077,0.529411764705883,0.54873383,4.526695267722889,3.6510062,,,,
path_weight,N/A,rrg,0.5,0.05,0.3,0,0.9766666666666667,0.9783256,0.5882352941176472,0.62969744,3.2328715048090433,2.820685,,,,
path_weight,N/A,rrg,0.6000000000000001,0.05,0.3,0,0.99,0.9910582,0.8235294117647056,0.8392004,2.5419585841756973,1.8267301,,,,
path_weight,N/A,rrg,0.7000000000000001,0.05,0.3,0,0.9866666666666667,0.991182,0.7647058823529416,0.8451064,1.232776610172472,1.2274935,,,,
path_weight,N/A,rrg,0.8,0.05,0.3,0,1.0,0.99868894,1.0,0.97738665,0.5336592502499339,0.6155082,,,,
path_weight,N/A,rrg,0.9,0.05,0.3,0,1.0,0.999812,1.0,0.9966934,0.15406116848675727,0.18683074,,,,
path_weight,N/A,rrg,1.0,0.05,0.3,0,1.0,0.9999807,1.0,0.9996592,1.4627889212259424e-06,0.003308013,,,,
path_weight,N/A,rrg,0.0,0.1,0.3,0,0.8866666666666667,0.9000041,0.0,0.0,9.396639981422517,9.779279,,,,
path_weight,N/A,rrg,0.1,0.1,0.3,0,0.9066666666666666,0.91074973,0.17647058823529338,0.18306221,8.111462849634059,8.000076,,,,
path_weight,N/A,rrg,0.2,0.1,0.3,0,0.9166666666666666,0.92291933,0.26470588235294057,0.26273832,6.675456465920819,6.526884,,,,
path_weight,N/A,rrg,0.30000000000000004,0.1,0.3,0,0.9266666666666666,0.9361259,0.3529411764705877,0.38508123,5.293916573450985,5.386441,,,,
path_weight,N/A,rrg,0.4,0.1,0.3,0,0.95,0.94982576,0.5588235294117642,0.5579657,3.9948897794540303,4.0145636,,,,
path_weight,N/A,rrg,0.5,0.1,0.3,0,0.9633333333333334,0.9556967,0.6764705882352944,0.63376576,2.7330622198066052,2.9681015,,,,
path_weight,N/A,rrg,0.6000000000000001,0.1,0.3,0,0.97,0.9667311,0.7352941176470584,0.7146798,1.9035065781812734,2.0796578,,,,
path_weight,N/A,rrg,0.7000000000000001,0.1,0.3,0,0.9866666666666667,0.97806174,0.8823529411764708,0.82008547,0.8710666952976982,1.4163548,,,,
path_weight,N/A,rrg,0.8,0.1,0.3,0,0.9933333333333333,0.99034077,0.9411764705882348,0.9167245,0.3479554129244904,0.7829722,,,,
path_weight,N/A,rrg,0.9,0.1,0.3,0,0.9966666666666667,0.9967861,0.970588235294118,0.9716098,0.2055106068381963,0.35184398,,,,
path_weight,N/A,rrg,1.0,0.1,0.3,0,1.0,0.99998546,1.0,0.9998717,4.946875966475536e-07,0.0022175356,,,,
path_weight,N/A,rrg,0.0,0.2,0.3,0,0.7866666666666666,0.8000036,0.0,0.0,6.62159622148267,6.65358,,,,
path_weight,N/A,rrg,0.1,0.2,0.3,0,0.8033333333333333,0.82393384,0.07812500000000022,0.08647401,5.215717479031613,5.7310944,,,,
path_weight,N/A,rrg,0.2,0.2,0.3,0,0.8333333333333334,0.8536485,0.21875000000000033,0.24176927,4.598266488251896,5.037624,,,,
path_weight,N/A,rrg,0.30000000000000004,0.2,0.3,0,0.8466666666666667,0.8728306,0.2812500000000002,0.32536054,3.77383173991725,4.1676025,,,,
path_weight,N/A,rrg,0.4,0.2,0.3,0,0.88,0.8980437,0.4375000000000001,0.4779171,2.9798076504727153,3.4774907,,,,
path_weight,N/A,rrg,0.5,0.2,0.3,0,0.9133333333333333,0.9189875,0.5937500000000001,0.6099091,2.3367682020991847,2.8260615,,,,
path_weight,N/A,rrg,0.6000000000000001,0.2,0.3,0,0.9366666666666666,0.9431727,0.703125,0.725232,1.9272914927460962,2.2187557,,,,
path_weight,N/A,rrg,0.7000000000000001,0.2,0.3,0,0.95,0.95390993,0.7656249999999999,0.78355384,1.4344461608918562,1.5676394,,,,
path_weight,N/A,rrg,0.8,0.2,0.3,0,0.97,0.969727,0.8593749999999999,0.85948974,0.735824778770073,0.92775816,,,,
path_weight,N/A,rrg,0.9,0.2,0.3,0,0.9866666666666667,0.9852183,0.9375000000000001,0.9316492,0.34930808861768325,0.42294636,,,,
path_weight,N/A,rrg,1.0,0.2,0.3,0,1.0,0.9999457,1.0,0.9997454,1.1338025546850555e-06,0.0052456036,,,,
path_weight,N/A,rrg,0.0,0.3,0.3,0,0.6966666666666667,0.7000066,0.0,0.0,4.158372213928392,4.6622105,,,,
path_weight,N/A,rrg,0.1,0.3,0.3,0,0.7366666666666667,0.7346164,0.13186813186813198,0.13602257,3.9982684001720825,4.0783696,,,,
path_weight,N/A,rrg,0.2,0.3,0.3,0,0.7666666666666667,0.772025,0.23076923076923098,0.23491135,3.50846900887938,3.5681705,,,,
path_weight,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7933333333333333,0.8088196,0.3186813186813187,0.33581677,2.737543250964602,3.1339402,,,,
path_weight,N/A,rrg,0.4,0.3,0.3,0,0.83,0.8417324,0.43956043956043944,0.45120007,2.2365885213661203,2.5419922,,,,
path_weight,N/A,rrg,0.5,0.3,0.3,0,0.8733333333333333,0.86979675,0.5824175824175823,0.5688212,1.8293480890966038,1.9563644,,,,
path_weight,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.9,0.8930139,0.6703296703296704,0.6495808,1.1677799115662848,1.4436852,,,,
path_weight,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.9233333333333333,0.92167175,0.7472527472527473,0.7431409,0.6850227708524534,1.0789722,,,,
path_weight,N/A,rrg,0.8,0.3,0.3,0,0.9466666666666667,0.9471354,0.8241758241758241,0.82622224,0.4025279835730896,0.67969,,,,
path_weight,N/A,rrg,0.9,0.3,0.3,0,0.97,0.9739148,0.901098901098901,0.9133879,0.14937226352705463,0.28768215,,,,
path_weight,N/A,rrg,1.0,0.3,0.3,0,1.0,0.9999229,1.0,0.99974567,1.5074855736495136e-06,0.0062590786,,,,
path_weight,N/A,rrg,0.0,0.4,0.3,0,0.58,0.6000194,0.0,0.0,2.5295161635841277,3.3618698,,,,
path_weight,N/A,rrg,0.1,0.4,0.3,0,0.63,0.64367074,0.11904761904761914,0.123043165,2.2501197156386534,2.945961,,,,
path_weight,N/A,rrg,0.2,0.4,0.3,0,0.6666666666666666,0.6859317,0.20634920634920634,0.2162535,2.050863067560907,2.5413508,,,,
path_weight,N/A,rrg,0.30000000000000004,0.4,0.3,0,0.72,0.7246362,0.3333333333333333,0.3250481,1.903823496777585,2.1585717,,,,
path_weight,N/A,rrg,0.4,0.4,0.3,0,0.7633333333333333,0.76846445,0.4365079365079365,0.44185713,1.5883449997486379,1.850151,,,,
path_weight,N/A,rrg,0.5,0.4,0.3,0,0.8,0.8078068,0.523809523809524,0.53393286,1.286173631675404,1.4776233,,,,
path_weight,N/A,rrg,0.6000000000000001,0.4,0.3,0,0.8266666666666667,0.84959775,0.5873015873015873,0.6238775,1.0188830925269647,1.1211544,,,,
path_weight,N/A,rrg,0.7000000000000001,0.4,0.3,0,0.86,0.88845736,0.6666666666666666,0.71004313,0.7814631214925074,0.8606999,,,,
path_weight,N/A,rrg,0.8,0.4,0.3,0,0.9133333333333333,0.9282051,0.7936507936507937,0.822452,0.41284194913804373,0.57288843,,,,
path_weight,N/A,rrg,0.9,0.4,0.3,0,0.9533333333333334,0.9635119,0.888888888888889,0.9110091,0.1441944005825749,0.24058017,,,,
path_weight,N/A,rrg,1.0,0.4,0.3,0,1.0,0.9999011,1.0,0.9997645,1.3176395286861193e-06,0.0070263133,,,,
path_weight,N/A,rrg,0.0,0.05,0.3,1,0.9333333333333333,0.94999987,0.0,0.0,11.433727001257393,11.267633,,,,
path_weight,N/A,rrg,0.1,0.05,0.3,1,0.9466666666666667,0.96303874,0.19999999999999968,0.26510453,9.85057730382242,9.056053,,,,
path_weight,N/A,rrg,0.2,0.05,0.3,1,0.9566666666666667,0.9632587,0.3499999999999998,0.35831672,6.508636845274189,6.8127394,,,,
path_weight,N/A,rrg,0.30000000000000004,0.05,0.3,1,0.9666666666666667,0.97443676,0.5,0.5659641,5.231499501700708,5.126675,,,,
path_weight,N/A,rrg,0.4,0.05,0.3,1,0.98,0.98391247,0.6999999999999996,0.7436422,4.175310253271662,3.8441439,,,,
path_weight,N/A,rrg,0.5,0.05,0.3,1,0.9833333333333333,0.98496926,0.7499999999999991,0.7589027,3.0288359287223154,2.9093888,,,,
path_weight,N/A,rrg,0.6000000000000001,0.05,0.3,1,0.9866666666666667,0.9907981,0.8000000000000004,0.85285276,2.1606535094969277,2.1454976,,,,
path_weight,N/A,rrg,0.7000000000000001,0.05,0.3,1,0.9933333333333333,0.9942515,0.8999999999999994,0.9125679,1.3315509115821167,1.2827535,,,,
path_weight,N/A,rrg,0.8,0.05,0.3,1,0.9966666666666667,0.99560463,0.9500000000000005,0.9351031,0.48128200732717646,0.71992296,,,,
path_weight,N/A,rrg,0.9,0.05,0.3,1,1.0,0.99942505,1.0,0.9914486,0.13452950335057556,0.3279919,,,,
path_weight,N/A,rrg,1.0,0.05,0.3,1,1.0,0.9999787,1.0,0.99968076,1.0739084891306097e-06,0.0028298923,,,,
path_weight,N/A,rrg,0.0,0.1,0.3,1,0.9033333333333333,0.9000041,0.0,0.0,11.098267002258394,9.779279,,,,
path_weight,N/A,rrg,0.1,0.1,0.3,1,0.9133333333333333,0.9162069,0.10344827586206905,0.10661812,9.962583490573833,8.5481205,,,,
path_weight,N/A,rrg,0.2,0.1,0.3,1,0.9266666666666666,0.92955345,0.24137931034482737,0.2805279,8.358528966528226,6.723945,,,,
path_weight,N/A,rrg,0.30000000000000004,0.1,0.3,1,0.9433333333333334,0.9415577,0.4137931034482762,0.38800552,6.870517134740236,5.371813,,,,
path_weight,N/A,rrg,0.4,0.1,0.3,1,0.9566666666666667,0.9569457,0.5517241379310345,0.55332094,4.522400708208143,4.156076,,,,
path_weight,N/A,rrg,0.5,0.1,0.3,1,0.9633333333333334,0.9709566,0.6206896551724143,0.67382824,3.172858114925969,3.2824304,,,,
path_weight,N/A,rrg,0.6000000000000001,0.1,0.3,1,0.98,0.9784544,0.7931034482758619,0.78062177,2.545261087192211,2.3683946,,,,
path_weight,N/A,rrg,0.7000000000000001,0.1,0.3,1,0.98,0.98144686,0.7931034482758619,0.8051545,1.5948100653797594,1.5509652,,,,
path_weight,N/A,rrg,0.8,0.1,0.3,1,0.9833333333333333,0.98391765,0.8275862068965512,0.8326185,1.0367156912560107,0.9807067,,,,
path_weight,N/A,rrg,0.9,0.1,0.3,1,0.9933333333333333,0.9929565,0.9310344827586202,0.92741656,0.522747107740722,0.5124791,,,,
path_weight,N/A,rrg,1.0,0.1,0.3,1,1.0,0.9999811,1.0,0.9998045,9.82509666923638e-07,0.0023372702,,,,
path_weight,N/A,rrg,0.0,0.2,0.3,1,0.7433333333333333,0.8000036,0.0,0.0,4.885747953609543,6.65358,,,,
path_weight,N/A,rrg,0.1,0.2,0.3,1,0.7833333333333333,0.81892693,0.15584415584415595,0.1852579,4.087104181224812,5.334985,,,,
path_weight,N/A,rrg,0.2,0.2,0.3,1,0.7966666666666666,0.8398599,0.2077922077922078,0.2667184,3.5061003106271618,4.53541,,,,
path_weight,N/A,rrg,0.30000000000000004,0.2,0.3,1,0.8233333333333334,0.863508,0.3116883116883119,0.3797803,2.8240030756622687,3.618886,,,,
path_weight,N/A,rrg,0.4,0.2,0.3,1,0.8433333333333334,0.88255423,0.3896103896103899,0.47040436,2.2613062610374146,3.0038095,,,,
path_weight,N/A,rrg,0.5,0.2,0.3,1,0.87,0.8977864,0.49350649350649356,0.55568683,1.8322832359106875,2.298656,,,,
path_weight,N/A,rrg,0.6000000000000001,0.2,0.3,1,0.9033333333333333,0.92133015,0.6233766233766234,0.6703546,1.427878247697443,1.7347096,,,,
path_weight,N/A,rrg,0.7000000000000001,0.2,0.3,1,0.92,0.9430051,0.6883116883116885,0.7560558,1.001323909155455,1.1888806,,,,
path_weight,N/A,rrg,0.8,0.2,0.3,1,0.95,0.96497256,0.805194805194805,0.85501593,0.7243052641743893,0.7659556,,,,
path_weight,N/A,rrg,0.9,0.2,0.3,1,0.97,0.9827893,0.8831168831168831,0.9293968,0.349326719880786,0.3523735,,,,
path_weight,N/A,rrg,1.0,0.2,0.3,1,1.0,0.9999201,1.0,0.99968874,2.4794993832188463e-06,0.0067006643,,,,
path_weight,N/A,rrg,0.0,0.3,0.3,1,0.6933333333333334,0.7000066,0.0,0.0,4.169510026860725,4.6622105,,,,
path_weight,N/A,rrg,0.1,0.3,0.3,1,0.7233333333333334,0.7389025,0.09782608695652184,0.09334972,3.2201088857484934,4.182411,,,,
path_weight,N/A,rrg,0.2,0.3,0.3,1,0.7533333333333333,0.7693042,0.1956521739130433,0.20639467,2.845516445305929,3.5137122,,,,
path_weight,N/A,rrg,0.30000000000000004,0.3,0.3,1,0.7766666666666666,0.80210817,0.27173913043478237,0.2963139,2.5632984057358503,3.003925,,,,
path_weight,N/A,rrg,0.4,0.3,0.3,1,0.82,0.82899964,0.41304347826086935,0.425507,2.2604745097625494,2.3434174,,,,
path_weight,N/A,rrg,0.5,0.3,0.3,1,0.85,0.86320066,0.5108695652173912,0.5338119,1.8937074541163126,1.9528003,,,,
path_weight,N/A,rrg,0.6000000000000001,0.3,0.3,1,0.8866666666666667,0.88980305,0.6304347826086958,0.6369264,1.5628461633576842,1.5240436,,,,
path_weight,N/A,rrg,0.7000000000000001,0.3,0.3,1,0.92,0.9141166,0.7391304347826088,0.7251779,1.344146020686453,1.0785269,,,,
path_weight,N/A,rrg,0.8,0.3,0.3,1,0.9566666666666667,0.9452307,0.8586956521739131,0.8277976,0.9624432570745948,0.68861675,,,,
path_weight,N/A,rrg,0.9,0.3,0.3,1,0.98,0.9721956,0.9347826086956521,0.91142833,0.6455408800187238,0.37886,,,,
path_weight,N/A,rrg,1.0,0.3,0.3,1,1.0,0.9999221,1.0,0.9997459,1.5644859323175002e-06,0.006416387,,,,
path_weight,N/A,rrg,0.0,0.4,0.3,1,0.62,0.6000194,0.0,0.0,3.2095386973187674,3.3618698,,,,
path_weight,N/A,rrg,0.1,0.4,0.3,1,0.6766666666666666,0.641943,0.1491228070175438,0.13662128,2.919578137396106,2.8923318,,,,
path_weight,N/A,rrg,0.2,0.4,0.3,1,0.7166666666666667,0.6860861,0.2543859649122807,0.2354186,2.4574955460524754,2.565921,,,,
path_weight,N/A,rrg,0.30000000000000004,0.4,0.3,1,0.76,0.73250866,0.368421052631579,0.33662233,2.102250254301091,2.2457304,,,,
path_weight,N/A,rrg,0.4,0.4,0.3,1,0.8033333333333333,0.77396166,0.48245614035087725,0.43983543,1.6314646406399216,1.897279,,,,
path_weight,N/A,rrg,0.5,0.4,0.3,1,0.83,0.8150936,0.5526315789473684,0.53729093,1.3761967497124634,1.524718,,,,
path_weight,N/A,rrg,0.6000000000000001,0.4,0.3,1,0.8633333333333333,0.85236925,0.6403508771929823,0.6332059,1.2472902771497378,1.167016,,,,
path_weight,N/A,rrg,0.7000000000000001,0.4,0.3,1,0.8966666666666666,0.88855183,0.7280701754385963,0.71839094,0.9846317343070897,0.7742374,,,,
path_weight,N/A,rrg,0.8,0.4,0.3,1,0.9566666666666667,0.92654663,0.8859649122807017,0.8200653,0.7106070136749644,0.49729726,,,,
path_weight,N/A,rrg,0.9,0.4,0.3,1,0.9933333333333333,0.9642875,0.982456140350877,0.91158646,0.472909746097165,0.26409632,,,,
path_weight,N/A,rrg,1.0,0.4,0.3,1,1.0,0.9999011,1.0,0.9997397,1.5433188374745571e-06,0.007170411,,,,
path_weight,N/A,rrg,0.0,0.05,0.3,2,0.96,0.94999987,0.0,0.0,11.163690043198718,11.267633,,,,
path_weight,N/A,rrg,0.1,0.05,0.3,2,0.9666666666666667,0.95074594,0.1666666666666676,0.12383342,9.98628612005021,8.916155,,,,
path_weight,N/A,rrg,0.2,0.05,0.3,2,0.9766666666666667,0.96960145,0.4166666666666676,0.3426314,5.281714239696365,6.636163,,,,
path_weight,N/A,rrg,0.30000000000000004,0.05,0.3,2,0.9866666666666667,0.9790383,0.6666666666666676,0.53043103,4.357275278086369,4.9576387,,,,
path_weight,N/A,rrg,0.4,0.05,0.3,2,0.99,0.98442525,0.75,0.63417363,2.693659082536326,3.653778,,,,
path_weight,N/A,rrg,0.5,0.05,0.3,2,0.9966666666666667,0.9863552,0.9166666666666676,0.7141851,1.3544429328778063,2.7124305,,,,
path_weight,N/A,rrg,0.6000000000000001,0.05,0.3,2,0.9966666666666667,0.98946637,0.9166666666666676,0.77027935,0.9560913977454466,1.8067613,,,,
path_weight,N/A,rrg,0.7000000000000001,0.05,0.3,2,1.0,0.9945111,1.0,0.8720842,0.6072170751339735,1.149718,,,,
path_weight,N/A,rrg,0.8,0.05,0.3,2,1.0,0.99869984,1.0,0.9685193,0.23860004188121242,0.5837861,,,,
path_weight,N/A,rrg,0.9,0.05,0.3,2,1.0,0.9999341,1.0,0.9983546,0.04467353524874511,0.08206932,,,,
path_weight,N/A,rrg,1.0,0.05,0.3,2,1.0,0.99999034,1.0,0.9997586,1.4930382033710389e-06,0.0026868104,,,,
path_weight,N/A,rrg,0.0,0.1,0.3,2,0.8833333333333333,0.9000041,0.0,0.0,9.062121869875684,9.779279,,,,
path_weight,N/A,rrg,0.1,0.1,0.3,2,0.8933333333333333,0.91773236,0.08571428571428577,0.108380266,7.994734574871704,8.410996,,,,
path_weight,N/A,rrg,0.2,0.1,0.3,2,0.9033333333333333,0.9262547,0.17142857142857154,0.21334335,6.632360723329787,6.918465,,,,
path_weight,N/A,rrg,0.30000000000000004,0.1,0.3,2,0.9166666666666666,0.94499797,0.2857142857142856,0.37735,6.002799117869494,5.814879,,,,
path_weight,N/A,rrg,0.4,0.1,0.3,2,0.93,0.9531096,0.4000000000000006,0.49880385,4.869856224743036,4.5550876,,,,
path_weight,N/A,rrg,0.5,0.1,0.3,2,0.94,0.957973,0.4857142857142854,0.57416725,2.8342931747262288,3.220425,,,,
path_weight,N/A,rrg,0.6000000000000001,0.1,0.3,2,0.9566666666666667,0.9644745,0.6285714285714287,0.65891564,1.953428497746306,2.3359952,,,,
path_weight,N/A,rrg,0.7000000000000001,0.1,0.3,2,0.97,0.9778933,0.7428571428571427,0.7915649,1.4850336382982547,1.8090627,,,,
path_weight,N/A,rrg,0.8,0.1,0.3,2,0.9766666666666667,0.986757,0.8000000000000002,0.875736,0.8218297459482299,1.1398853,,,,
path_weight,N/A,rrg,0.9,0.1,0.3,2,0.9933333333333333,0.9942889,0.9428571428571425,0.950639,0.2964941377524919,0.44535476,,,,
path_weight,N/A,rrg,1.0,0.1,0.3,2,1.0,0.99998283,1.0,0.99985284,5.774622876502793e-07,0.0023772265,,,,
path_weight,N/A,rrg,0.0,0.2,0.3,2,0.7733333333333333,0.8000036,0.0,0.0,5.504465164697088,6.65358,,,,
path_weight,N/A,rrg,0.1,0.2,0.3,2,0.8166666666666667,0.8263468,0.19117647058823528,0.18342572,4.583291664532115,5.5390415,,,,
path_weight,N/A,rrg,0.2,0.2,0.3,2,0.8333333333333334,0.8531733,0.2647058823529414,0.29386717,3.953932978484129,4.7361517,,,,
path_weight,N/A,rrg,0.30000000000000004,0.2,0.3,2,0.8733333333333333,0.8671406,0.44117647058823517,0.43223074,3.240403071908527,3.649578,,,,
path_weight,N/A,rrg,0.4,0.2,0.3,2,0.8966666666666666,0.8914264,0.5441176470588234,0.5306039,2.692605571635385,3.0656683,,,,
path_weight,N/A,rrg,0.5,0.2,0.3,2,0.9066666666666666,0.91588604,0.5882352941176469,0.6151666,2.2634640741451864,2.6049964,,,,
path_weight,N/A,rrg,0.6000000000000001,0.2,0.3,2,0.9333333333333333,0.93085307,0.7058823529411765,0.6956061,1.4600712969370107,1.9354014,,,,
path_weight,N/A,rrg,0.7000000000000001,0.2,0.3,2,0.94,0.9495102,0.7352941176470587,0.7673212,1.2304239692215664,1.4611237,,,,
path_weight,N/A,rrg,0.8,0.2,0.3,2,0.9566666666666667,0.9651161,0.8088235294117647,0.84012836,0.9277593771431124,0.9240497,,,,
path_weight,N/A,rrg,0.9,0.2,0.3,2,0.9833333333333333,0.9837177,0.9264705882352939,0.92803067,0.45680296604902215,0.3709624,,,,
path_weight,N/A,rrg,1.0,0.2,0.3,2,1.0,0.9999426,1.0,0.99974674,1.1224949796195503e-06,0.00497454,,,,
path_weight,N/A,rrg,0.0,0.3,0.3,2,0.6666666666666666,0.7000066,0.0,0.0,4.005038880595059,4.6622105,,,,
path_weight,N/A,rrg,0.1,0.3,0.3,2,0.7,0.7317085,0.09999999999999996,0.115726635,3.7222300136429234,4.0059247,,,,
path_weight,N/A,rrg,0.2,0.3,0.3,2,0.74,0.7726651,0.22000000000000006,0.23602447,3.162895423734479,3.6395922,,,,
