method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
path_weight,N/A,rrg,0.0,0.02,0.3,0,0.9733333333333334,0.98,0.0,0.0,9.163579139763945,9.089814,,,,
path_weight,N/A,rrg,0.1,0.02,0.3,0,0.98,0.980462,0.24999999999999792,0.25440758,6.5020822320164156,6.911722,,,,
path_weight,N/A,rrg,0.2,0.02,0.3,0,0.9866666666666667,0.981611,0.5,0.42031372,5.029939410043565,5.452847,,,,
path_weight,N/A,rrg,0.30000000000000004,0.02,0.3,0,0.9933333333333333,0.9892629,0.7499999999999979,0.6506788,2.0623347867999846,3.8184297,,,,
path_weight,N/A,rrg,0.4,0.02,0.3,0,0.9966666666666667,0.99405986,0.875000000000001,0.797081,1.7183216207318552,2.7028491,,,,
path_weight,N/A,rrg,0.5,0.02,0.3,0,0.9933333333333333,0.9963395,0.7499999999999979,0.87107533,0.5915528543277545,1.3261875,,,,
path_weight,N/A,rrg,0.6000000000000001,0.02,0.3,0,1.0,0.9994511,1.0,0.97983134,0.5760827685188247,0.62863445,,,,
path_weight,N/A,rrg,0.7000000000000001,0.02,0.3,0,1.0,0.99959093,1.0,0.98489165,0.40097170082627553,0.3747162,,,,
path_weight,N/A,rrg,0.8,0.02,0.3,0,1.0,0.9998153,1.0,0.9931208,0.2872698685316848,0.26191372,,,,
path_weight,N/A,rrg,0.9,0.02,0.3,0,1.0,0.9999829,1.0,0.9993589,0.025750046263198052,0.036739014,,,,
path_weight,N/A,rrg,1.0,0.02,0.3,0,1.0,0.99999326,1.0,0.9997474,3.5400837304307745e-07,0.0014813525,,,,
path_weight,N/A,rrg,0.0,0.02,0.3,1,0.9966666666666667,0.98,0.0,0.0,5.861705513054961,9.089814,,,,
path_weight,N/A,rrg,0.1,0.02,0.3,1,0.9966666666666667,0.9926416,0.0,0.0,2.8830638703979274,3.9968946,,,,
path_weight,N/A,rrg,0.2,0.02,0.3,1,0.9966666666666667,0.9933726,0.0,0.0,2.437820706184899,3.0850532,,,,
path_weight,N/A,rrg,0.30000000000000004,0.02,0.3,1,1.0,0.9975842,1.0,0.5797997,0.5431637409966822,1.5560322,,,,
path_weight,N/A,rrg,0.4,0.02,0.3,1,1.0,0.99926025,1.0,0.81838006,0.248028488516014,0.64367634,,,,
path_weight,N/A,rrg,0.5,0.02,0.3,1,1.0,0.9998175,1.0,0.94808936,0.012014179210288847,0.10929174,,,,
path_weight,N/A,rrg,0.6000000000000001,0.02,0.3,1,1.0,0.999944,1.0,0.9834693,0.006087665756706535,0.041957542,,,,
path_weight,N/A,rrg,0.7000000000000001,0.02,0.3,1,1.0,0.9999826,1.0,0.9948056,0.0001115272746649235,0.013720921,,,,
path_weight,N/A,rrg,0.8,0.02,0.3,1,1.0,0.9999954,1.0,0.99862486,5.5271283769497036e-05,0.0067248167,,,,
path_weight,N/A,rrg,0.9,0.02,0.3,1,1.0,0.999998,1.0,0.9993921,2.6219216259407318e-05,0.0035056344,,,,
path_weight,N/A,rrg,1.0,0.02,0.3,1,1.0,0.9999954,1.0,0.99862224,1.8743718057937954e-07,0.0011777863,,,,
path_weight,N/A,rrg,0.0,0.02,0.3,2,0.9866666666666667,0.98,0.0,0.0,6.73563400274002,9.089814,,,,
path_weight,N/A,rrg,0.1,0.02,0.3,2,0.99,0.9888166,0.24999999999999792,0.2296202,3.5403382047798284,5.683247,,,,
path_weight,N/A,rrg,0.2,0.02,0.3,2,0.99,0.9939404,0.24999999999999792,0.354877,3.0123775677823557,2.873295,,,,
path_weight,N/A,rrg,0.30000000000000004,0.02,0.3,2,0.9966666666666667,0.99526125,0.7500000000000021,0.6784848,1.0564641014349467,2.1597068,,,,
path_weight,N/A,rrg,0.4,0.02,0.3,2,0.9966666666666667,0.99628085,0.7500000000000021,0.7289091,0.336695847415437,1.068354,,,,
path_weight,N/A,rrg,0.5,0.02,0.3,2,0.9966666666666667,0.9965666,0.7500000000000021,0.7444138,0.2829082890920321,0.5053059,,,,
path_weight,N/A,rrg,0.6000000000000001,0.02,0.3,2,0.9966666666666667,0.9966648,0.7500000000000021,0.74989605,0.2138659464567442,0.35397816,,,,
path_weight,N/A,rrg,0.7000000000000001,0.02,0.3,2,0.9966666666666667,0.9966271,0.7500000000000021,0.7477804,0.20051720234776965,0.22542262,,,,
path_weight,N/A,rrg,0.8,0.02,0.3,2,0.9966666666666667,0.9966406,0.7500000000000021,0.7485377,0.1591502243936125,0.19963652,,,,
path_weight,N/A,rrg,0.9,0.02,0.3,2,0.9966666666666667,0.9990272,0.7500000000000021,0.9113346,0.08665054407509151,0.055485714,,,,
path_weight,N/A,rrg,1.0,0.02,0.3,2,1.0,0.99998504,1.0,0.9988771,9.466409534280007e-07,0.0018720503,,,,
path_weight,N/A,rrg,0.0,0.02,0.3,3,0.9833333333333333,0.98,0.0,0.0,7.883146298780872,9.089814,,,,
path_weight,N/A,rrg,0.1,0.02,0.3,3,0.9866666666666667,0.9868652,0.200000000000004,0.20241125,6.132003073043406,6.0989447,,,,
path_weight,N/A,rrg,0.2,0.02,0.3,3,0.99,0.9912786,0.40000000000000135,0.4332356,4.814482551145377,3.5185432,,,,
path_weight,N/A,rrg,0.30000000000000004,0.02,0.3,3,0.9933333333333333,0.9977804,0.5999999999999986,0.818357,4.624285941350845,1.3449758,,,,
path_weight,N/A,rrg,0.4,0.02,0.3,3,0.9933333333333333,0.99479187,0.5999999999999986,0.65754265,2.78461286101163,2.093165,,,,
path_weight,N/A,rrg,0.5,0.02,0.3,3,0.9933333333333333,0.9946932,0.5999999999999986,0.65330637,1.8499960633619572,1.1322684,,,,
path_weight,N/A,rrg,0.6000000000000001,0.02,0.3,3,0.9966666666666667,0.99437773,0.8000000000000027,0.70339787,0.8409730516221564,0.876933,,,,
path_weight,N/A,rrg,0.7000000000000001,0.02,0.3,3,1.0,0.9994104,1.0,0.9658322,0.380145218588904,0.26504073,,,,
path_weight,N/A,rrg,0.8,0.02,0.3,3,1.0,0.9999863,1.0,0.9991781,0.04424895284203183,0.05332991,,,,
path_weight,N/A,rrg,0.9,0.02,0.3,3,1.0,0.99999726,1.0,0.9998355,0.000707580672040611,0.006434315,,,,
path_weight,N/A,rrg,1.0,0.02,0.3,3,1.0,0.99999714,1.0,0.99982834,1.3150496842684238e-07,0.001020591,,,,
path_weight,N/A,rrg,0.0,0.02,0.3,4,0.97,0.98,0.0,0.0,11.25953146622065,9.089814,,,,
path_weight,N/A,rrg,0.1,0.02,0.3,4,0.9766666666666667,0.98718524,0.22222222222222346,0.34220606,9.617226778202518,6.3065157,,,,
path_weight,N/A,rrg,0.2,0.02,0.3,4,0.98,0.9875425,0.3333333333333333,0.4452855,8.137725819680169,4.97892,,,,
path_weight,N/A,rrg,0.30000000000000004,0.02,0.3,4,0.99,0.98502684,0.6666666666666666,0.4808068,5.642868948163647,3.4861755,,,,
path_weight,N/A,rrg,0.4,0.02,0.3,4,0.9933333333333333,0.99322736,0.7777777777777766,0.7683036,4.161299054455818,2.058586,,,,
path_weight,N/A,rrg,0.5,0.02,0.3,4,0.9966666666666667,0.9947477,0.8888888888888902,0.83544874,1.6529354243250753,1.6827105,,,,
path_weight,N/A,rrg,0.6000000000000001,0.02,0.3,4,1.0,0.9987132,1.0,0.95862097,0.7247110357834459,0.8492425,,,,
path_weight,N/A,rrg,0.7000000000000001,0.02,0.3,4,1.0,0.99894804,1.0,0.96595263,0.4999377771473983,0.58405167,,,,
path_weight,N/A,rrg,0.8,0.02,0.3,4,1.0,0.99896777,1.0,0.96647406,0.34166642700718247,0.38889512,,,,
path_weight,N/A,rrg,0.9,0.02,0.3,4,1.0,0.99998283,1.0,0.9994281,0.12274491560983983,0.05254211,,,,
path_weight,N/A,rrg,1.0,0.02,0.3,4,1.0,0.99999005,1.0,0.9996682,2.0532753776016973e-06,0.0026850884,,,,
path_weight,N/A,rrg,0.0,0.02,0.3,5,0.98,0.98,0.0,0.0,8.303058141127064,9.089814,,,,
path_weight,N/A,rrg,0.1,0.02,0.3,5,0.9866666666666667,0.9862964,0.3333333333333352,0.3272764,6.478165664687241,6.1551795,,,,
