method,metric,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
entropy,N/A,rrg,0.0,0.3,0.3,0,0.6933333333333334,0.7000529,0.0,0.0,18.088971314958584,20.516756,159.59782608695653,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,0,0.7233333333333334,0.72633636,0.09782608695652184,0.087626934,14.734235834250212,17.061184,152.68478260869566,0.8461538461538461,0.11956521739130435,0.20952380952380953
entropy,N/A,rrg,0.2,0.3,0.3,0,0.7666666666666667,0.7562329,0.23913043478260881,0.1872997,12.946955815535963,14.466971,113.94565217391305,0.9583333333333334,0.25,0.396551724137931
entropy,N/A,rrg,0.30000000000000004,0.3,0.3,0,0.7933333333333333,0.7849881,0.3260869565217391,0.28316724,11.934714322720977,12.82639,99.69565217391305,1.0,0.32608695652173914,0.4918032786885246
entropy,N/A,rrg,0.4,0.3,0.3,0,0.83,0.81356275,0.4456521739130433,0.37843287,9.730908066844966,10.656478,87.59782608695652,1.0,0.44565217391304346,0.6165413533834586
entropy,N/A,rrg,0.5,0.3,0.3,0,0.86,0.84181905,0.5434782608695652,0.47263715,8.448872910690994,9.168952,69.6304347826087,0.9807692307692307,0.5543478260869565,0.7083333333333333
entropy,N/A,rrg,0.6000000000000001,0.3,0.3,0,0.89,0.87114835,0.6413043478260869,0.5704187,6.959246300295241,7.422179,61.76086956521739,0.9538461538461539,0.6739130434782609,0.7898089171974523
entropy,N/A,rrg,0.7000000000000001,0.3,0.3,0,0.9266666666666666,0.9000464,0.7608695652173912,0.6667626,5.592237408896123,5.6894736,54.46739130434783,0.9861111111111112,0.7717391304347826,0.8658536585365854
entropy,N/A,rrg,0.8,0.3,0.3,0,0.95,0.92839205,0.8369565217391303,0.76126474,4.013531615612963,4.270252,48.858695652173914,0.9873417721518988,0.8478260869565217,0.9122807017543859
entropy,N/A,rrg,0.9,0.3,0.3,0,0.9866666666666667,0.95969534,0.9565217391304348,0.8656274,2.8012975838561616,2.57318,46.880434782608695,0.9888888888888889,0.967391304347826,0.978021978021978
entropy,N/A,rrg,1.0,0.3,0.3,0,0.99,0.98001873,0.967391304347826,0.93338406,1.7233218012424714,1.866085,46.53260869565217,0.968421052631579,1.0,0.983957219251337
entropy,N/A,rrg,0.0,0.3,0.3,1,0.7366666666666667,0.7000529,0.0,0.0,15.525744696967674,20.398245,148.36708860759492,0.0,0.0,0.0
entropy,N/A,rrg,0.1,0.3,0.3,1,0.7633333333333333,0.72800493,0.10126582278480994,0.09318982,14.007135407287636,18.20781,128.2405063291139,1.0,0.10126582278481013,0.18390804597701146
entropy,N/A,rrg,0.2,0.3,0.3,1,0.7766666666666666,0.75912774,0.15189873417721492,0.19695081,12.367744961543055,15.540643,103.74683544303798,0.8333333333333334,0.189873417721519,0.30927835051546393
